Date,FJ_Flow_m3d,Flow,wy
1990-10-01,247377.34,101.111765612245,1991
1990-10-02,241083.56,98.5392777353241,1991
1990-10-03,236565.91,96.6927562717245,1991
1990-10-04,232886.61,95.1888977565625,1991
1990-10-05,229718.92,93.8941521310648,1991
1990-10-06,226917.88,92.7492691763426,1991
1990-10-07,224399.67,91.7199887285764,1991
1990-10-08,222106.34,90.7826245971991,1991
1990-10-09,219995.45,89.9198300707755,1991
1990-10-10,218035.3,89.1186482512731,1991
1990-10-11,216203.42,88.3698948642824,1991
1990-10-12,214481.25,87.6659837890625,1991
1990-10-13,212852.92,87.0004284018982,1991
1990-10-14,211304.61,86.3675799857292,1991
1990-10-15,209826.14,85.7632776187269,1991
1990-10-16,208472.89,85.2101570426273,1991
1990-10-17,207131.11,84.6617246564468,1991
1990-10-18,205826.95,84.1286688792245,1991
1990-10-19,204564.19,83.6125347290857,1991
1990-10-20,203341.89,83.1129379951736,1991
1990-10-21,202157.88,82.6289917226389,1991
1990-10-22,201010,82.1598130439815,1991
1990-10-23,199896.11,81.7045272664005,1991
1990-10-24,198814.84,81.2625744230093,1991
1990-10-25,197764.72,80.8333536734259,1991
1990-10-26,196745,80.4165584664352,1991
1990-10-27,195754.45,80.011686058044,1991
1990-10-28,194791.89,79.618254141007,1991
1990-10-29,193856.03,79.2357354472338,1991
1990-10-30,193002.38,78.8868188540046,1991
1990-10-31,192125.75,78.5285095315394,1991
1990-11-01,194312.64,79.4223679144445,1991
1990-11-02,198260.09,81.0358287074421,1991
1990-11-03,202992.14,82.9699829451157,1991
1990-11-04,208089.77,85.0535625071643,1991
1990-11-05,214424.38,87.6427390322454,1991
1990-11-06,220186.81,89.9980455915162,1991
1990-11-07,224015.33,91.5628955364699,1991
1990-11-08,226546.28,92.5973832675463,1991
1990-11-09,228380.17,93.346958211794,1991
1990-11-10,229714.98,93.8925417153472,1991
1990-11-11,230810.52,94.3403272065278,1991
1990-11-12,231677.55,94.6947126734375,1991
1990-11-13,232427.78,95.0013578977546,1991
1990-11-14,233115.16,95.2823141302315,1991
1990-11-15,233624.08,95.4903275228704,1991
1990-11-16,234130.55,95.6973395148727,1991
1990-11-17,234505.95,95.8507786164931,1991
1990-11-18,234928.62,96.023538619375,1991
1990-11-19,235288.48,96.1706259798148,1991
1990-11-20,235613.39,96.3034280536227,1991
1990-11-21,235914.64,96.4265594584259,1991
1990-11-22,236299.89,96.5840245993403,1991
1990-11-23,236484.12,96.6593258398611,1991
1990-11-24,236736.88,96.7626376867593,1991
1990-11-25,236968.89,96.8574682833681,1991
1990-11-26,237212.44,96.9570156813426,1991
1990-11-27,237431.33,97.0464836753588,1991
1990-11-28,237650.7,97.1361478621528,1991
1990-11-29,237855.38,97.2198077324769,1991
1990-11-30,238033.23,97.2925012439931,1991
1990-12-01,243900.84,99.6907985456944,1991
1990-12-02,245297.98,100.261858498912,1991
1990-12-03,245782.98,100.460094951458,1991
1990-12-04,246152.19,100.611003983715,1991
1990-12-05,246437,100.72741578588,1991
1990-12-06,246667.72,100.821719114398,1991
1990-12-07,246861.77,100.901034132164,1991
1990-12-08,246929.67,100.928787235521,1991
1990-12-09,247098.77,100.997904316192,1991
1990-12-10,247253.44,101.061123351481,1991
1990-12-11,247466.89,101.14836782735,1991
1990-12-12,247653.66,101.224707254653,1991
1990-12-13,247892.41,101.32229272485,1991
1990-12-14,248159.48,101.431453568935,1991
1990-12-15,248446.55,101.548789112095,1991
1990-12-16,248766.92,101.679735529213,1991
1990-12-17,249153.92,101.837915956296,1991
1990-12-18,249639.92,102.036561143796,1991
1990-12-19,250534.86,102.402354403264,1991
1990-12-20,253167.56,103.47843091588,1991
1990-12-21,256609.66,104.885337500023,1991
1990-12-22,260367.58,106.421330757245,1991
1990-12-23,263880.72,107.8572738725,1991
1990-12-24,267080.16,109.164996832778,1991
1990-12-25,270035.06,110.372767747477,1991
1990-12-26,272635.31,111.435580810845,1991
1990-12-27,274951.94,112.382468466644,1991
1990-12-28,277100.06,113.260480195394,1991
1990-12-29,278979.78,114.028787462569,1991
1990-12-30,280728.72,114.7436403725,1991
1990-12-31,282255.22,115.367574279329,1991
1991-01-01,321006.41,131.206540129942,1991
1991-01-02,335293.44,137.046148675556,1991
1991-01-03,344423.75,140.778025510706,1991
1991-01-04,351151.66,143.527957493079,1991
1991-01-05,356551.56,145.735085369583,1991
1991-01-06,361050.31,147.573881742558,1991
1991-01-07,365039.06,149.204223289144,1991
1991-01-08,368473.06,150.607819120162,1991
1991-01-09,371644.53,151.904109763785,1991
1991-01-10,374502.28,153.072172077731,1991
1991-01-11,377087.34,154.128776457153,1991
1991-01-12,379506.72,155.117661629444,1991
1991-01-13,381799.19,156.054674248762,1991
1991-01-14,383933.44,156.927016823704,1991
1991-01-15,385945.03,157.749223969225,1991
1991-01-16,387842.97,158.524978387257,1991
1991-01-17,389576.28,159.233442769861,1991
1991-01-18,391253.88,159.919136528194,1991
1991-01-19,392880.12,160.583837659306,1991
1991-01-20,394441.44,161.222003717222,1991
1991-01-21,395945.22,161.836651165903,1991
1991-01-22,397378.28,162.422392878657,1991
1991-01-23,398759.06,162.986765928032,1991
1991-01-24,400088.31,163.530076865243,1991
1991-01-25,401378.12,164.05726729588,1991
1991-01-26,402604.47,164.558519406354,1991
1991-01-27,403793.22,165.044403082569,1991
1991-01-28,404940.75,165.513438703993,1991
1991-01-29,405982.56,165.939262866111,1991
1991-01-30,407075.75,166.38608783015,1991
1991-01-31,408079.84,166.796494509815,1991
1991-02-01,489693.28,200.154760129815,1991
1991-02-02,517867.66,211.670614034745,1991
1991-02-03,534560.38,218.493512171134,1991
1991-02-04,546208.88,223.254661279352,1991
1991-02-05,555284.19,226.964057692049,1991
1991-02-06,562945.31,230.095425220567,1991
1991-02-07,569712.12,232.861256992639,1991
1991-02-08,575756.88,235.331961691389,1991
1991-02-09,581239.31,237.572822463623,1991
1991-02-10,586456.25,239.705168192998,1991
1991-02-11,592115.06,242.018121636366,1991
1991-02-12,598159.12,244.488540220648,1991
1991-02-13,603681.38,246.745680906088,1991
1991-02-14,608732.44,248.810225681343,1991
1991-02-15,613282.75,250.67009642853,1991
1991-02-16,617563.62,252.419837629792,1991
1991-02-17,621583.31,254.062825435845,1991
1991-02-18,625418.12,255.630246323657,1991
