Month,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Storage,Water_Year
1990-10-01,3845304,1785325,616231,-8976973,-260642,2990760,1991
1990-11-01,5647104,0,0,-2925872,-520837,-2200374,1991
1990-12-01,3638620,0,0,-612621,-346733,-2679259,1991
1991-01-01,4377612,0,0,-818005,-435094,-3124513,1991
1991-02-01,4512032,0,0,-1080220,-623041,-2808768,1991
1991-03-01,16012325,114541,655251,-12931826,-2601012,-1249381,1991
1991-04-01,5975018,2280707,4134993,-13526810,-486501,1622575,1991
1991-05-01,5073978,4876630,5830779,-14755689,-391487,-634244,1991
1991-06-01,5520738,7539627,9004895,-18618852,-1170465,-2275942,1991
1991-07-01,4052417,6520539,13500667,-23067366,-2376120,1369836,1991
1991-08-01,1385362,3784656,12376878,-17327380,-1307285,1087811,1991
1991-09-01,352122,2087796,2964258,-11719057,-762706,7077602,1991
1991-10-01,3251426,1427849,600904,-8169024,-525041,3413867,1992
1991-11-01,12874837,0,0,-2273830,-2087447,-8513575,1992
1991-12-01,9508832,0,0,-606897,-2678814,-6223118,1992
1992-01-01,8770522,0,0,-821369,-2775730,-5173430,1992
1992-02-01,626675,0,0,-1114699,-200016,688042,1992
1992-03-01,7314854,130997,704489,-11726397,-805238,4381315,1992
1992-04-01,6320702,3234985,5303089,-16873108,-324619,2338942,1992
1992-05-01,2210231,7809042,9379840,-19956516,-173555,730944,1992
1992-06-01,12243382,6560987,9815679,-24426068,-2212001,-1981973,1992
1992-07-01,1314239,6962241,13806163,-22540636,-2105479,2563447,1992
1992-08-01,0,3639687,14826039,-18232484,-1401579,1168324,1992
1992-09-01,811784,3585005,2507070,-12854962,-801693,6752817,1992
1992-10-01,11710821,1543642,479970,-10283030,-1559234,-1892159,1993
1992-11-01,5510409,0,0,-3164854,-807169,-1538391,1993
1992-12-01,21226492,0,0,-630469,-6363806,-14232215,1993
1993-01-01,25138278,0,0,-631572,-14238623,-10268113,1993
1993-02-01,827204,0,0,-900184,-578055,651033,1993
1993-03-01,9337073,0,1559,-11687007,-837442,3185840,1993
1993-04-01,9285656,346648,302793,-14887733,-800871,5753518,1993
1993-05-01,18424866,5792404,6959752,-21767118,-2725852,-6684042,1993
1993-06-01,4302265,9619663,11488811,-27024886,-3562937,5177132,1993
1993-07-01,0,10597609,11991493,-24002214,-2970036,4383206,1993
1993-08-01,4627914,6924619,10037059,-20033124,-2909196,1352703,1993
1993-09-01,1118048,4778306,2267956,-14668295,-1586764,8090748,1993
1993-10-01,3516888,1500602,466587,-9733991,-892602,5142513,1994
1993-11-01,3264278,0,0,-2039446,-316006,-908814,1994
1993-12-01,12292324,0,0,-617398,-2252931,-9422035,1994
1994-01-01,9887228,0,0,-616096,-3324048,-5947082,1994
1994-02-01,250669,0,0,-893024,-79895,722251,1994
1994-03-01,3041144,134114,742738,-12814178,-124442,9020581,1994
1994-04-01,1053427,3310930,5581366,-14068564,-37608,4160468,1994
1994-05-01,7512992,7265240,8728972,-20055442,-319533,-3132200,1994
1994-06-01,0,8936785,13156371,-20626562,-870498,-596061,1994
1994-07-01,0,4200236,18034696,-22500946,-1556116,1822175,1994
1994-08-01,0,3385618,14237526,-16753617,-1260918,391406,1994
1994-09-01,972144,2940795,2706992,-12754306,-861500,6995876,1994
1994-10-01,135325,1368787,683821,-6835262,-246297,4893652,1995
1994-11-01,18911874,0,0,-2564704,-2624374,-13722892,1995
1994-12-01,8956296,0,0,-618064,-2561173,-5777092,1995
1995-01-01,51591248,0,0,-436099,-34317884,-16837294,1995
1995-02-01,288268,0,0,-1427409,-213991,1353134,1995
1995-03-01,28141386,0,0,-9458011,-19402736,719392,1995
1995-04-01,13096180,2340,9875,-15063451,-1034605,2989742,1995
1995-05-01,8764026,4325658,5126764,-23107598,-822752,5713850,1995
1995-06-01,6586436,8479675,10106825,-25489438,-1340593,1657114,1995
1995-07-01,7922141,9595754,10738504,-25768554,-3915621,1427868,1995
1995-08-01,0,8519846,12317666,-21230506,-2532526,2925566,1995
1995-09-01,294032,3722216,2658596,-13981755,-1289928,8596864,1995
1995-10-01,108260,1931310,600509,-8577500,-348031,6285478,1996
1995-11-01,3087716,0,0,-2576542,-265709,-245485,1996
1995-12-01,45136668,0,0,-638111,-15305235,-29193358,1996
1996-01-01,41343524,0,0,-644576,-38204116,-2494882,1996
1996-02-01,2761897,0,0,-1115872,-2135518,489484,1996
1996-03-01,6436918,0,0,-10591893,-623036,4778015,1996
1996-04-01,9313576,1713695,1919028,-16072623,-687586,3813925,1996
1996-05-01,7013056,6811500,8105976,-22665526,-628275,1363244,1996
1996-06-01,976365,10873086,12823486,-26663738,-2675547,4666449,1996
1996-07-01,778194,10815066,14532782,-25994410,-3129591,2997942,1996
1996-08-01,394953,5978168,14473274,-20953348,-2055199,2162162,1996
1996-09-01,2053303,3960250,2032342,-12822305,-1131489,5907926,1996
1996-10-01,7316129,1781127,553811,-9603486,-1091172,1043571,1997
1996-11-01,22619664,0,0,-2786537,-6077442,-13755638,1997
1996-12-01,48516792,0,0,-650981,-34672008,-13193661,1997
1997-01-01,27194270,0,0,-828942,-25980190,-385168,1997
1997-02-01,350938,0,0,-1049452,-269792,968307,1997
1997-03-01,5016858,0,805,-11860860,-1198081,8041274,1997
1997-04-01,4196078,2263615,2567556,-15699536,-191520,6863812,1997
1997-05-01,1323643,9826650,11645198,-25469196,-93062,2766725,1997
1997-06-01,6685106,9228151,10893571,-23184936,-2503403,-1118511,1997
1997-07-01,2010218,5888000,8126718,-15636577,-1709494,1321142,1997
1997-08-01,6244577,777318,868467,-2255445,-1853271,-3781654,1997
1997-09-01,3386757,593708,184604,-2289656,-1103273,-772153,1997
1997-10-01,7764934,106868,33229,-1185576,-2513242,-4206190,1998
1997-11-01,12395192,0,0,-618172,-7443686,-4333318,1998
1997-12-01,5859870,0,0,-622126,-4070607,-1167130,1998
1998-01-01,29565750,0,0,-665214,-24698350,-4202102,1998
1998-02-01,200535,0,0,-1049037,-148122,996623,1998
1998-03-01,15807355,0,0,-10612618,-5629956,435224,1998
1998-04-01,3348102,1423014,1591096,-15995171,-199117,9832096,1998
1998-05-01,17343618,4103739,4915021,-18496354,-1596867,-6269183,1998
1998-06-01,9120900,8910615,10496763,-27131110,-4227990,2830844,1998
1998-07-01,2217159,12572673,13690199,-29536894,-3877178,4934044,1998
1998-08-01,290150,9599962,12940854,-22419180,-2827756,2415942,1998
1998-09-01,3559056,4859494,2170773,-15877253,-1954167,7242082,1998
1998-10-01,7110430,1467611,456329,-9941171,-1284284,2191104,1999
1998-11-01,41185896,0,0,-2585608,-16276225,-22323924,1999
1998-12-01,6229038,0,0,-622066,-4929380,-677595,1999
1999-01-01,23627370,0,0,-834580,-21304506,-1488282,1999
1999-02-01,2331224,0,0,-1446546,-1779007,894335,1999
1999-03-01,4680065,0,247,-9383262,-990119,5693037,1999
1999-04-01,809701,2943391,3324496,-15529033,-22650,8474120,1999
1999-05-01,268740,8828769,10476741,-22102982,-28524,2557256,1999
1999-06-01,0,10755251,12695781,-22662752,-2132467,1344229,1999
1999-07-01,0,12055063,14084043,-23313716,-3109382,283998,1999
1999-08-01,1062289,7739820,11425294,-19297034,-2229490,1299106,1999
1999-09-01,0,5310730,2457629,-14871556,-1553656,8656860,1999
1999-10-01,5686410,2137352,664574,-9481064,-926457,1919169,2000
1999-11-01,16827168,0,0,-3196640,-3726466,-9903953,2000
1999-12-01,5023702,0,0,-617833,-1659022,-2746827,2000
2000-01-01,33267142,0,0,-645572,-15870489,-16751137,2000
2000-02-01,3299792,0,0,-1141109,-1832734,-325950,2000
2000-03-01,8730632,0,0,-7054276,-5195229,3518877,2000
2000-04-01,13694540,21391,34125,-17390268,-1550138,5190353,2000
2000-05-01,2446402,7488724,8929689,-22483624,-90890,3709670,2000
2000-06-01,1899711,4566668,5360670,-11685497,-729986,588439,2000
2000-07-01,3772482,8463366,10625952,-23365208,-2444487,2947895,2000
2000-08-01,331034,4849026,13518048,-20095810,-1829669,3227389,2000
2000-09-01,835806,4046734,2266608,-12848301,-802474,6501628,2000
2000-10-01,10778864,1477787,459494,-10167060,-1607838,-941274,2001
2000-11-01,3599028,0,0,-2539622,-433259,-626147,2001
2000-12-01,4997362,0,0,-614501,-1385733,-2997142,2001
2001-01-01,6375119,0,0,-825574,-1912579,-3636950,2001
2001-02-01,3546321,0,0,-956286,-1096699,-1493345,2001
2001-03-01,11128325,102546,511197,-11654454,-2497574,2409986,2001
2001-04-01,4724931,2781166,4472640,-14548733,-209031,2779079,2001
2001-05-01,2090194,10082093,11942617,-22821708,-229451,-1063776,2001
2001-06-01,466540,6842211,14092375,-21508630,-1556613,1664181,2001
2001-07-01,2277640,3653970,15863862,-21500756,-1593178,1298457,2001
2001-08-01,0,3346518,15249182,-17938484,-1360386,703168,2001
2001-09-01,2444904,1591171,3308271,-12890157,-1075238,6621075,2001
2001-10-01,1242054,893887,942859,-7329566,-299364,4550118,2002
2001-11-01,29227266,0,0,-2093056,-5840200,-21294120,2002
2001-12-01,23301694,0,0,-650097,-11256868,-11394721,2002
2002-01-01,17759114,0,0,-844129,-13845082,-3069947,2002
2002-02-01,11598695,0,0,-1186220,-9877015,-535454,2002
2002-03-01,2381340,734,7921,-13932271,-168187,11710406,2002
2002-04-01,7759728,2784198,3697261,-15297858,-586010,1642680,2002
2002-05-01,1439976,7652837,9038830,-20605624,-71994,2546023,2002
2002-06-01,554065,9704287,11296525,-22276574,-1485747,2207429,2002
2002-07-01,852820,7477478,13548238,-22407502,-2048974,2577994,2002
