Date,FJ_Flow_m3d,Flow,wy
1990-10-01,248622.12,101.620550707917,1991
1990-10-02,240580.64,98.3337167524074,1991
1990-10-03,234865.08,95.9975676004167,1991
1990-10-04,230159.5,94.0742325769676,1991
1990-10-05,226100.84,92.4153163697685,1991
1990-10-06,222528.58,90.9552088440509,1991
1990-10-07,219344.73,89.6538580617014,1991
1990-10-08,216476.22,88.4813977596528,1991
1990-10-09,213869.06,87.4157603377546,1991
1990-10-10,211478.28,86.4385649851389,1991
1990-10-11,209269.34,85.5356939965046,1991
1990-10-12,207215.75,84.6963199829282,1991
1990-10-13,205295.27,83.9113526790394,1991
1990-10-14,203489.42,83.1732386628935,1991
1990-10-15,201783.61,82.4760144915162,1991
1990-10-16,200230.28,81.8411142258796,1991
1990-10-17,198712.27,81.2206504788079,1991
1990-10-18,197252.14,80.6238443108565,1991
1990-10-19,195850.67,80.0510145352894,1991
1990-10-20,194504.16,79.5006488327778,1991
1990-10-21,193208.45,78.9710468659144,1991
1990-10-22,191959.56,78.4605818695833,1991
1990-10-23,190753.89,77.9677823979514,1991
1990-10-24,189588.5,77.4914467702546,1991
1990-10-25,188460.81,77.0305204503125,1991
1990-10-26,187368.38,76.584006124838,1991
1990-10-27,186309.61,76.1512498179051,1991
1990-10-28,185282.27,75.7313400505671,1991
1990-10-29,184284.91,75.3236841571412,1991
1990-10-30,183372.25,74.950648114294,1991
1990-10-31,182452.56,74.5747386647222,1991
1990-11-01,182576.14,74.6252501303009,1991
1990-11-02,183945.48,75.1849472518056,1991
1990-11-03,188365.7,76.9916456688657,1991
1990-11-04,196660.38,80.3819713146528,1991
1990-11-05,214814.44,87.802170188287,1991
1990-11-06,227066.78,92.8101298109491,1991
1990-11-07,234919.53,96.0198232186458,1991
1990-11-08,240342.62,98.2364296587268,1991
1990-11-09,244275.08,99.8437635147685,1991
1990-11-10,247259.83,101.063735167836,1991
1990-11-11,249637.92,102.035743673889,1991
1990-11-12,251537.31,102.812090757604,1991
1990-11-13,253137.16,103.466005373287,1991
1990-11-14,254569.59,104.051489583021,1991
1990-11-15,255606.92,104.475482612546,1991
1990-11-16,256670.78,104.910319380394,1991
1990-11-17,257581,105.282358109954,1991
1990-11-18,258363.22,105.60207876544,1991
1990-11-19,259017.58,105.869538569745,1991
1990-11-20,259638.25,106.123228093461,1991
1990-11-21,260288.27,106.388913988067,1991
1990-11-22,260945.55,106.657567298437,1991
1990-11-23,261331.14,106.815171409236,1991
1990-11-24,261792.97,107.003937472905,1991
1990-11-25,262225.91,107.180895183762,1991
1990-11-26,262652.28,107.355167505972,1991
1990-11-27,263029.47,107.50933824316,1991
1990-11-28,263420.62,107.669214920301,1991
1990-11-29,263726.62,107.794287816134,1991
1990-11-30,264065.28,107.932709995556,1991
1990-12-01,245965.02,100.534501062431,1991
1990-12-02,244935.67,100.113769737836,1991
1990-12-03,244954.77,100.121576575451,1991
1990-12-04,245081.91,100.173543137465,1991
1990-12-05,245303.42,100.26408201706,1991
1990-12-06,245402.83,100.304714358808,1991
1990-12-07,245569.78,100.372952659329,1991
1990-12-08,245738.42,100.441881721921,1991
1990-12-09,245939.03,100.523878040984,1991
1990-12-10,246146.61,100.608723242674,1991
1990-12-11,246404.69,100.714209559525,1991
1990-12-12,246621.81,100.802954092674,1991
1990-12-13,246864.84,100.902288948472,1991
1990-12-14,247118.06,101.005788813449,1991
1990-12-15,247451.16,101.141938426528,1991
1990-12-16,247788.31,101.279743416169,1991
1990-12-17,248139.06,101.423107201181,1991
1990-12-18,248521.02,101.579227604097,1991
1990-12-19,249009.62,101.778935502477,1991
1990-12-20,249821.77,102.110889595127,1991
1990-12-21,252360.14,103.14841013956,1991
1990-12-22,255855.97,104.577278052766,1991
1990-12-23,259550.86,106.087508745856,1991
1990-12-24,263070.69,107.526186297951,1991
1990-12-25,266290.56,108.842259713333,1991
1990-12-26,269269.97,110.060048721748,1991
1990-12-27,271896.44,111.133578815602,1991
1990-12-28,274239.47,112.091257074178,1991
1990-12-29,276413.47,112.97984686353,1991
1990-12-30,278317.59,113.758127263576,1991
1990-12-31,280089.69,114.482446475035,1991
1991-01-01,317903.25,129.938170171007,1991
1991-01-02,332241.25,135.798611937211,1991
1991-01-03,341485.19,139.57693332515,1991
1991-01-04,348329.06,142.374262212755,1991
1991-01-05,353837.53,144.625766443183,1991
1991-01-06,358434.28,146.50461884162,1991
1991-01-07,362514.22,148.172232928634,1991
1991-01-08,366028.78,149.608756447523,1991
1991-01-09,369275.56,150.935828920509,1991
1991-01-10,372201.91,152.13193045228,1991
1991-01-11,374849.31,153.214015368715,1991
1991-01-12,377326.56,154.226554032778,1991
1991-01-13,379673.44,155.185805920926,1991
1991-01-14,381857.81,156.078634291748,1991
1991-01-15,383916.19,156.919966145752,1991
1991-01-16,385857.88,157.713602718009,1991
1991-01-17,387631.28,158.438453284907,1991
1991-01-18,389347.28,159.139842465463,1991
1991-01-19,391009.84,159.819388850093,1991
1991-01-20,392605.53,160.471603128368,1991
1991-01-21,394142.06,161.099636646782,1991
1991-01-22,395606.28,161.698114540694,1991
1991-01-23,397016.62,162.274569795301,1991
1991-01-24,398374.34,162.829517416644,1991
1991-01-25,399691.06,163.367706904884,1991
1991-01-26,400943.38,163.879573862106,1991
1991-01-27,402157.16,164.375688174213,1991
1991-01-28,403328.88,164.854611094167,1991
1991-01-29,404393.25,165.28965631684,1991
1991-01-30,405508.97,165.745690079387,1991
1991-01-31,406534.53,166.164872298507,1991
1991-02-01,488141.78,199.520607849144,1991
1991-02-02,516348.84,211.049819212361,1991
1991-02-03,532994.69,217.85355994147,1991
1991-02-04,544722.19,222.64699911103,1991
1991-02-05,553825.06,226.367660259051,1991
1991-02-06,561507.75,229.507844200521,1991
1991-02-07,568294,232.281621780093,1991
1991-02-08,574357.5,234.759986171875,1991
1991-02-09,579857.31,237.007950757604,1991
1991-02-10,584959.88,239.093549470324,1991
1991-02-11,590635.31,241.413296088623,1991
1991-02-12,596793.88,243.930518912454,1991
1991-02-13,602349.38,246.201245947755,1991
1991-02-14,607421.75,248.274500864873,1991
1991-02-15,611989.56,250.14152447375,1991
1991-02-16,616286.38,251.897784997523,1991
1991-02-17,620321.56,253.547104108009,1991
1991-02-18,624171.19,255.120582447836,1991
1991-02-19,627976.81,256.67607236235,1991
1991-02-20,631769.31,258.226199674271,1991
1991-02-21,635678.31,259.823944608299,1991
1991-02-22,639344.25,261.322342424479,1991
1991-02-23,642860.69,262.759634365081,1991
1991-02-24,646143.06,264.10125371507,1991
1991-02-25,649211.75,265.35553458015,1991
1991-02-26,652092.12,266.53284247875,1991
1991-02-27,654693.88,267.596272731898,1991
1991-02-28,657240.94,268.637345183079,1991
1991-03-01,761903.88,311.416747118472,1991
1991-03-02,805241.94,329.130527066181,1991
