Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,110.04550373445112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,155.6,161.8,209.0,154.5,931.6000000000001,743.4000000000001,648.3000000000001,1139.3,568.8000000000001,550.8000000000001,129.3,190.8,506.20000000000005,388.40000000000003,450.5,1005.5,169.0,266.4,170.7,364.5,345.0,307.4,339.8,193.6,76.60000000000001,731.4,766.5,164.5
Wet_BFL_Mag_50,283.0,387.5,971.0,285.0,1539.0,1210.0,2075.0,1365.5,806.0,967.5,180.5,689.0,1142.0,604.0,673.0,1564.5,619.0,626.0,366.0,589.0,879.0,366.0,463.0,364.0,535.0,972.0,1208.5,282.5
Wet_Tim,88.0,94.0,74.0,58.0,88.0,58.0,28.0,86.0,28.0,79.0,73.0,55.0,57.0,57.0,58.0,44.0,28.0,57.0,46.0,78.0,28.0,89.0,55.0,120.0,41.0,87.0,58.0,28.0
Wet_BFL_Dur,157.0,120.0,171.0,126.0,97.0,83.0,98.0,98.0,118.0,134.0,112.0,158.0,69.0,98.0,176.0,186.0,141.0,179.0,188.0,186.0,173.0,125.0,159.0,65.0,113.0,99.0,96.0,186.0
Peak_2,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0
Peak_5,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002,1717.8000000000002
Peak_10,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8,2133.8
Peak_Dur_2,nan,nan,62.0,nan,142.0,126.0,74.0,178.0,59.0,29.0,nan,nan,99.0,15.0,nan,155.0,nan,nan,nan,nan,40.0,nan,nan,nan,27.0,37.0,149.0,nan
Peak_Dur_5,nan,nan,nan,nan,26.0,29.0,61.0,30.0,nan,nan,nan,nan,nan,nan,nan,88.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,38.0,nan,nan,nan,nan,nan,nan,nan,nan,50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.0,nan
Peak_Fre_2,nan,nan,2.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,2.0,1.0,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,nan,1.0,1.0,1.0,nan
Peak_Fre_5,nan,nan,nan,nan,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
SP_Mag,359.0,625.0,1343.0,362.0,1781.0,1982.0,2667.0,1875.0,1310.0,1147.0,403.0,805.0,1594.0,1153.0,1020.0,1565.0,885.0,1058.0,679.0,1059.0,1248.0,1053.0,600.0,585.0,1623.0,1578.0,2640.0,602.0
SP_Tim,245.0,214.0,245.0,184.0,185.0,141.0,126.0,184.0,146.0,213.0,185.0,213.0,126.0,155.0,234.0,230.0,169.0,236.0,234.0,264.0,201.0,214.0,214.0,185.0,154.0,186.0,154.0,214.0
SP_Dur,56.0,75.0,56.0,103.0,141.0,155.0,150.0,141.0,154.0,90.0,87.0,86.0,170.0,143.0,69.0,66.0,117.0,65.0,67.0,64.0,148.0,86.0,72.0,75.0,109.0,109.0,141.0,64.0
SP_ROC,0.04205607476635514,0.03409090909090909,0.01971639471639472,0.05771365149833518,0.0032292787944025836,0.005649762598252404,0.007194244604316547,0.00510204081632653,0.0019588638589618022,0.008353221957040573,0.010414220423794642,0.015699815837937385,0.003395585738539898,0.00567644784327204,0.030303030303030304,0.020484282668668016,0.01818181818181818,0.04878048780487805,0.06458333333333333,0.020833333333333332,0.007359705611775529,0.011066275372951823,0.046536796536796536,0.029850746268656716,0.01496268656716418,0.012579113924050634,0.0033333333333333335,0.06125
DS_Mag_50,38.0,11.0,82.0,9.0,89.5,50.0,96.0,113.0,84.0,66.5,10.0,28.0,91.0,32.0,56.0,70.0,14.0,43.0,34.0,73.5,108.0,44.0,44.0,9.0,10.0,30.0,66.0,11.0
DS_Mag_90,121.20000000000002,85.0,99.0,34.80000000000001,111.3,69.3,297.0,124.0,251.39999999999998,100.0,15.200000000000017,79.10000000000001,114.4,99.5,117.60000000000008,80.0,112.4,92.0,93.39999999999999,137.5,150.0,92.0,70.0,13.0,109.59999999999997,378.8,72.0,68.0
DS_Tim,301.0,289.0,301.0,287.0,326.0,296.0,276.0,325.0,300.0,303.0,272.0,299.0,296.0,298.0,303.0,296.0,286.0,301.0,301.0,328.0,349.0,300.0,286.0,260.0,263.0,295.0,295.0,278.0
DS_Dur_WS,159.0,151.0,123.0,167.0,98.0,98.0,176.0,69.0,145.0,136.0,149.0,124.0,127.0,126.0,107.0,98.0,137.0,111.0,143.0,66.0,106.0,121.0,200.0,147.0,190.0,129.0,99.0,116.0
