Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,155.6,161.8,209.0,152.4,936.6000000000001,728.8000000000001,624.4000000000001,1140.6000000000001,559.0,422.4000000000003,108.0,191.2,495.6000000000001,326.70000000000005,440.3,1004.6,214.8,257.8,167.0,364.5,336.5,306.0,95.6,182.5,76.9,105.5,771.5,160.5
Wet_BFL_Mag_50,283.0,387.5,971.0,283.0,1541.0,1249.0,2119.0,1364.5,820.5,966.0,159.0,689.0,1159.0,598.0,677.0,1564.0,624.0,651.0,358.0,589.0,889.5,390.0,416.5,351.5,527.0,980.0,1253.5,280.0
Wet_Tim,88.0,94.0,74.0,58.0,88.0,58.0,28.0,86.0,28.0,78.0,57.0,53.0,57.0,53.0,58.0,43.0,45.0,57.0,46.0,78.0,28.0,89.0,29.0,119.0,40.0,62.0,58.0,28.0
Wet_BFL_Dur,157.0,120.0,171.0,127.0,97.0,83.0,98.0,98.0,116.0,137.0,128.0,159.0,69.0,102.0,178.0,187.0,125.0,178.0,182.0,184.0,172.0,126.0,184.0,66.0,114.0,124.0,96.0,186.0
Peak_2,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5
Peak_5,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002,1719.0000000000002
Peak_10,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005,2152.9000000000005
