Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,115.01678397240192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,145.8,163.0,220.80000000000013,158.0,951.2000000000002,747.2,674.8000000000001,1154.0,571.5,287.6,139.2,61.800000000000004,598.9,390.7,457.5,1004.5,175.0,270.4,173.3,364.5,348.4,308.0,341.0,183.5,441.0,736.4,770.5,189.4
Wet_BFL_Mag_50,281.0,389.0,968.5,286.0,1542.0,1208.0,2078.0,1355.0,807.0,964.0,181.0,620.0,1147.0,605.5,672.5,1564.5,620.0,626.0,365.5,590.0,879.5,392.5,461.0,352.5,618.0,974.0,1195.0,284.0
Wet_Tim,80.0,94.0,74.0,58.0,88.0,58.0,28.0,87.0,28.0,77.0,72.0,30.0,58.0,57.0,58.0,43.0,28.0,57.0,47.0,78.0,28.0,89.0,55.0,119.0,53.0,87.0,58.0,28.0
Wet_BFL_Dur,165.0,121.0,172.0,126.0,97.0,83.0,98.0,98.0,118.0,127.0,113.0,185.0,68.0,98.0,176.0,186.0,141.0,179.0,184.0,184.0,172.0,126.0,160.0,66.0,101.0,99.0,96.0,187.0
Peak_2,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5
Peak_5,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003,1715.4000000000003
Peak_10,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8,2124.8
