Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,153.6,122.3,145.9,146.5,926.5,721.6,619.4000000000001,1122.6000000000001,548.0,282.8,104.9,298.2,469.40000000000003,301.20000000000005,436.0,847.4000000000005,158.2,254.5,96.4,331.0,333.5,303.0,91.3,190.6,438.0,101.80000000000001,764.0,157.8
Wet_BFL_Mag_50,279.0,374.0,625.5,281.0,1533.5,1222.0,2090.0,1353.0,813.5,960.0,157.0,699.0,1153.0,593.0,666.0,1554.0,611.0,643.0,298.0,591.0,883.0,411.0,402.5,376.0,607.0,977.0,1229.5,278.0
Wet_Tim,88.0,81.0,63.0,57.0,89.0,58.0,28.0,86.0,28.0,77.0,55.0,70.0,57.0,52.0,58.0,42.0,28.0,57.0,19.0,77.0,28.0,89.0,28.0,120.0,58.0,62.0,58.0,28.0
Wet_BFL_Dur,157.0,134.0,168.0,128.0,96.0,83.0,98.0,98.0,116.0,139.0,130.0,143.0,68.0,103.0,177.0,189.0,142.0,176.0,209.0,179.0,172.0,127.0,184.0,65.0,96.0,124.0,96.0,187.0
Peak_2,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0,1136.0
Peak_5,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002,1736.0000000000002
Peak_10,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003,2125.7000000000003
