Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,143.0088774204874,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,158.7,201.0,591.7,227.0,1132.2,833.8000000000001,826.4000000000001,1152.6000000000001,711.4,737.4000000000001,147.2,317.6,560.3000000000001,475.7,538.0,1035.2,256.4,315.6,199.0,553.1,449.5,341.5,152.6,264.0,195.0,194.60000000000002,844.0,220.6
Wet_BFL_Mag_50,304.5,397.0,1042.5,318.0,1597.0,1351.0,2240.0,1376.5,903.0,1025.0,193.0,741.0,1288.5,684.5,689.0,1883.0,665.5,667.0,381.0,636.0,957.5,446.0,461.0,418.0,652.0,1021.0,1302.5,311.0
Wet_Tim,89.0,74.0,86.0,57.0,88.0,57.0,28.0,86.0,28.0,81.0,42.0,56.0,57.0,57.0,55.0,55.0,28.0,58.0,28.0,88.0,43.0,89.0,28.0,119.0,43.0,59.0,58.0,28.0
Wet_BFL_Dur,138.0,141.0,144.0,126.0,97.0,83.0,97.0,98.0,115.0,129.0,143.0,157.0,52.0,98.0,177.0,175.0,142.0,173.0,199.0,170.0,156.0,126.0,187.0,65.0,111.0,127.0,96.0,187.0
Peak_2,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5,1158.5
Peak_5,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4,1795.4
Peak_10,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005,2204.5000000000005
