Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,168.9953460974333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,158.7,215.2,602.7,237.5,1189.0,860.0,857.0,1169.4,741.2,802.8000000000001,176.6,358.8,671.9000000000001,493.7,576.2,1036.5,268.4,338.2,213.0,579.1,464.7,346.4,170.2,281.0,491.6,216.20000000000002,865.0,228.0
Wet_BFL_Mag_50,304.5,398.0,1046.0,327.0,1615.0,1381.0,2277.0,1386.0,924.0,1030.0,201.0,750.5,1334.0,701.0,693.0,1851.5,678.5,672.0,392.0,651.0,970.5,448.0,471.0,437.5,765.0,1036.5,1315.5,321.0
Wet_Tim,89.0,67.0,85.0,58.0,88.0,57.0,28.0,86.0,28.0,82.0,58.0,56.0,57.0,57.0,57.0,54.0,28.0,58.0,28.0,88.0,41.0,89.0,28.0,119.0,57.0,58.0,58.0,28.0
Wet_BFL_Dur,138.0,147.0,144.0,126.0,97.0,83.0,95.0,99.0,115.0,133.0,127.0,152.0,52.0,98.0,175.0,176.0,142.0,175.0,199.0,170.0,158.0,125.0,187.0,66.0,97.0,128.0,96.0,187.0
Peak_2,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0
Peak_5,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001,1808.6000000000001
Peak_10,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005,2221.9000000000005
Peak_Dur_2,nan,nan,62.0,nan,145.0,129.0,72.0,159.0,59.0,24.0,nan,nan,59.0,27.0,nan,124.0,nan,nan,nan,nan,30.0,nan,nan,nan,27.0,35.0,136.0,nan
Peak_Dur_5,nan,nan,nan,nan,18.0,29.0,61.0,28.0,nan,nan,nan,nan,nan,nan,nan,89.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,52.0,nan,nan,nan,nan,nan,nan,nan,nan,55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.0,nan
Peak_Fre_2,nan,nan,2.0,nan,1.0,1.0,1.0,2.0,1.0,1.0,nan,nan,1.0,1.0,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,1.0,1.0,nan
Peak_Fre_5,nan,nan,nan,nan,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
SP_Mag,364.0,666.0,1339.0,388.0,1839.0,2039.0,2739.0,1884.0,1348.0,1175.0,457.0,822.0,1681.0,1311.0,1030.0,1573.0,916.0,1070.0,700.0,1063.0,1272.0,1151.0,635.0,657.0,1763.0,1636.0,2686.0,658.0
SP_Tim,227.0,214.0,229.0,184.0,185.0,140.0,123.0,185.0,143.0,215.0,185.0,208.0,109.0,155.0,232.0,230.0,170.0,233.0,227.0,258.0,199.0,214.0,215.0,185.0,154.0,186.0,154.0,215.0
SP_Dur,125.0,55.0,114.0,86.0,160.0,147.0,137.0,157.0,194.0,115.0,84.0,78.0,182.0,129.0,108.0,64.0,98.0,97.0,112.0,84.0,154.0,112.0,54.0,78.0,109.0,92.0,137.0,54.0
SP_ROC,0.012269938650306749,0.028507583965330444,0.006920415224913495,0.009433962264150943,0.003766478342749529,0.002824858757062147,0.005410279531109108,0.004058441558441558,0.002544529262086514,0.008,0.012461059190031152,0.008849557522123894,0.002753557257310385,0.004494404718619965,0.008928571428571428,0.007628885978951452,0.00663716814159292,0.010667349377026797,0.010291625476627594,0.013423423423423425,0.004569196959806933,0.008996007768666379,0.02691723614274867,0.03,0.014545646884586903,0.0072992700729927005,0.0032626427406199023,0.03856749311294766
DS_Mag_50,73.0,95.0,137.0,66.0,133.0,125.0,146.5,182.5,144.0,117.5,60.0,94.0,184.5,123.0,99.0,127.5,96.5,90.0,98.0,223.0,154.5,77.0,91.0,64.5,60.0,131.0,117.0,68.0
DS_Mag_90,137.0,245.30000000000004,152.0,115.70000000000002,153.3,220.4,319.9,203.0,315.0,155.7,129.00000000000006,144.0,256.40000000000003,163.2,328.80000000000007,217.80000000000024,178.5,102.7,191.60000000000002,409.40000000000003,175.0,92.30000000000001,111.5,155.2,69.0,480.0,221.8,109.0
DS_Tim,352.0,269.0,343.0,270.0,345.0,287.0,260.0,342.0,337.0,330.0,269.0,286.0,291.0,284.0,340.0,294.0,268.0,330.0,339.0,342.0,353.0,326.0,269.0,263.0,263.0,278.0,291.0,269.0
DS_Dur_WS,81.0,182.0,81.0,184.0,78.0,107.0,192.0,52.0,111.0,94.0,153.0,137.0,132.0,139.0,80.0,100.0,156.0,64.0,115.0,65.0,102.0,68.0,216.0,160.0,161.0,146.0,103.0,125.0
