Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,181.0122095465571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,162.1,219.4,328.2,254.2,1236.6000000000001,891.4000000000001,827.2,1146.7,756.0,790.6,181.6,181.3,683.1,514.7,595.4,1039.8,275.0,346.2,215.0,618.0,659.0,358.4,190.20000000000002,292.5,503.6,253.60000000000002,882.0,236.6
Wet_BFL_Mag_50,304.0,401.0,1057.0,342.0,1635.0,1409.0,2194.0,1366.5,948.0,1038.0,207.0,666.5,1361.0,713.5,698.5,1892.0,689.0,677.0,409.0,685.0,1060.0,475.0,483.0,457.0,796.0,1056.0,1329.5,329.0
Wet_Tim,89.0,66.0,58.0,58.0,88.0,57.0,28.0,86.0,27.0,82.0,58.0,29.0,57.0,57.0,57.0,54.0,28.0,58.0,28.0,89.0,40.0,89.0,28.0,119.0,57.0,58.0,58.0,28.0
Wet_BFL_Dur,182.0,149.0,215.0,125.0,97.0,83.0,79.0,188.0,116.0,127.0,127.0,182.0,52.0,98.0,178.0,175.0,141.0,175.0,200.0,186.0,235.0,125.0,185.0,66.0,97.0,128.0,96.0,187.0
Peak_2,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5,1221.5
Peak_5,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4,1819.4
Peak_10,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3,2233.3
Peak_Dur_2,nan,nan,61.0,nan,145.0,88.0,69.0,150.0,59.0,nan,nan,nan,52.0,20.0,nan,123.0,nan,nan,nan,24.0,58.0,nan,nan,nan,27.0,33.0,97.0,nan
Peak_Dur_5,nan,nan,nan,nan,18.0,29.0,61.0,28.0,nan,nan,nan,nan,nan,nan,nan,89.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,53.0,nan,nan,nan,nan,nan,nan,nan,nan,56.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.0,nan
Peak_Fre_2,nan,nan,2.0,nan,1.0,1.0,1.0,2.0,1.0,nan,nan,nan,1.0,1.0,nan,2.0,nan,nan,nan,1.0,2.0,nan,nan,nan,1.0,1.0,1.0,nan
Peak_Fre_5,nan,nan,nan,nan,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
SP_Mag,304.0,669.0,1117.0,394.0,1847.0,2047.0,2750.0,1409.0,1353.0,1177.0,464.0,826.0,1692.0,1320.0,1033.0,1575.0,922.0,1072.0,703.0,1263.0,1273.0,1157.0,639.0,675.0,1778.0,1645.0,2693.0,678.0
SP_Tim,271.0,215.0,273.0,183.0,185.0,140.0,107.0,274.0,143.0,209.0,185.0,211.0,109.0,155.0,235.0,229.0,169.0,233.0,228.0,275.0,275.0,214.0,213.0,185.0,154.0,186.0,154.0,215.0
SP_Dur,83.0,115.0,72.0,165.0,161.0,182.0,143.0,67.0,196.0,122.0,109.0,119.0,204.0,172.0,107.0,89.0,125.0,103.0,119.0,68.0,78.0,117.0,80.0,54.0,79.0,132.0,162.0,78.0
SP_ROC,0.012345679012345678,0.010811126694717158,0.011869436201780416,0.00966183574879227,0.0035587301285765396,0.0033473014307962936,0.004819277108433735,0.00992708641245443,0.0031397251631474143,0.0096,0.009009009009009009,0.012384969325153376,0.002729774663187039,0.0055309734513274336,0.013793103448275862,0.01060070671378092,0.005176911303146348,0.01426923207438325,0.013072453861927546,0.014598540145985401,0.012269938650306749,0.010230045311955385,0.007547277284119389,0.022727272727272728,0.012399750276136965,0.006666666666666667,0.003336113427856547,0.009174311926605505
DS_Mag_50,79.0,128.0,146.0,70.5,139.0,123.5,181.5,192.5,148.0,120.0,71.0,84.0,168.5,116.5,102.0,122.5,126.0,93.0,133.5,242.0,169.5,80.0,102.0,89.0,81.0,209.0,113.5,92.0
DS_Mag_90,145.3,167.7,161.0,128.0,165.0,138.0,331.9,217.9,317.0,159.0,94.0,148.6,240.0,163.0,355.4,156.5,187.10000000000002,102.30000000000001,206.3,432.80000000000007,184.0,95.80000000000001,123.0,184.2000000000001,137.0,507.5,144.6,113.0
DS_Tim,354.0,330.0,345.0,348.0,346.0,322.0,250.0,341.0,339.0,331.0,294.0,330.0,313.0,327.0,342.0,318.0,294.0,336.0,347.0,343.0,353.0,331.0,293.0,239.0,233.0,318.0,316.0,293.0
DS_Dur_WS,78.0,94.0,79.0,106.0,77.0,72.0,202.0,52.0,109.0,93.0,101.0,93.0,110.0,96.0,78.0,76.0,130.0,58.0,108.0,63.0,102.0,63.0,192.0,184.0,191.0,106.0,78.0,101.0
