Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,158.1,94.0,496.6,177.8,1037.5,730.9,740.3000000000001,1161.0,566.5,679.6,63.7,319.40000000000003,649.6,398.40000000000003,452.0,1023.6,208.4,270.4,167.2,450.2,351.3,303.0,99.4,190.4,319.6000000000001,105.8,776.5,198.6
Wet_BFL_Mag_50,284.5,331.0,1029.0,283.0,1543.5,1245.5,2117.5,1360.0,817.5,965.0,152.5,708.0,1182.0,600.0,675.5,1868.0,617.5,651.0,324.0,599.0,890.5,386.0,431.0,346.5,594.0,985.0,1256.5,277.0
Wet_Tim,89.0,45.0,88.0,58.0,89.0,57.0,28.0,87.0,28.0,81.0,7.0,68.0,57.0,58.0,57.0,55.0,28.0,58.0,24.0,88.0,28.0,89.0,27.0,117.0,51.0,61.0,58.0,27.0
Wet_BFL_Dur,152.0,171.0,143.0,125.0,96.0,84.0,98.0,97.0,116.0,132.0,178.0,147.0,68.0,97.0,176.0,173.0,142.0,178.0,204.0,167.0,172.0,126.0,188.0,68.0,103.0,125.0,96.0,187.0
Peak_2,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5,1140.5
Peak_5,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002
Peak_10,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005,2154.9000000000005
