Year,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FA_Mag,nan,nan,189.9238735,469.9550521,614.0163065,nan,634.0588698,215.9882152,81.84104889,nan,199.9925081,613.9753229,nan,nan,1489.963728,258.0173185,1010.007213,264.9948738,nan,nan,108.9278573,nan,nan,79.00072851,515.9984045,87.99648074,190.9946018,508.9923811,133.9994407,nan,259.0018627,134.974212,715.9803329,158.969203,nan,nan,nan,183.9992462,1039.912258,nan,nan,209.9911791,nan,nan,128.9919562,168.9951463,nan,nan,nan,50.99677102,85.99937499,79.99740742,nan,nan,nan,nan,215.9996649,nan,140.977385,114.0055486,501.8754516,185.9941975,98.99968173,103.0006768,487.9987463,nan,777.9722081,181.0028261,33.00891239,754.8488423,nan,nan,nan,191.9961147,691.979574,485.999046,nan,107.9966404,53.00178587,34.99217576
FA_Tim,nan,nan,25,34,30,nan,16,34,41,nan,23,67,nan,nan,50,26,10,44,nan,nan,27,nan,nan,12,45,4,45,49,13,nan,43,35,22,53,nan,nan,nan,61,24,nan,nan,23,nan,nan,24,30,nan,nan,nan,35,52,17,nan,nan,nan,nan,31,nan,29,75,52,39,28,24,37,nan,19,33,16,24,nan,nan,nan,25,70,16,nan,60,19,46
FA_Dur,nan,nan,3,3,7,nan,3,7,5,nan,8,7,nan,nan,5,5,1,6,nan,nan,3,nan,nan,3,4,3,3,5,7,nan,6,7,3,2,nan,nan,nan,13,7,nan,nan,4,nan,nan,6,5,nan,nan,nan,5,2,3,nan,nan,nan,nan,8,nan,5,9,4,3,6,10,8,nan,6,7,2,5,nan,nan,nan,7,20,7,nan,4,5,2
Wet_BFL_Mag_10,577.2,593,181,263,322,172,276.8,421,454.5,660,379,233.6,420,168.1,590,567,807.8,207.8,232.6,246,204.4,337.8,368.6,315,340,323.6,222.6,647,456,659.8,237.6,310.8,934,850.1,302.2,58,586.2,186,294.2,155.7,735.6,697.6,645.5,311,338.4,376.8,254,227.8,126.9,108,171.6,503.2,122,816.7,566.4,828,969.4,518.8,747,116,319,620,298.8,317,291.6,164,272.4,169,377.3,488,279,257.6,93,303,1037,642.8,130.9,408.8,122,96.8
Wet_BFL_Mag_50,890,1335,350,453,762,405,451,815,969,1070,1365,1800,1205,214,1160,1200,1310,678,680,710,435,871,546,679,622,628,673.5,1230,960,1295,725,535,1620,1415,479,86,1150,541,733,479,1305,1510,1075,471.5,1020,690,468,315,280.5,265.5,418,1280,240.5,1520,1400,2040,1580,1270,1135,224,574.5,1240,756,533.5,808,561,572,381,580.5,1070,646,427,473,612,1560,1700,299.5,924,223.5,277
Wet_Tim,57,42,112,77,43,43,86,137,103,21,38,85,38,35,68,133,74,79,113,45,50,4,30,57,85,40,97,92,68,32,102,70,33,124,21,37,49,95,37,56,40,49,29,24,100,112,52,39,17,94,121,103,57,91,58,44,90,44,94,129,58,69,57,62,53,31,76,79,88,57,107,47,127,53,100,66,36,96,63,78
Wet_BFL_Dur,195,164,113,151,191,175,167,91,136,221,216,29,196,222,21,113,77,150,135,203,163,232,224,32,136,198,54,141,51,212,59,163,153,124,209,219,137,136,117,160,108,195,216,176,49,110,201,137,230,146,83,144,168,170,177,53,167,217,146,102,142,176,163,172,43,141,158,154,164,211,105,177,37,83,98,109,160,115,184,139
Peak_2,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,6370,6370,6370,6370,6370,6370,6370,6370,6370,6370,6370,6370,6370,6370,6370,6370,6370,6370,6370,4710,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,4040,3860,3860
Peak_5,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,9460,14020,14020,14020,14020,14020,14020,14020,14020,14020,14020,14020,14020,14020,14020,14020,14020,14020,14020,14020,11140,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,7330,6878,6878
Peak_10,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,12160,17860,17860,17860,17860,17860,17860,17860,17860,17860,17860,17860,17860,17860,17860,17860,17860,17860,17860,17860,13630,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12580,12580
Peak_Dur_2,nan,2,nan,nan,1,nan,2,nan,nan,3,1,3,nan,nan,6,nan,11,nan,1,1,nan,6,nan,6,nan,1,3,nan,8,3,5,nan,7,1,nan,nan,2,nan,2,nan,7,2,nan,nan,5,nan,nan,1,1,nan,nan,5,nan,10,3,12,7,nan,nan,nan,nan,3,1,nan,16,nan,nan,nan,nan,nan,1,1,nan,4,4,14,nan,1,nan,nan
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,nan,nan,4,nan,2,nan,nan,nan,nan,1,nan,5,nan,nan,1,nan,2,1,nan,nan,2,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,nan,6,2,nan,nan,nan,nan,1,nan,nan,5,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,2,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,nan,nan,2,nan,nan,nan,nan,nan,nan,nan,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,2,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,1,nan,nan,nan,nan
Peak_Fre_2,nan,2,nan,nan,1,nan,1,nan,nan,2,1,1,nan,nan,2,nan,3,nan,1,1,nan,4,nan,1,nan,1,1,nan,2,1,2,nan,3,1,nan,nan,1,nan,1,nan,4,2,nan,nan,2,nan,nan,1,1,nan,nan,2,nan,5,1,3,2,nan,nan,nan,nan,2,1,nan,4,nan,nan,nan,nan,nan,1,1,nan,1,4,5,nan,1,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,2,nan,2,nan,nan,nan,nan,1,nan,1,nan,nan,1,nan,1,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,nan,2,1,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,1,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,1,nan,nan,nan,nan
SP_Mag,1850,2110,1060,1790,1710,1110,2100,2300,1560,1300,2610,12400,1820,815,4950,1480,12000,1220,1530,1820,1560,2480,1000,12400,1850,3620,4000,2860,17200,2040,3670,1730,6540,3740,1660,262,1920,1520,3210,866,7780,4830,1650,1900,4570,1100,720,1930,1060,672,1690,4600,787,1760,2700,21500,2390,1610,1770,1040,2140,2300,1470,2620,10700,1480,3000,1160,2800,1800,2910,1060,3690,4380,2380,4080,1300,2510,517,554
SP_Tim,252,206,225,228,234,218,253,228,239,242,254,114,234,257,89,246,151,229,248,248,213,236,254,89,221,238,151,233,119,244,161,233,186,248,230,256,186,231,154,216,148,244,245,200,149,222,253,176,247,240,204,247,225,261,235,97,257,261,240,231,200,245,220,234,96,172,234,233,252,268,212,224,164,136,198,175,196,211,247,217
SP_Dur,60,107,69,79,59,80,52,69,66,60,55,202,65,46,216,46,142,71,48,53,92,61,64,197,74,70,134,71,168,71,132,61,122,65,69,71,124,50,142,64,155,74,67,96,131,66,39,123,66,74,58,68,59,65,74,169,67,49,73,41,106,51,89,80,199,107,80,61,68,59,97,52,105,77,87,124,83,93,42,67
SP_ROC,0.045454545,0.042417311,0.035294118,0.044493937,0.050420168,0.051793496,0.069343429,0.054901961,0.052364329,0.039117233,0.073313783,0.052631579,0.051282051,0.065429353,0.069392379,0.046536797,0.058823529,0.05965206,0.066666667,0.063218391,0.047954765,0.046570621,0.056962025,0.052657005,0.070019455,0.063436173,0.066898148,0.076923077,0.056684492,0.051724138,0.059259259,0.05952381,0.063157895,0.059128746,0.052967649,0.063829787,0.07294482,0.0625,0.050847458,0.071279295,0.060083029,0.056680162,0.043751709,0.059434959,0.063063063,0.054915019,0.069046607,0.059210526,0.066666667,0.074074074,0.071856287,0.059326295,0.066959064,0.066801619,0.057803468,0.046757573,0.058441558,0.052982456,0.067609721,0.097701149,0.0625,0.060910119,0.070711939,0.071428571,0.055882353,0.05687164,0.057501652,0.072727273,0.069767442,0.059171598,0.068018643,0.060704837,0.06110005,0.050847458,0.061502607,0.064663182,0.071153846,0.063636364,0.08407995,0.071428571
DS_Mag_50,71,122,64,54.5,76.5,66,118,61,62,63.5,104.5,112,93,42,173,107.5,111,54,61,66,58,69,53,78,56,89,83,82,56,123,74,41,118,84.5,71.5,15.5,97,24,40,13,81.5,202,51.5,46,90,88,19,25,33,21,55,53,10,61,35,86,80.5,72.5,78.5,5,15,70,25,26,54,28,39,17,49,95,18.5,46,8,9,26,60,14,22,9,9
DS_Mag_90,90,163.6,180.8,144.8,129,173.3,230.5,88.9,79,114.5,243.9,137.9,106.8,330,337.1,656.6,233.7,72,69.6,105,73.4,112.6,107,258.2,70,149.6,148.3,120.3,86,373.2,131.8,173.2,337.7,99.7,84,47.3,155,166.4,75,29,202.3,260,96.5,186.7,159,159,35,47,62,120.8,156,74,36.4,86,97,228.3,140.5,224.1,103,8,76,126,93.2,208.2,77.9,172.6,144,66.1,365.8,127,55,57,73.2,224.2,522.4,76,122.4,141,15,11
DS_Tim,312,313,294,307,293,298,305,297,305,302,309,316,299,303,305,292,293,300,296,301,305,297,318,286,295,308,285,304,287,315,293,294,308,313,299,327,310,281,296,280,303,318,312,296,280,288,292,299,313,314,262,315,284,326,309,266,324,310,313,272,306,296,309,314,295,279,314,294,320,327,309,276,269,213,285,299,279,304,289,284
DS_Dur_WS,96,165,149,102,116,154,198,172,82,102,142,88,102,131,194,148,152,179,115,115,65,99,105,165,111,155,178,130,111,153,143,105,182,74,104,88,151,122,126,126,112,77,78,170,198,190,113,84,147,173,207,108,173,98,101,190,86,150,182,152,129,127,119,105,102,163,131,160,103,146,104,217,150,253,147,103,183,158,155,160
