Year,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968
FA_Mag,nan,nan,189.9238734886668,469.95505209258556,614.0163064897079,nan,634.0588698008592,215.98821524707154,81.84104888725459,nan,199.9925080823349,613.9753229280443,nan,nan,1489.963728186511,258.0173184659033,1010.0072134517654,264.9948738143523,nan,nan,108.92785732171625,nan,nan,79.00072850930209,515.9984045176432,87.99648074350819,190.99460180036374
FA_Tim,nan,nan,25.0,34.0,30.0,nan,16.0,34.0,41.0,nan,23.0,67.0,nan,nan,50.0,26.0,10.0,44.0,nan,nan,27.0,nan,nan,12.0,45.0,4.0,45.0
FA_Dur,nan,nan,3.0,3.0,7.0,nan,3.0,7.0,5.0,nan,8.0,7.0,nan,nan,5.0,5.0,1.0,6.0,nan,nan,3.0,nan,nan,3.0,4.0,3.0,3.0
Wet_BFL_Mag_10,577.2,593.0,181.0,263.0,322.0,172.0,276.8,421.0,454.5,660.0,379.0,233.6,420.0,168.1,590.0,567.0000000000003,807.8000000000001,207.8,232.60000000000002,246.0,204.4,337.8,368.6,315.0,340.0,323.6,222.6
Wet_BFL_Mag_50,890.0,1335.0,350.0,453.0,762.0,405.0,451.0,815.0,969.0,1070.0,1365.0,1800.0,1205.0,214.0,1160.0,1200.0,1310.0,678.0,680.0,710.0,435.0,871.0,546.0,679.0,622.0,628.0,673.5
Wet_Tim,57.0,42.0,112.0,77.0,43.0,43.0,86.0,137.0,103.0,21.0,38.0,85.0,38.0,35.0,68.0,133.0,74.0,79.0,113.0,45.0,50.0,4.0,30.0,57.0,85.0,40.0,97.0
Wet_BFL_Dur,195.0,164.0,113.0,151.0,191.0,175.0,167.0,91.0,136.0,221.0,216.0,29.0,196.0,222.0,21.0,113.0,77.0,150.0,135.0,203.0,163.0,232.0,224.0,32.0,136.0,198.0,54.0
Peak_2,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0,5760.0
Peak_5,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002,9460.000000000002
Peak_10,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0,12160.0
Peak_Dur_2,nan,2.0,nan,nan,1.0,nan,2.0,nan,nan,3.0,1.0,3.0,nan,nan,6.0,nan,11.0,nan,1.0,1.0,nan,6.0,nan,6.0,nan,1.0,3.0
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,4.0,nan,2.0,nan,nan,nan,nan,1.0,nan,5.0,nan,nan,1.0
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan
Peak_Fre_2,nan,2.0,nan,nan,1.0,nan,1.0,nan,nan,2.0,1.0,1.0,nan,nan,2.0,nan,3.0,nan,1.0,1.0,nan,4.0,nan,1.0,nan,1.0,1.0
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,1.0
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
SP_Mag,1850.0,2110.0,1060.0,1790.0,1710.0,1110.0,2100.0,2300.0,1560.0,1300.0,2610.0,12400.0,1820.0,815.0,4950.0,1480.0,12000.0,1220.0,1530.0,1820.0,1560.0,2480.0,1000.0,12400.0,1850.0,3620.0,4000.0
SP_Tim,252.0,206.0,225.0,228.0,234.0,218.0,253.0,228.0,239.0,242.0,254.0,114.0,234.0,257.0,89.0,246.0,151.0,229.0,248.0,248.0,213.0,236.0,254.0,89.0,221.0,238.0,151.0
SP_Dur,60.0,107.0,69.0,79.0,59.0,80.0,52.0,69.0,66.0,60.0,55.0,202.0,65.0,46.0,216.0,46.0,142.0,71.0,48.0,53.0,92.0,61.0,64.0,197.0,74.0,70.0,134.0
SP_ROC,0.045454545454545456,0.04241731130014649,0.03529411764705882,0.04449393714427122,0.05042016806722689,0.05179349648005364,0.06934342876091523,0.054901960784313725,0.05236432878451285,0.039117232907035365,0.07331378299120235,0.05263157894736842,0.05128205128205128,0.06542935340403695,0.0693923793338998,0.046536796536796536,0.058823529411764705,0.05965206042772189,0.06666666666666667,0.06321839080459771,0.04795476469018739,0.04657062081251694,0.056962025316455694,0.05265700483091787,0.07001945525291829,0.06343617259110217,0.06689814814814815
DS_Mag_50,71.0,122.0,64.0,54.5,76.5,66.0,118.0,61.0,62.0,63.5,104.5,112.0,93.0,42.0,173.0,107.5,111.0,54.0,61.0,66.0,58.0,69.0,53.0,78.0,56.0,89.0,83.0
DS_Mag_90,90.0,163.6,180.80000000000007,144.8,129.0,173.30000000000015,230.50000000000006,88.9,79.0,114.50000000000003,243.90000000000006,137.89999999999998,106.80000000000001,330.0,337.1,656.6000000000003,233.70000000000002,72.0,69.60000000000001,105.0,73.4,112.60000000000001,107.0,258.2,70.0,149.6,148.3
DS_Tim,312.0,313.0,294.0,307.0,293.0,298.0,305.0,297.0,305.0,302.0,309.0,316.0,299.0,303.0,305.0,292.0,293.0,300.0,296.0,301.0,305.0,297.0,318.0,286.0,295.0,308.0,285.0
DS_Dur_WS,96.0,165.0,149.0,102.0,116.0,154.0,198.0,172.0,82.0,102.0,142.0,88.0,102.0,131.0,194.0,148.0,152.0,179.0,115.0,115.0,65.0,99.0,105.0,165.0,111.0,155.0,178.0
