Year,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FA_Mag,nan,nan,50.99677102038187,85.99937498878299,79.99740741661476,nan,nan,nan,nan,215.99966493846694,nan,140.97738504854593,114.0055485648447,501.8754515911416,185.9941974842365,98.99968173112595,103.00067675706408,487.99874626732634,nan,777.9722081174801,181.00282614081704,33.0089123889198,754.8488423380062,nan,nan,nan,191.9961147369857,691.9795739931916,485.9990459654876,nan,107.9966403521677,53.00178587223539,34.99217575572129
FA_Tim,nan,nan,35.0,52.0,17.0,nan,nan,nan,nan,31.0,nan,29.0,75.0,52.0,39.0,28.0,24.0,37.0,nan,19.0,33.0,16.0,24.0,nan,nan,nan,25.0,70.0,16.0,nan,60.0,19.0,46.0
FA_Dur,nan,nan,5.0,2.0,3.0,nan,nan,nan,nan,8.0,nan,5.0,9.0,4.0,3.0,6.0,10.0,8.0,nan,6.0,7.0,2.0,5.0,nan,nan,nan,7.0,20.0,7.0,nan,4.0,5.0,2.0
Wet_BFL_Mag_10,227.8,126.9,108.0,171.60000000000002,503.2,122.0,816.7,566.4,828.0,969.4,518.8,747.0,116.0,319.0,620.0,298.8,317.0,291.6,164.0,272.4,169.0,377.3,488.0,279.0,257.6,93.0,303.0,1037.0,642.8,130.9,408.8,122.0,96.8
Wet_BFL_Mag_50,315.0,280.5,265.5,418.0,1280.0,240.5,1520.0,1400.0,2040.0,1580.0,1270.0,1135.0,224.0,574.5,1240.0,756.0,533.5,808.0,561.0,572.0,381.0,580.5,1070.0,646.0,427.0,473.0,612.0,1560.0,1700.0,299.5,924.0,223.5,277.0
Wet_Tim,39.0,17.0,94.0,121.0,103.0,57.0,91.0,58.0,44.0,90.0,44.0,94.0,129.0,58.0,69.0,57.0,62.0,53.0,31.0,76.0,79.0,88.0,57.0,107.0,47.0,127.0,53.0,100.0,66.0,36.0,96.0,63.0,78.0
Wet_BFL_Dur,137.0,230.0,146.0,83.0,144.0,168.0,170.0,177.0,53.0,167.0,217.0,146.0,102.0,142.0,176.0,163.0,172.0,43.0,141.0,158.0,154.0,164.0,211.0,105.0,177.0,37.0,83.0,98.0,109.0,160.0,115.0,184.0,139.0
Peak_2,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0,3860.0
Peak_5,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002,6878.000000000002
Peak_10,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0,12580.0
Peak_Dur_2,1.0,1.0,nan,nan,5.0,nan,11.0,5.0,12.0,8.0,nan,nan,nan,nan,4.0,1.0,nan,16.0,nan,nan,nan,1.0,nan,1.0,1.0,nan,4.0,4.0,15.0,nan,1.0,nan,nan
Peak_Dur_5,nan,nan,nan,nan,nan,nan,3.0,nan,7.0,3.0,nan,nan,nan,nan,1.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan
Peak_Fre_2,1.0,1.0,nan,nan,2.0,nan,6.0,2.0,3.0,2.0,nan,nan,nan,nan,3.0,1.0,nan,4.0,nan,nan,nan,1.0,nan,1.0,1.0,nan,1.0,4.0,5.0,nan,1.0,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,2.0,nan,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan
