Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,150.9,123.0,200.0,132.5,974.0,722.8000000000001,616.8000000000001,1141.6000000000001,548.0,642.2,109.0,260.1,456.20000000000005,355.0,437.0,1021.4,197.8,261.8,169.0,389.8,327.0,305.0,99.0,178.0,444.0,120.2,780.0,157.6
Wet_BFL_Mag_50,268.0,370.0,1027.0,282.0,1545.5,1252.0,2131.0,1365.5,822.0,972.0,159.0,711.0,1190.0,601.0,671.0,1536.0,629.0,643.0,374.0,603.0,894.0,416.0,420.5,371.0,614.5,986.0,1258.0,278.0
Wet_Tim,85.0,76.0,73.0,58.0,89.0,58.0,28.0,86.0,28.0,80.0,58.0,67.0,57.0,58.0,58.0,53.0,45.0,58.0,47.0,79.0,28.0,89.0,29.0,120.0,58.0,62.0,58.0,28.0
Wet_BFL_Dur,160.0,139.0,171.0,126.0,96.0,83.0,97.0,98.0,116.0,135.0,127.0,144.0,67.0,97.0,183.0,179.0,125.0,187.0,198.0,195.0,171.0,127.0,186.0,65.0,96.0,124.0,96.0,187.0
Peak_2,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0
Peak_5,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003,1759.2000000000003
Peak_10,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004,2155.6000000000004
