Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,143.3,125.0,127.0,154.0,938.0,727.8000000000001,627.7,1139.2,547.5,398.5,108.0,276.40000000000003,479.3,269.1,441.3,1004.2,159.2,256.0,165.0,344.20000000000005,337.4,306.0,96.0,193.6,433.0,694.4,762.5,166.0
Wet_BFL_Mag_50,283.5,372.5,624.0,283.0,1533.0,1236.0,2095.5,1362.0,812.5,966.5,159.0,690.0,1144.0,596.0,677.5,1570.0,617.0,651.0,363.0,589.0,886.5,390.0,421.5,368.0,601.0,976.5,1239.5,279.0
Wet_Tim,79.0,78.0,58.0,58.0,89.0,58.0,28.0,86.0,28.0,78.0,58.0,67.0,57.0,51.0,58.0,43.0,28.0,56.0,46.0,77.0,28.0,89.0,29.0,120.0,56.0,86.0,58.0,28.0
Wet_BFL_Dur,162.0,138.0,179.0,127.0,96.0,83.0,98.0,99.0,116.0,136.0,127.0,147.0,68.0,104.0,178.0,187.0,143.0,181.0,188.0,185.0,172.0,126.0,186.0,65.0,98.0,100.0,96.0,186.0
Peak_2,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
Peak_5,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001,1728.6000000000001
Peak_10,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003,2145.7000000000003
