Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,145.8,128.0,151.2,153.4,943.5,733.8000000000001,624.4000000000001,1147.4,560.0,401.5,106.0,317.2,297.8,355.5,443.0,1005.4,161.2,253.8,105.1,339.0,336.4,306.0,92.6,189.6,442.0,90.4,785.0,156.2
Wet_BFL_Mag_50,276.0,378.0,650.0,284.0,1546.0,1261.0,2138.0,1365.0,823.0,984.0,158.0,714.0,1152.0,601.0,678.0,1555.0,632.0,651.0,324.0,601.0,899.5,390.5,414.0,379.0,616.0,987.0,1260.5,281.0
Wet_Tim,80.0,84.0,65.0,58.0,89.0,58.0,28.0,86.0,28.0,78.0,53.0,71.0,56.0,55.0,58.0,43.0,28.0,57.0,25.0,77.0,28.0,89.0,28.0,120.0,58.0,62.0,58.0,28.0
Wet_BFL_Dur,165.0,131.0,163.0,127.0,96.0,83.0,98.0,99.0,116.0,136.0,132.0,143.0,55.0,100.0,179.0,185.0,142.0,177.0,202.0,181.0,172.0,126.0,184.0,65.0,96.0,124.0,96.0,187.0
Peak_2,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0
Peak_5,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002,1761.8000000000002
Peak_10,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3,2158.3
Peak_Dur_2,nan,nan,62.0,nan,141.0,120.0,71.0,162.0,59.0,26.0,nan,nan,44.0,18.0,nan,124.0,nan,nan,nan,nan,30.0,nan,nan,nan,27.0,35.0,136.0,nan
