Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,156.0,129.0,209.0,159.4,854.9000000000001,747.6,648.6,1144.6000000000001,579.5,562.4000000000001,125.80000000000001,185.8,509.00000000000006,386.7,449.3,1012.9,167.2,261.0,171.0,451.0,343.4,308.0,103.80000000000001,185.5,104.0,750.2,784.5,185.4
Wet_BFL_Mag_50,291.0,379.0,1037.0,284.0,1548.5,1266.0,2127.5,1368.5,827.0,976.0,176.0,713.0,1193.0,610.0,685.0,1593.0,622.5,659.0,360.0,605.0,896.5,420.0,428.0,379.0,585.5,993.0,1261.0,282.0
Wet_Tim,88.0,80.0,73.0,58.0,87.0,58.0,28.0,86.0,28.0,79.0,68.0,58.0,57.0,57.0,58.0,44.0,28.0,55.0,46.0,87.0,28.0,89.0,30.0,119.0,48.0,87.0,58.0,28.0
Wet_BFL_Dur,155.0,136.0,171.0,127.0,98.0,83.0,98.0,98.0,116.0,135.0,117.0,155.0,67.0,98.0,178.0,190.0,142.0,181.0,182.0,171.0,172.0,127.0,185.0,66.0,106.0,99.0,96.0,187.0
Peak_2,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0,1147.0
Peak_5,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003,1764.2000000000003
Peak_10,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3,2160.3
Peak_Dur_2,nan,nan,62.0,nan,142.0,122.0,71.0,174.0,59.0,25.0,nan,nan,42.0,18.0,nan,124.0,nan,nan,nan,nan,30.0,nan,nan,nan,27.0,36.0,149.0,nan
