Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,130.7,121.1,124.30000000000001,155.4,934.5,730.8000000000001,628.4000000000001,1111.4,563.2,390.5,110.6,242.60000000000002,509.4000000000001,328.70000000000005,438.0,994.6,163.4,260.2,169.1,309.0,338.5,285.4,97.80000000000001,175.5,415.8,121.6,775.0,163.20000000000002
Wet_BFL_Mag_50,304.5,352.5,611.0,264.0,1525.5,1219.0,2121.5,1345.0,822.0,946.0,140.0,691.0,1173.0,568.5,686.5,1575.0,593.0,659.0,340.0,585.0,864.5,400.0,363.0,385.0,602.5,968.0,1226.0,257.0
Wet_Tim,95.0,78.0,57.0,58.0,89.0,58.0,28.0,86.0,28.0,79.0,58.0,65.0,57.0,53.0,58.0,43.0,28.0,57.0,46.0,77.0,28.0,89.0,29.0,119.0,54.0,61.0,58.0,28.0
Wet_BFL_Dur,148.0,132.0,172.0,127.0,96.0,83.0,98.0,99.0,117.0,126.0,127.0,138.0,69.0,102.0,172.0,187.0,143.0,175.0,182.0,181.0,172.0,127.0,175.0,66.0,100.0,125.0,96.0,187.0
Peak_2,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5
Peak_5,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003,1742.2000000000003
Peak_10,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005,2135.0000000000005
