Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,129.6,138.0,215.1000000000001,134.0,883.8000000000002,724.8000000000001,626.1,1112.4,553.0,602.0000000000001,111.5,161.4,476.6,357.0,434.8,1010.2,164.1,262.8,172.0,363.8,329.6,282.6,101.0,175.0,418.2,711.2,782.5,160.2
Wet_BFL_Mag_50,291.0,377.0,1044.5,263.0,1531.0,1221.0,2128.0,1345.0,824.0,951.0,135.5,695.0,1187.0,573.0,682.0,1599.0,600.0,656.0,357.5,590.0,870.5,338.0,384.0,377.0,605.0,973.0,1230.0,255.0
Wet_Tim,95.0,103.0,75.0,57.0,88.0,58.0,28.0,86.0,28.0,81.0,59.0,58.0,57.0,58.0,58.0,53.0,28.0,58.0,47.0,80.0,28.0,89.0,29.0,119.0,54.0,87.0,58.0,28.0
Wet_BFL_Dur,147.0,111.0,162.0,128.0,97.0,83.0,98.0,99.0,117.0,123.0,126.0,147.0,69.0,97.0,179.0,177.0,142.0,183.0,196.0,189.0,172.0,125.0,181.0,66.0,100.0,99.0,96.0,187.0
Peak_2,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5,1157.5
Peak_5,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002,1748.0000000000002
Peak_10,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005,2137.0000000000005
