Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,134.1,64.80000000000001,481.4,179.4,1044.5,765.4,749.0,1129.4,573.4,632.5,nan,305.0,666.6,401.8,462.7,1014.2,213.3,275.6,179.0,438.2,355.3,285.0,107.4,201.0,121.4,123.5,786.0,201.0
Wet_BFL_Mag_50,292.0,173.0,1049.0,264.0,1534.5,1223.0,2128.5,1341.0,822.0,950.0,nan,697.0,1195.0,573.0,682.5,1639.0,600.0,656.5,335.0,591.0,870.5,367.5,386.5,378.0,582.0,967.0,1232.5,263.0
Wet_Tim,98.0,35.0,88.0,57.0,89.0,58.0,28.0,87.0,28.0,82.0,nan,65.0,57.0,58.0,57.0,55.0,28.0,58.0,27.0,89.0,28.0,89.0,28.0,119.0,47.0,60.0,58.0,28.0
Wet_BFL_Dur,142.0,175.0,149.0,128.0,96.0,83.0,98.0,97.0,117.0,118.0,nan,137.0,68.0,97.0,182.0,177.0,142.0,184.0,214.0,178.0,172.0,126.0,178.0,66.0,107.0,126.0,96.0,187.0
Peak_2,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5,1156.5
Peak_5,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003,1749.2000000000003
Peak_10,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3,2138.3
Peak_Dur_2,nan,nan,62.0,nan,142.0,118.0,69.0,160.0,59.0,28.0,nan,nan,41.0,12.0,nan,124.0,nan,nan,nan,nan,30.0,nan,nan,nan,27.0,35.0,122.0,nan
