Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,152.6,126.0,289.40000000000003,139.5,809.8000000000001,868.0,617.9000000000001,1067.4,621.1,581.6,118.0,166.8,934.6,361.20000000000005,446.8,980.8,175.4,271.3,179.7,336.0,327.0,250.4,108.0,183.6,349.1000000000001,650.6,793.5,169.5
Wet_BFL_Mag_50,267.0,320.0,1085.5,274.5,1454.0,1178.0,2137.0,1285.0,1001.5,890.0,167.0,683.0,1083.0,523.0,692.0,1772.0,572.0,643.0,358.0,548.0,786.0,329.5,354.0,361.0,604.5,902.0,1148.5,277.5
Wet_Tim,89.0,75.0,77.0,58.0,88.0,58.0,28.0,87.0,28.0,83.0,52.0,58.0,57.0,58.0,58.0,54.0,28.0,58.0,48.0,81.0,28.0,89.0,29.0,120.0,52.0,87.0,58.0,28.0
Wet_BFL_Dur,157.0,140.0,158.0,126.0,97.0,141.0,98.0,98.0,158.0,117.0,133.0,143.0,143.0,97.0,185.0,175.0,155.0,182.0,198.0,191.0,171.0,122.0,171.0,65.0,102.0,99.0,96.0,186.0
Peak_2,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0,1183.0
Peak_5,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002,1700.8000000000002
Peak_10,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003,2081.7000000000003
