Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,196.97931300591665,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,163.0,149.0,447.4,172.6,1143.5,746.4,726.9,1144.5,579.0,267.7,101.4,236.0,819.2,391.6,423.2,1009.8,197.5,277.4,237.3,426.0,341.7,288.0,72.6,211.5,118.0,199.0,724.0,196.0
Wet_BFL_Mag_50,337.0,366.0,1028.0,278.0,1374.0,1103.0,1955.0,1304.5,1060.0,925.0,147.0,633.5,1034.0,568.0,622.5,1700.5,584.0,656.0,596.5,569.0,862.0,954.0,414.0,378.5,519.0,923.0,1093.5,265.0
Wet_Tim,103.0,70.0,89.0,58.0,89.0,58.0,28.0,88.0,28.0,77.0,27.0,64.0,57.0,58.0,57.0,55.0,28.0,73.0,83.0,89.0,28.0,139.0,30.0,119.0,39.0,75.0,58.0,28.0
Wet_BFL_Dur,141.0,146.0,155.0,177.0,156.0,97.0,98.0,166.0,216.0,138.0,158.0,150.0,168.0,109.0,188.0,190.0,156.0,173.0,162.0,185.0,230.0,104.0,184.0,66.0,115.0,111.0,96.0,187.0
Peak_2,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0,1181.0
Peak_5,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002,1628.8000000000002
Peak_10,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004,2059.1000000000004
Peak_Dur_2,nan,nan,62.0,nan,137.0,105.0,66.0,139.0,89.0,nan,nan,nan,31.0,nan,nan,123.0,nan,24.0,nan,28.0,58.0,nan,nan,nan,27.0,32.0,106.0,nan
Peak_Dur_5,nan,nan,nan,nan,29.0,29.0,61.0,31.0,nan,nan,nan,nan,nan,nan,nan,116.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,31.0,nan,nan,nan,nan,nan,nan,nan,nan,43.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.0,nan
Peak_Fre_2,nan,nan,2.0,nan,1.0,2.0,1.0,2.0,2.0,nan,nan,nan,1.0,nan,nan,2.0,nan,1.0,nan,1.0,2.0,nan,nan,nan,1.0,1.0,2.0,nan
Peak_Fre_5,nan,nan,nan,nan,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
SP_Mag,475.0,716.0,1447.0,403.0,1379.0,1937.0,2527.0,1371.0,1281.0,1143.0,391.0,864.0,1167.0,962.0,1139.0,1704.0,863.0,1219.0,843.0,1250.0,1256.0,955.0,679.0,568.0,1508.0,1522.0,2513.0,671.0
SP_Tim,244.0,216.0,244.0,235.0,245.0,155.0,126.0,254.0,244.0,215.0,185.0,214.0,225.0,167.0,245.0,245.0,184.0,246.0,245.0,274.0,258.0,243.0,214.0,185.0,154.0,186.0,154.0,215.0
SP_Dur,107.0,97.0,105.0,60.0,102.0,173.0,163.0,91.0,91.0,130.0,106.0,114.0,125.0,168.0,98.0,75.0,130.0,83.0,72.0,59.0,96.0,82.0,106.0,98.0,132.0,145.0,164.0,81.0
