Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,215.9866788251386,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,166.0,167.0,467.5,186.4,1175.0,755.6,759.1,1146.4,584.9,695.2,143.9,264.0,856.1,401.6,447.0,1014.6,218.8,372.3,259.5,444.6,359.4,375.00000000000006,330.0,219.5,434.0,211.0,735.5,202.0
Wet_BFL_Mag_50,338.5,390.5,1033.0,283.0,1379.5,1106.0,1964.0,1307.0,1062.0,931.0,184.0,644.0,1045.0,573.0,629.5,1703.0,589.0,665.0,608.5,574.0,873.0,957.0,461.0,383.0,638.0,930.0,1099.5,269.0
Wet_Tim,106.0,92.0,89.0,58.0,88.0,58.0,28.0,88.0,28.0,83.0,58.0,58.0,57.0,58.0,58.0,55.0,28.0,84.0,89.0,89.0,28.0,143.0,53.0,119.0,57.0,75.0,58.0,28.0
Wet_BFL_Dur,138.0,124.0,156.0,185.0,154.0,95.0,98.0,175.0,214.0,133.0,180.0,156.0,168.0,109.0,186.0,189.0,155.0,162.0,156.0,185.0,233.0,89.0,162.0,66.0,97.0,111.0,96.0,187.0
Peak_2,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0,1185.0
Peak_5,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004,1635.6000000000004
Peak_10,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003,2065.2000000000003
