Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,205.978184544954,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,154.4,154.8,482.6,182.8,955.8000000000001,765.6,698.5,1148.0,603.5,623.8000000000001,132.8,203.8,908.8,389.8,443.6,976.8,189.4,258.2,245.0,437.9,339.0,295.0,335.0,197.8,348.80000000000007,614.6,746.0,199.0
Wet_BFL_Mag_50,315.0,389.0,1035.0,282.0,1524.0,1162.0,2004.5,1307.0,1048.0,943.0,172.0,660.0,1029.0,579.5,658.0,1660.5,601.0,556.0,597.0,581.0,857.0,372.0,463.0,380.0,601.0,947.0,1138.5,272.0
Wet_Tim,89.0,91.0,89.0,57.0,88.0,58.0,28.0,87.0,28.0,80.0,66.0,57.0,58.0,58.0,58.0,44.0,28.0,52.0,82.0,88.0,26.0,89.0,56.0,120.0,51.0,84.0,58.0,28.0
Wet_BFL_Dur,155.0,125.0,157.0,189.0,97.0,97.0,98.0,153.0,210.0,135.0,119.0,157.0,169.0,102.0,187.0,200.0,155.0,195.0,161.0,178.0,186.0,126.0,158.0,65.0,103.0,102.0,96.0,187.0
Peak_2,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0
Peak_5,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003,1647.4000000000003
Peak_10,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003,2085.7000000000003
