Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,155.0,150.0,470.0,169.5,913.6000000000001,693.0,650.4000000000001,1138.0,523.6,411.20000000000033,106.6,172.8,464.20000000000005,370.0,423.6,986.9,155.2,247.0,112.4,413.9,327.5,298.0,334.0,186.20000000000002,74.80000000000001,646.0,744.5,191.0
Wet_BFL_Mag_50,299.0,382.0,1031.5,279.0,1532.0,1168.0,2036.0,1283.0,799.0,950.0,153.0,672.0,1073.0,582.0,681.0,1612.0,604.0,596.0,320.5,585.0,867.5,406.0,460.0,371.0,504.0,959.0,1170.5,271.0
Wet_Tim,89.0,93.0,88.0,58.0,88.0,57.0,28.0,87.0,27.0,78.0,58.0,54.0,57.0,57.0,58.0,43.0,28.0,53.0,28.0,87.0,28.0,89.0,55.0,120.0,37.0,85.0,58.0,28.0
Wet_BFL_Dur,153.0,121.0,156.0,176.0,97.0,85.0,98.0,151.0,119.0,137.0,127.0,158.0,69.0,99.0,183.0,200.0,147.0,191.0,202.0,168.0,176.0,127.0,159.0,65.0,117.0,101.0,96.0,187.0
Peak_2,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0
Peak_5,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001,1678.6000000000001
Peak_10,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005,2106.9000000000005
