Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114.9616387912541,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,155.3,160.2,497.0,180.7,971.5,720.9,684.0,1138.2,549.8,574.8000000000002,135.4,156.0,593.4000000000001,395.0,451.0,986.1,169.8,265.9,173.0,448.6,343.2,302.0,337.0,186.0,418.00000000000006,717.2,762.5,199.6
Wet_BFL_Mag_50,304.0,389.0,1035.0,287.0,1535.5,1208.0,2070.0,1331.0,805.0,951.0,176.0,680.0,1134.0,593.0,681.0,1618.5,610.5,626.0,358.0,586.0,873.5,411.0,464.0,364.5,619.5,969.0,1209.5,279.0
Wet_Tim,89.0,93.0,88.0,58.0,88.0,57.0,28.0,87.0,27.0,79.0,70.0,45.0,58.0,58.0,58.0,44.0,28.0,53.0,45.0,88.0,28.0,89.0,55.0,119.0,52.0,86.0,58.0,28.0
Wet_BFL_Dur,154.0,123.0,156.0,188.0,96.0,84.0,98.0,97.0,119.0,137.0,115.0,169.0,67.0,97.0,186.0,202.0,150.0,194.0,197.0,169.0,174.0,127.0,160.0,66.0,102.0,100.0,96.0,187.0
Peak_2,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5,1119.5
Peak_5,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002,1708.0000000000002
Peak_10,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003,2119.2000000000003
