Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,155.5,152.0,474.0,152.60000000000002,919.2000000000002,724.1,668.3000000000001,1143.0,604.4,365.0000000000001,112.80000000000001,172.1,475.20000000000005,378.2,429.20000000000005,985.7,159.60000000000002,241.0,142.0,421.3,329.6,296.0,87.4,191.20000000000002,74.80000000000001,609.4000000000001,741.5,193.0
Wet_BFL_Mag_50,300.5,382.0,1033.0,278.0,1531.0,1161.0,2026.0,1285.0,1031.0,948.0,154.0,668.0,1060.0,579.0,680.0,1622.5,602.0,584.0,326.0,584.5,864.0,373.5,417.0,373.0,503.0,956.0,1163.0,269.0
Wet_Tim,89.0,93.0,89.0,45.0,88.0,58.0,28.0,87.0,28.0,78.0,58.0,55.0,57.0,58.0,58.0,43.0,28.0,51.0,28.0,88.0,28.0,89.0,30.0,120.0,37.0,84.0,58.0,28.0
Wet_BFL_Dur,156.0,121.0,156.0,195.0,97.0,84.0,98.0,151.0,200.0,135.0,127.0,158.0,69.0,99.0,185.0,198.0,147.0,191.0,206.0,170.0,175.0,126.0,185.0,65.0,117.0,102.0,96.0,187.0
Peak_2,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5,1117.5
Peak_5,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002,1672.0000000000002
Peak_10,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003,2103.7000000000003
