Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,117.99650854833472,200.97516747103532,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,157.2,162.3,488.5,161.4,963.8000000000001,746.5,711.1,1144.0,607.0,664.9,131.9,177.2,910.4000000000001,397.3,449.9,966.0,185.1,261.6,245.3,443.20000000000005,344.7,296.0,331.0,205.20000000000002,354.80000000000007,630.2,743.0,198.0
Wet_BFL_Mag_50,321.0,390.0,1032.0,283.0,1521.0,1163.5,2018.5,1305.0,1052.0,935.5,173.0,651.0,1037.0,581.5,660.5,1651.0,596.5,563.0,592.5,572.0,856.5,402.0,459.0,389.0,610.0,945.0,1156.0,274.0
Wet_Tim,89.0,92.0,89.0,45.0,88.0,58.0,28.0,87.0,28.0,81.0,65.0,51.0,58.0,58.0,58.0,42.0,28.0,52.0,82.0,88.0,28.0,89.0,55.0,120.0,51.0,84.0,58.0,28.0
Wet_BFL_Dur,153.0,124.0,156.0,197.0,97.0,84.0,98.0,160.0,201.0,134.0,120.0,164.0,165.0,98.0,188.0,201.0,154.0,193.0,152.0,170.0,180.0,127.0,159.0,65.0,103.0,102.0,96.0,186.0
Peak_2,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5,1138.5
Peak_5,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002,1662.0000000000002
Peak_10,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004,2083.1000000000004
Peak_Dur_2,nan,nan,63.0,nan,142.0,147.0,69.0,174.0,90.0,2.0,nan,nan,32.0,nan,nan,124.0,nan,24.0,nan,nan,61.0,nan,nan,nan,27.0,35.0,141.0,nan
Peak_Dur_5,nan,nan,nan,nan,28.0,29.0,61.0,30.0,nan,nan,nan,nan,nan,nan,nan,88.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,31.0,nan,nan,nan,nan,nan,nan,nan,nan,49.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.0,nan
Peak_Fre_2,nan,nan,2.0,nan,1.0,1.0,1.0,1.0,2.0,1.0,nan,nan,1.0,nan,nan,2.0,nan,1.0,nan,nan,2.0,nan,nan,nan,1.0,1.0,1.0,nan
Peak_Fre_5,nan,nan,nan,nan,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
SP_Mag,424.0,677.0,1419.0,373.0,1732.0,1952.0,2592.0,1313.0,1202.0,1139.0,396.0,854.0,1108.0,1059.0,1098.0,1656.0,863.0,1166.0,756.0,1138.0,1226.0,1107.0,666.0,581.0,1557.0,1544.0,2548.0,648.0
SP_Tim,242.0,216.0,245.0,242.0,185.0,142.0,126.0,247.0,229.0,215.0,185.0,215.0,223.0,156.0,246.0,243.0,182.0,245.0,234.0,258.0,208.0,216.0,214.0,185.0,154.0,186.0,154.0,214.0
SP_Dur,83.0,97.0,80.0,53.0,146.0,174.0,160.0,83.0,96.0,111.0,107.0,105.0,95.0,163.0,81.0,68.0,115.0,77.0,85.0,71.0,129.0,107.0,83.0,90.0,121.0,123.0,154.0,77.0
SP_ROC,0.03278688524590164,0.026811385853939045,0.016173564287375028,0.044444444444444446,0.004728238088584602,0.011293503849335116,0.006554307116104869,0.011152416356877323,0.019138755980861243,0.017392619479733817,0.03773584905660377,0.023809523809523808,0.012500488300324231,0.008746355685131196,0.024844720496894408,0.02027027027027027,0.021739130434782608,0.030463917525773196,0.039607843137254906,0.03333333333333333,0.006167400881057269,0.02667140825035562,0.031007751937984496,0.02210552027357108,0.010196687370600414,0.011606501436781609,0.004494445067893615,0.03592943201376936
DS_Mag_50,47.0,48.0,75.0,15.0,87.0,47.5,111.0,96.0,86.0,68.0,13.0,25.0,81.0,44.0,46.0,66.0,25.0,55.0,47.0,64.0,96.5,37.5,49.0,15.0,17.0,36.0,64.0,15.0
DS_Mag_90,123.8,172.60000000000002,94.0,61.400000000000034,123.8,78.0,270.4,139.7,259.8,99.0,25.200000000000017,85.7,139.5,96.0,130.0,77.0,115.0,175.0,109.60000000000001,129.6,142.3,99.3,73.0,62.50000000000003,114.19999999999996,378.20000000000005,73.0,72.0
DS_Tim,325.0,313.0,325.0,295.0,331.0,316.0,286.0,330.0,325.0,326.0,292.0,320.0,318.0,319.0,327.0,311.0,297.0,322.0,319.0,329.0,337.0,323.0,297.0,275.0,275.0,309.0,308.0,291.0
DS_Dur_WS,133.0,142.0,86.0,159.0,93.0,78.0,167.0,64.0,122.0,105.0,125.0,104.0,106.0,105.0,81.0,83.0,121.0,126.0,135.0,65.0,118.0,98.0,189.0,142.0,175.0,115.0,86.0,103.0
