,3,,3,,2,,9,,2
result_dt,11413100,result_dt,11341400,result_dt,11299000,result_dt,11355500,result_dt,11446220
1990-10-01, 100,1959-10-01,  64,1997-06-28,29750.0000,1968-10-01,122,1997-06-28,29750.0000
1990-10-02,  97,1959-10-02,  65,1997-06-29, 1091.0000,1968-10-02,122,1997-06-29, 1091.0000
1990-10-03,  95,1959-10-03,  64,1997-06-30,  821.0000,1968-10-03,122,1997-06-30,  821.0000
1990-10-04,  94,1959-10-04,  65,1997-07-01, 1039.0000,1968-10-04,122,1997-07-01, 1039.0000
1990-10-05,  92,1959-10-05,  64,1997-07-02,  865.0000,1968-10-05,122,1997-07-02,  865.0000
1990-10-06,  91,1959-10-06,  65,1997-07-03, 1106.0000,1968-10-06,122,1997-07-03, 1106.0000
1990-10-07,  90,1959-10-07,  67,1997-07-04,  820.0000,1968-10-07,122,1997-07-04,  820.0000
1990-10-08,  89,1959-10-08,  67,1997-07-05,  878.0000,1968-10-08,122,1997-07-05,  878.0000
1990-10-09,  88,1959-10-09,  69,1997-07-06,  654.0000,1968-10-09,122,1997-07-06,  654.0000
1990-10-10,  88,1959-10-10,  67,1997-07-07, 1358.0000,1968-10-10,122,1997-07-07, 1358.0000
1990-10-11,  87,1959-10-11,  66,1997-07-08,  999.0000,1968-10-11,126,1997-07-08,  999.0000
1990-10-12,  86,1959-10-12,  64,1997-07-09,  951.0000,1968-10-12,142,1997-07-09,  951.0000
1990-10-13,  86,1959-10-13,  63,1997-07-10,  782.0000,1968-10-13,140,1997-07-10,  782.0000
1990-10-14,  85,1959-10-14,  63,1997-07-11,  941.0000,1968-10-14,132,1997-07-11,  941.0000
1990-10-15,  84,1959-10-15,  61,1997-07-12,  743.0000,1968-10-15,128,1997-07-12,  743.0000
1990-10-16,  84,1959-10-16,  59,1997-07-13,  669.0000,1968-10-16,126,1997-07-13,  669.0000
1990-10-17,  83,1959-10-17,  59,1997-07-14,  993.0000,1968-10-17,126,1997-07-14,  993.0000
1990-10-18,  83,1959-10-18,  59,1997-07-15,  899.0000,1968-10-18,125,1997-07-15,  899.0000
1990-10-19,  82,1959-10-19,  62,1997-07-16,  897.0000,1968-10-19,125,1997-07-16,  897.0000
1990-10-20,  82,1959-10-20,  62,1997-07-17,  703.0000,1968-10-20,126,1997-07-17,  703.0000
