Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,116.00560869702116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,140.0,127.0,212.0,169.0,985.4000000000001,702.2,599.0,1071.8,556.0,639.0,126.5,195.0,478.00000000000006,319.8,433.5,1008.4,232.20000000000002,271.5,183.0,381.70000000000005,336.3,305.6,123.1,206.6,432.6,763.6,724.5,178.8
Wet_BFL_Mag_50,268.0,352.5,911.0,284.0,1549.0,1249.0,2120.0,1317.5,820.0,965.5,167.0,699.5,1077.0,561.0,653.5,1565.0,623.0,615.5,374.5,599.0,884.5,416.0,372.5,380.0,605.5,988.0,1242.0,284.0
Wet_Tim,79.0,73.0,74.0,58.0,88.0,58.0,28.0,87.0,28.0,80.0,59.0,53.0,57.0,52.0,58.0,46.0,47.0,57.0,47.0,78.0,28.0,89.0,29.0,120.0,52.0,87.0,58.0,28.0
Wet_BFL_Dur,146.0,128.0,156.0,126.0,97.0,83.0,98.0,150.0,116.0,136.0,126.0,146.0,67.0,103.0,186.0,183.0,123.0,186.0,198.0,182.0,172.0,127.0,172.0,65.0,102.0,99.0,96.0,185.0
Peak_2,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0
Peak_5,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002,1755.0000000000002
Peak_10,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004
