Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,119.98624764266094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,156.2,123.0,125.0,183.0,948.0,724.0,631.5,1150.6000000000001,566.0,299.9,128.0,296.0,499.8,336.0,436.0,1010.2,191.2,266.6,124.8,344.0,341.0,307.0,129.4,193.6,438.0,116.5,746.5,190.8
Wet_BFL_Mag_50,283.0,369.5,628.0,284.0,1539.5,1249.0,2063.5,1363.0,796.0,965.0,165.0,706.0,1139.0,599.0,681.0,1565.0,617.0,647.0,332.0,597.0,886.0,417.0,408.0,378.0,572.0,982.0,1253.5,282.0
Wet_Tim,88.0,76.0,59.0,58.0,89.0,58.0,28.0,86.0,28.0,75.0,56.0,69.0,57.0,52.0,58.0,47.0,28.0,58.0,28.0,77.0,28.0,89.0,29.0,120.0,58.0,62.0,58.0,28.0
Wet_BFL_Dur,153.0,140.0,169.0,126.0,96.0,83.0,98.0,99.0,116.0,140.0,129.0,146.0,68.0,103.0,171.0,183.0,142.0,173.0,199.0,181.0,171.0,127.0,183.0,65.0,96.0,124.0,96.0,187.0
Peak_2,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0,1081.0
Peak_5,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002,1753.0000000000002
Peak_10,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005,2154.0000000000005
Peak_Dur_2,nan,nan,63.0,nan,142.0,134.0,78.0,169.0,106.0,29.0,nan,nan,77.0,29.0,nan,159.0,nan,nan,nan,nan,80.0,nan,nan,nan,27.0,34.0,150.0,nan
Peak_Dur_5,nan,nan,nan,nan,22.0,29.0,61.0,30.0,nan,nan,nan,nan,nan,nan,nan,87.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,nan
