Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,142.20000000000002,114.6,153.8,120.2,997.4000000000001,730.4000000000001,643.2,1067.9,554.0,282.5,99.2,167.8,568.6,141.0,388.20000000000005,1024.6,180.60000000000002,228.60000000000002,139.4,453.0,284.4,306.0,104.2,213.4,374.0,133.4,736.5,203.0
Wet_BFL_Mag_50,271.0,347.0,632.0,272.0,1544.0,1250.0,2119.5,1320.5,820.5,966.5,161.0,707.0,1121.0,593.5,622.0,1782.5,616.0,592.5,347.0,599.0,883.0,389.5,419.0,345.0,551.0,975.0,1252.5,281.0
Wet_Tim,78.0,58.0,58.0,27.0,88.0,58.0,28.0,87.0,28.0,77.0,26.0,58.0,57.0,49.0,51.0,55.0,28.0,47.0,28.0,87.0,17.0,89.0,29.0,118.0,53.0,59.0,58.0,28.0
Wet_BFL_Dur,165.0,157.0,175.0,157.0,97.0,83.0,98.0,150.0,116.0,136.0,159.0,152.0,67.0,106.0,187.0,174.0,142.0,190.0,205.0,171.0,183.0,126.0,182.0,67.0,101.0,127.0,96.0,187.0
Peak_2,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0,1120.0
Peak_5,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002,1754.0000000000002
Peak_10,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004,2153.6000000000004
