Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,142.3,125.6,131.20000000000002,152.4,952.0,728.6,578.4000000000001,1100.8,559.0,283.8,130.6,271.90000000000003,406.20000000000005,304.0,399.0,1006.4,159.2,244.70000000000002,169.0,342.70000000000005,304.4,306.0,109.4,183.0,440.0,105.5,722.0,155.20000000000002
Wet_BFL_Mag_50,264.0,374.0,631.0,282.0,1541.5,1251.0,2120.0,1323.0,820.5,965.0,177.0,708.0,1093.0,597.0,652.0,1565.0,617.0,604.0,360.0,598.0,889.5,390.0,402.0,360.5,565.0,983.0,1255.5,281.0
Wet_Tim,79.0,78.0,60.0,58.0,89.0,58.0,28.0,87.0,28.0,76.0,72.0,69.0,57.0,52.0,58.0,44.0,28.0,57.0,46.0,77.0,28.0,89.0,28.0,119.0,58.0,62.0,58.0,28.0
Wet_BFL_Dur,162.0,137.0,175.0,127.0,96.0,83.0,98.0,149.0,116.0,139.0,113.0,144.0,67.0,103.0,177.0,185.0,142.0,180.0,183.0,182.0,172.0,126.0,185.0,66.0,96.0,124.0,96.0,187.0
Peak_2,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5,1141.5
Peak_5,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001,1753.6000000000001
Peak_10,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004,2154.6000000000004
