"","Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1","1942",96,312,71,90,NA,NA,NA,0.0454545454545455,60,1850,252,195,577.2,890,57,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"2","1943",165,313,122,163.6,NA,NA,NA,0.0424173113001465,107,2110,206,164,593,1335,42,NA,100.5,NA,NA,2,NA,13440,4520,10960,NA,2,NA
"3","1944",149,294,64,180.8,3,189.923873488667,25,0.0352941176470588,69,1060,225,113,181,350,112,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"4","1945",102,307,54.5,144.8,3,469.955052092586,34,0.0444939371442712,79,1790,228,151,263,453,77,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"5","1946",116,293,76.5,129,7,614.016306489708,30,0.0504201680672269,59,1710,234,191,322,762,43,NA,88,NA,NA,2,NA,13440,4520,10960,NA,1,NA
"6","1947",154,298,66,173.3,NA,NA,NA,0.0517934964800536,80,1110,218,175,172,405,43,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"7","1948",198,305,118,230.5,3,634.058869800859,16,0.0693434287609152,52,2100,253,167,276.8,451,86,NA,98,NA,NA,2,NA,13440,4520,10960,NA,1,NA
"8","1949",172,297,61,88.9,7,215.988215247072,34,0.0549019607843137,69,2300,228,91,421,815,137,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"9","1950",82,305,62,79,5,81.8410488872546,41,0.0523643287845129,66,1560,239,136,454.5,969,103,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"10","1951",102,302,63.5,114.5,NA,NA,NA,0.0391172329070354,60,1300,242,221,660,1070,21,NA,95,NA,NA,7,NA,13440,4520,10960,NA,4,NA
"11","1952",142,309,104.5,243.9,8,199.992508082335,23,0.0733137829912024,55,2610,254,216,379,1365,38,NA,124,NA,NA,2,NA,13440,4520,10960,NA,1,NA
"12","1953",88,316,112,137.9,7,613.975322928044,67,0.0526315789473684,202,12400,114,29,233.6,1800,85,NA,104,109,NA,6,2,13440,4520,10960,NA,3,1
"13","1954",102,299,93,106.8,NA,NA,NA,0.0512820512820513,65,1820,234,196,420,1205,38,NA,147,NA,NA,3,NA,13440,4520,10960,NA,2,NA
"14","1955",131,303,42,330,NA,NA,NA,0.065429353404037,46,815,257,222,168.1,214,35,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"15","1956",194,305,173,337.1,5,1489.96372818651,50,0.0693923793338998,216,4950,89,21,590,1160,68,82,106,82,2,9,2,13440,4520,10960,1,3,1
"16","1957",148,292,107.5,656.6,5,258.017318465903,26,0.0465367965367965,46,1480,246,113,567,1200,133,NA,147,NA,NA,3,NA,13440,4520,10960,NA,1,NA
"17","1958",152,293,111,233.7,1,1010.00721345177,10,0.0588235294117647,142,12000,151,77,807.8,1310,74,NA,140,147,NA,14,1,13440,4520,10960,NA,4,1
"18","1959",179,300,54,72,6,264.994873814352,44,0.0596520604277219,71,1220,229,150,207.8,678,79,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"19","1960",115,296,61,69.6,NA,NA,NA,0.0666666666666667,48,1530,248,135,232.6,680,113,NA,130,NA,NA,2,NA,13440,4520,10960,NA,1,NA
"20","1961",115,301,66,105,NA,NA,NA,0.0632183908045977,53,1820,248,203,246,710,45,NA,133,NA,NA,1,NA,13440,4520,10960,NA,1,NA
"21","1962",65,305,58,73.4,3,108.927857321716,27,0.0479547646901874,92,1560,213,163,204.4,435,50,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"22","1963",99,297,69,112.6,NA,NA,NA,0.0465706208125169,61,2480,236,232,337.8,871,4,NA,62,NA,NA,9,NA,13440,4520,10960,NA,3,NA
"23","1964",105,318,53,107,NA,NA,NA,0.0569620253164557,64,1000,254,224,368.6,546,30,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"24","1965",165,286,78,258.2,3,79.0007285093021,12,0.0526570048309179,197,12400,89,32,315,679,57,82,98.5,82,3,8,4,13440,4520,10960,1,2,1
"25","1966",111,295,56,70,4,515.998404517643,45,0.0700194552529183,74,1850,221,136,340,622,85,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"26","1967",155,308,89,149.6,3,87.9964807435082,4,0.0634361725911022,70,3620,238,198,323.6,628,40,NA,120,NA,NA,1,NA,13440,4520,10960,NA,1,NA
"27","1968",173,285,55,357.4,3,190.994601800364,45,0.0668981481481482,134,4000,151,54,222.6,673.5,97,NA,143,145,NA,4,1,13440,4520,10960,NA,1,1
"28","1969",130,304,82,120.3,9,249.999005253296,40,0.0769230769230769,71,2860,233,141,647,1230,92,NA,112,NA,NA,1,NA,13440,4520,10960,NA,1,NA
"29","1970",111,287,56,86,7,133.999440718736,13,0.0566844919786096,168,17200,119,51,456,960,68,115.5,108,115.5,4,11,4,13440,4520,10960,2,3,2
"30","1971",153,315,123,373.2,NA,NA,NA,0.0517241379310345,71,2040,244,212,659.8,1295,32,109,108,108,1,8,2,13440,4520,10960,1,3,1
"31","1972",143,293,74,131.8,6,259.001862683387,43,0.0592592592592593,132,3670,161,59,237.6,725,102,NA,150,154,NA,8,1,13440,4520,10960,NA,3,1
"32","1973",105,294,41,173.200000000001,7,134.974212025457,35,0.0595238095238095,61,1730,233,163,310.8,535,70,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"33","1974",182,308,118,337.7,3,715.980332865848,22,0.0631578947368421,122,6540,186,153,934,1620,33,107,106,106,2,13,4,13440,4520,10960,1,3,1
"34","1975",74,313,84.5,99.7,2,158.969203014056,53,0.0591287458379578,65,3740,248,124,850.1,1415,124,NA,172,NA,NA,2,NA,13440,4520,10960,NA,2,NA
"35","1976",104,299,71.5,84,NA,NA,NA,0.0529676492071346,69,1660,230,209,302.2,479,21,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"36","1977",88,327,15.5,47.3,NA,NA,NA,0.0625,71,262,256,219,58,86,37,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"37","1978",151,310,97,155,NA,NA,NA,0.0729448198198198,124,1920,186,137,586.2,1150,49,NA,90,NA,NA,5,NA,13440,4520,10960,NA,2,NA
"38","1979",122,281,24,166.4,13,183.999246176244,61,0.0625,50,1520,231,136,186,541,95,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"39","1980",126,296,40,75,7,1039.91225757688,24,0.0508474576271186,142,3210,154,117,294.2,733,37,NA,103,104,NA,4,1,13440,4520,10960,NA,1,1
"40","1981",126,280,13,29,NA,NA,NA,0.0712792954172265,64,866,216,160,155.7,479,56,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"41","1982",112,303,81.5,202.3,NA,NA,NA,0.0600830287441902,155,7780,148,108,735.6,1305,40,80,110,79,1,14,2,13440,4520,10960,1,4,1
"42","1983",77,318,202,260,4,209.991179082366,23,0.0566801619433198,74,4830,244,195,697.6,1510,49,NA,163,NA,NA,10,NA,13440,4520,10960,NA,7,NA
"43","1984",78,312,51.5,96.5,NA,NA,NA,0.0437517090511348,67,1650,245,216,645.5,1075,29,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"44","1985",170,296,46,186.7,NA,NA,NA,0.0594349592455397,96,1900,200,176,311,471.5,24,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"45","1986",198,280,90,159,6,128.99195621874,24,0.0630630630630631,131,4570,149,49,338.4,1020,100,140,145,140,1,7,1,13440,4520,10960,1,3,1
"46","1987",131,287,18,37,5,168.993203190431,30,0.0549150191892153,65,1100,222,110,376.8,690,112,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"47","1988",108,297,16.5,34,NA,NA,NA,0.0690466071681541,44,720,253,201,254,468,52,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"48","1989",84,299,25,47,NA,NA,NA,0.0592105263157895,123,1930,176,137,227.8,315,39,NA,160,NA,NA,1,NA,13440,4520,10960,NA,1,NA
"49","1990",149,313,33,62,NA,NA,NA,0.0666666666666667,66,1060,247,230,126.9,280.5,17,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"50","1991",173,314,21,120.8,5,50.9978687159906,35,0.0740740740740741,74,672,240,144,113.9,267,96,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"51","1992",207,262,55,156,2,85.9994883991188,52,0.0718562874251497,58,1690,204,83,171.6,418,121,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"52","1993",108,315,53,74,3,79.9974074166148,17,0.0593262946204123,68,4600,247,144,503.2,1280,103,NA,204.5,NA,NA,4,NA,13440,4520,10960,NA,2,NA
"53","1994",173,284,9.8,36.4,NA,NA,NA,0.0669590643274854,59,787,225,168,122,240.5,57,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"54","1995",99,325,61,86,NA,NA,NA,0.0668016194331984,64,1760,261,170,816.7,1520,91,NA,132.5,NA,NA,8,NA,13440,4520,10960,NA,4,NA
"55","1996",101,309,35,97,NA,NA,NA,0.0578034682080925,74,2700,235,177,566.4,1400,58,NA,131,NA,NA,1,NA,13440,4520,10960,NA,1,NA
"56","1997",190,266,86,228.3,NA,NA,NA,0.0467575726033101,169,21500,97,53,828,2040,44,91,69,91,3,10,4,13440,4520,10960,1,3,1
"57","1998",86,324,80.5,140.5,8,215.999664938467,31,0.0584415584415584,67,2390,257,167,969.4,1580,90,NA,140,173,NA,5,2,13440,4520,10960,NA,2,1
"58","1999",150,310,72.5,224.1,NA,NA,NA,0.0529824561403509,49,1610,261,217,518.8,1270,44,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"59","2000",182,313,78.5,103,5,140.977385048546,29,0.0676097207109177,73,1770,240,146,747,1135,94,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"60","2001",152,272,5.1,8.39,9,114.005174664559,75,0.104651162790698,41,1040,231,102,116,224,129,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"61","2002",129,306,14.6,75.78,4,501.862595315739,52,0.0625,106,2140,200,142,319,574.5,58,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"62","2003",127,296,70.4,126,3,185.969444012022,39,0.0609101187111362,51,2300,245,176,620,1240,69,NA,88,NA,NA,2,NA,13440,4520,10960,NA,1,NA
"63","2004",119,309,24.6,93.5,5,98.9972786335212,28,0.0685867640548915,89,1470,220,163,298.8,756,57,NA,140,NA,NA,1,NA,13440,4520,10960,NA,1,NA
"64","2005",104,315,26.85,208.9,3,103.000018309767,24,0.0714285714285714,81,2620,234,172,317,533.5,62,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"65","2006",102,295,54.05,77.89,9,487.998845231815,37,0.0558823529411765,199,10700,96,43,291.6,808,53,91,88,91,1,12,1,13440,4520,10960,1,3,1
"66","2007",163,279,27.9,172.6,NA,NA,NA,0.0564095225267694,107,1480,172,141,164,561,31,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"67","2008",131,314,39.1,144,6,777.989477700376,19,0.0561797752808989,80,3000,234,158,272.4,572,76,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"68","2009",160,294,16.85,66.1,6,181.002555594445,33,0.0680543958010258,61,1160,233,154,169,381,79,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"69","2010",103,320,49,365.8,2,32.894089763951,16,0.0703399765533411,68,2800,252,164,377.3,580.5,88,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"70","2011",146,327,95.2,127,4,754.926960947387,24,0.0591715976331361,59,1800,268,211,488,1070,57,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"71","2012",104,309,18.55,54.97,NA,NA,NA,0.0657894736842105,97,2910,212,105,279,646,107,NA,182,NA,NA,1,NA,13440,4520,10960,NA,1,NA
"72","2013",217,276,46.4,56.9,NA,NA,NA,0.0625646370305047,52,1060,224,177,257.6,427,47,NA,65,NA,NA,1,NA,13440,4520,10960,NA,1,NA
"73","2014",150,269,7.935,73.1,NA,NA,NA,0.0592495319325983,105,3690,164,37,93.16,473,127,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"74","2015",253,213,9.47,224.2,5,191.996990574277,25,0.0508474576271186,77,4380,136,83,303,612,53,NA,129,129,NA,3,1,13440,4520,10960,NA,1,1
"75","2016",147,285,25.8,522.4,5,691.993895017219,70,0.0613207547169811,87,2380,198,98,1037,1560,100,NA,157,NA,NA,1,NA,13440,4520,10960,NA,1,NA
"76","2017",103,299,60,75.82,7,485.991078722536,16,0.0646631823461092,124,4080,175,109,642.8,1700,66,NA,150,132,NA,8,1,13440,4520,10960,NA,4,1
"77","2018",183,279,14.4,122.4,NA,NA,NA,0.0697689511941848,83,1300,196,160,130.9,299.5,36,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"78","2019",125,304,42.8,56.56,4,107.998538308783,60,0.0636363636363636,93,2510,211,115,408.8,924,96,NA,190,NA,NA,1,NA,13440,4520,10960,NA,1,NA
"79","2020",155,289,8.54,15.16,6,52.802262666431,20,0.0840799499940469,42,517,247,184,122,223.5,63,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
"80","2021",101,284,8.94,10.1,2,34.9834981081026,46,0.0643824260845537,67,554,217,139,97.12,277,78,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA
