V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
1,2,3,6,9,13,15,17,19,20,7.95526056290986,186.212635794429,4
1,4,5,7,8,9,10,12,16,18,81.153233117863,105.14354226046,1
4,8,9,11,12,13,14,15,16,18,43.3461929626895,115.587275661401,2
1,4,9,10,12,13,14,17,18,21,20.759875583889,124.627471728093,3
1,2,3,6,11,15,18,19,20,21,0.111515489118497,275.790439729257,8
3,5,8,9,10,12,13,16,17,18,27.8914386984195,82.5839334712616,3
1,3,8,9,10,11,14,15,18,19,62.5559251863853,112.900847016449,1
1,2,3,5,6,8,12,13,17,20,3.99036433735814,147.08857125807,5
3,4,5,9,10,12,15,16,20,21,80.7504323124744,83.3597773198445,1
1,2,3,6,12,17,18,19,20,21,18.2404610728844,114.507250531258,4
3,4,10,13,14,15,16,17,18,21,82.875219355597,100.716595949502,0
1,3,5,9,10,11,12,17,18,20,46.5286640639612,117.821531184223,0
1,2,3,4,12,13,15,16,17,20,14.2117650153983,139.207495576838,4
2,3,6,9,10,11,13,15,18,20,3.83561248914251,155.35350300263,4
1,3,6,7,9,10,12,16,17,18,60.6135664108539,128.922500251428,0
2,5,9,12,14,15,16,17,18,19,84.0031394419972,112.465797186244,1
1,3,5,6,7,12,13,15,18,20,40.1908996926162,133.591754035531,1
1,2,4,7,8,10,11,14,15,18,53.2052645793566,117.896632194612,1
1,2,3,4,6,9,14,15,18,19,9.39597774791134,156.305503650899,5
1,3,4,8,9,12,14,15,16,21,11.2535870908824,142.964265825784,6
1,5,7,8,9,10,13,15,16,20,66.0645167106497,94.701843475259,1
6,9,12,13,14,16,17,18,19,20,0.349539421461748,181.368009907284,8
1,3,7,10,11,14,15,17,20,21,35.772806856086,128.843754117879,1
1,4,5,6,9,10,14,15,19,20,58.455066769567,121.361579551346,0
1,2,3,6,7,10,14,16,18,20,0.159916368736307,334.883762438438,8
2,3,5,6,8,9,10,15,16,20,1.94305075915512,262.814204487528,6
1,2,3,5,6,7,13,15,18,21,23.759221727842,125.272558615202,3
3,4,5,9,10,11,12,15,17,21,39.5218301723271,125.406056043333,0
1,2,3,4,8,9,10,11,14,16,15.2385962812365,121.640632882096,5
1,2,3,4,5,10,14,17,18,20,15.2988143181654,228.590051996013,5
3,5,6,8,11,12,16,17,19,20,14.1784703400626,145.924841263564,4
2,4,5,8,9,10,11,12,17,21,28.1486838687096,125.333816467728,4
3,4,6,8,11,12,14,17,18,19,0.139750103334345,190.568258304899,7
1,2,4,5,10,12,17,18,19,21,70.2506329934021,83.0063200759008,0
1,6,7,10,11,13,16,18,20,21,12.0676591643564,179.560160357132,1
1,2,6,8,9,13,14,15,19,20,8.64341350122144,179.942360042759,4
1,3,5,6,8,11,14,16,17,21,9.52280414792066,150.723041331865,4
2,4,6,8,9,10,12,16,20,21,45.644051490882,132.647421582167,2
3,4,6,8,10,11,14,18,19,21,2.4847855588542,158.981650420279,6
1,3,5,8,12,13,14,18,19,21,38.6704847737662,99.8358146799388,2
1,4,6,9,11,13,15,16,17,18,22.2646450737656,150.6246987615,1
1,3,6,7,8,13,14,18,19,20,61.9722459876181,123.144811240491,1
1,3,5,8,14,15,16,18,19,20,87.2281452510668,88.8821826899267,1
2,5,6,7,8,9,10,11,12,15,10.3437052545246,169.316790207379,4
3,5,7,8,9,13,15,19,20,21,65.0298674685514,82.2665458512251,0
1,2,5,7,8,9,13,14,17,19,15.8728213225713,113.996556237527,5
1,3,5,7,9,13,16,18,19,21,63.8092622597069,101.454031022018,0
1,6,8,9,12,14,17,18,20,21,32.8149000317693,118.366675699989,4
3,4,6,7,10,11,14,15,16,17,9.04996194737853,140.255988588799,4
4,9,10,11,12,13,16,17,20,21,37.0796779553977,130.513833946154,0
2,3,9,10,11,12,16,17,20,21,50.2321760789166,129.251465572083,0
1,2,5,7,10,12,15,16,17,21,12.5350796656637,179.285871107159,5
4,5,6,8,11,12,13,17,18,19,27.2666575186297,149.499904057897,1
1,2,3,7,9,11,12,16,18,19,60.4675568852869,119.898210447688,0
6,11,12,13,14,15,16,18,20,21,19.2184658153443,164.342652814727,1
2,3,4,9,11,12,13,14,16,19,73.4190315210899,123.73642147244,0
2,4,5,9,12,14,17,18,19,20,0.0609686045980712,607.300945378265,8
1,2,5,7,10,12,16,18,19,20,0.18532239978687,705.579745607551,7
1,3,7,8,10,14,15,16,17,18,7.69950014578692,152.725137678438,5
1,3,4,5,6,10,14,16,17,20,2.85256871728272,148.265548254252,7
2,5,7,8,12,15,18,19,20,21,23.0352479063502,139.673789275011,5
3,5,6,7,14,15,16,18,20,21,12.6531783317923,122.983862774901,6
2,3,5,6,10,13,14,16,17,21,27.6418460021835,120.372450684946,4
1,3,5,8,10,14,15,16,17,21,6.75317747453358,150.945064639061,6
1,2,5,6,9,11,15,18,19,21,13.7088505402151,168.857627718701,2
2,3,9,11,12,13,15,16,20,21,43.423091884873,116.673173070701,2
3,4,7,8,12,13,15,17,20,21,82.187345832287,112.35948300718,0
1,3,5,6,10,14,15,16,18,19,5.38249501832018,197.387965408132,5
1,4,7,9,11,13,14,16,17,20,41.8170742122913,132.041073405788,0
1,3,6,11,12,13,14,15,18,21,8.07407020175389,146.0677495383,4
2,3,5,7,8,10,14,17,19,21,7.65617486196734,149.675410556769,6
1,5,7,8,10,13,16,18,20,21,55.0308525041948,91.8919348685172,0
2,3,5,7,8,12,15,17,18,21,21.8821794490702,114.751969845205,4
1,3,4,5,6,7,12,13,14,21,19.3713028440191,154.247897320836,4
1,3,5,6,9,12,15,18,19,21,67.8129000857902,123.490377866935,1
1,3,5,6,9,13,15,16,17,20,68.0889162542631,123.986470281352,1
2,3,6,7,8,10,15,17,19,21,21.4846822131032,143.307616790754,4
1,2,5,6,11,13,14,17,18,20,10.5915339619297,142.966125247263,4
3,4,5,9,11,15,16,17,19,20,64.4129961997612,117.125766997414,1
3,8,9,10,13,14,15,16,18,20,66.3457287661592,88.9071713941586,2
2,4,6,8,9,10,11,18,19,20,32.7474734056011,178.370571705696,1
2,4,8,11,12,14,17,18,19,20,39.0853526364821,113.354632659531,2
1,2,3,5,6,8,11,13,19,20,1.89777041324094,161.953750516185,6
