V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
1,2,3,6,9,13,15,17,19,20,38.831156637409,132.824901010227
1,4,5,7,8,9,10,12,16,18,26.2771181762724,152.320316682258
4,8,9,11,12,13,14,15,16,18,77.7659577710464,124.361633803274
1,4,9,10,12,13,14,17,18,21,37.2013377569463,151.748100030322
1,2,3,6,11,15,18,19,20,21,87.5033333333334,62.6346016000062
3,5,8,9,10,12,13,16,17,18,34.3712100957766,136.829318988064
1,3,8,9,10,11,14,15,18,19,62.4610070596775,127.445271661179
1,2,3,5,6,8,12,13,17,20,45.0897158355204,126.448043042133
3,4,5,9,10,12,15,16,20,21,28.7904376077694,154.892150700659
1,2,3,6,12,17,18,19,20,21,45.8493261005187,141.083598865276
3,4,10,13,14,15,16,17,18,21,29.862251473504,158.725516840415
1,3,5,9,10,11,12,17,18,20,6.21729975269759,158.390129445415
1,2,3,4,12,13,15,16,17,20,8.0245257993085,Inf
2,3,6,9,10,11,13,15,18,20,87.2233333333334,53.9527501825708
1,3,6,7,9,10,12,16,17,18,1.09265649450166,276.059509414074
2,5,9,12,14,15,16,17,18,19,13.411668223459,169.640924903496
1,3,5,6,7,12,13,15,18,20,39.9878077055667,124.871839908153
1,2,4,7,8,10,11,14,15,18,77.0298402752811,122.543031884797
1,2,3,4,6,9,14,15,18,19,63.333029047281,125.978328651399
1,3,4,8,9,12,14,15,16,21,7.3222721576792,184.340249731367
1,5,7,8,9,10,13,15,16,20,45.7422671283029,148.249376328569
6,9,12,13,14,16,17,18,19,20,46.1349689820309,117.480154551304
1,3,7,10,11,14,15,17,20,21,63.1294433573039,117.286364991117
1,4,5,6,9,10,14,15,19,20,56.5720670068584,123.708871188196
1,2,3,6,7,10,14,16,18,20,46.6056015030906,116.424585453456
2,3,5,6,8,9,10,15,16,20,54.6249176367021,109.587854099591
1,2,3,5,6,7,13,15,18,21,47.5914106888614,127.603264086118
3,4,5,9,10,11,12,15,17,21,29.2365628395711,128.860067912753
1,2,3,4,8,9,10,11,14,16,57.6907516978764,120.412394225825
1,2,3,4,5,10,14,17,18,20,9.26344755224958,Inf
3,5,6,8,11,12,16,17,19,20,36.6625077178685,68.0100642480465
2,4,5,8,9,10,11,12,17,21,36.1933123080591,120.951184141773
3,4,6,8,11,12,14,17,18,19,89.4981147541715,76.1328374708422
1,2,4,5,10,12,17,18,19,21,16.6367101210156,142.860160839812
1,6,7,10,11,13,16,18,20,21,0.859986748725399,62.8289389586966
1,2,6,8,9,13,14,15,19,20,26.600665101129,148.663563945991
1,3,5,6,8,11,14,16,17,21,1.58343161577368,71.3664305975576
2,4,6,8,9,10,12,16,20,21,72.1078328252288,113.433579689529
3,4,6,8,10,11,14,18,19,21,85.4713406053744,48.9401769200095
1,3,5,8,12,13,14,18,19,21,47.1105219643344,162.312727086574
1,4,6,9,11,13,15,16,17,18,51.0178757730373,66.6376610394303
1,3,6,7,8,13,14,18,19,20,38.5515684102385,127.077341823266
1,3,5,8,14,15,16,18,19,20,32.279258517302,175.250289192557
2,5,6,7,8,9,10,11,12,15,8.60689237716877,Inf
3,5,7,8,9,13,15,19,20,21,20.61480447515,151.084979253271
1,2,5,7,8,9,13,14,17,19,22.311990368051,194.077905719877
1,3,5,7,9,13,16,18,19,21,6.66506589548689,203.783264043392
1,6,8,9,12,14,17,18,20,21,56.9818567581426,126.681682064656
3,4,6,7,10,11,14,15,16,17,74.2413663406161,58.7238001399167
4,9,10,11,12,13,16,17,20,21,2.22898562794237,148.562991452241
2,3,9,10,11,12,16,17,20,21,10.642545549893,Inf
1,2,5,7,10,12,15,16,17,21,25.8514894551252,147.978279008945
4,5,6,8,11,12,13,17,18,19,64.0889816018251,75.9040233422675
1,2,3,7,9,11,12,16,18,19,56.0331228238093,122.786145122652
6,11,12,13,14,15,16,18,20,21,15.4519769657566,57.9521580839891
2,3,4,9,11,12,13,14,16,19,62.8578293769385,122.021497628534
2,4,5,9,12,14,17,18,19,20,8.84870426409725,196.446210958133
1,2,5,7,10,12,16,18,19,20,3.51546952591816,Inf
1,3,7,8,10,14,15,16,17,18,35.4139295897673,119.410476294616
1,3,4,5,6,10,14,16,17,20,54.697205462072,113.537029065067
2,5,7,8,12,15,18,19,20,21,11.5912944531198,211.980651951222
3,5,6,7,14,15,16,18,20,21,52.0340559267724,126.119180586377
2,3,5,6,10,13,14,16,17,21,15.1111968199207,120.333863323055
1,3,5,8,10,14,15,16,17,21,52.562226159519,149.131194012489
1,2,5,6,9,11,15,18,19,21,12.2165328272589,NA
2,3,9,11,12,13,15,16,20,21,63.6367075604272,122.843401206545
3,4,7,8,12,13,15,17,20,21,5.65082473212962,176.405605377423
1,3,5,6,10,14,15,16,18,19,69.6704697208428,118.949001452835
1,4,7,9,11,13,14,16,17,20,62.3178189502906,114.418185808047
1,3,6,11,12,13,14,15,18,21,70.1152823488489,65.591161780675
2,3,5,7,8,10,14,17,19,21,55.4208901979939,152.593936259882
1,5,7,8,10,13,16,18,20,21,22.3222135851057,136.335197981235
2,3,5,7,8,12,15,17,18,21,18.6542814844278,178.831618193685
1,3,4,5,6,7,12,13,14,21,63.1665041541161,110.126874989901
1,3,5,6,9,12,15,18,19,21,41.0411991839229,130.893411633199
1,3,5,6,9,13,15,16,17,20,48.9794951177922,120.169705799738
2,3,6,7,8,10,15,17,19,21,46.440742534252,133.247420998978
1,2,5,6,11,13,14,17,18,20,74.3040238375763,73.6020314117875
3,4,5,9,11,15,16,17,19,20,49.294657121743,118.762297006162
3,8,9,10,13,14,15,16,18,20,0.744692396883808,234.13501276527
2,4,6,8,9,10,11,18,19,20,70.8659076478223,53.554952376467
2,4,8,11,12,14,17,18,19,20,31.0582175917947,126.900751396204
1,2,3,5,6,8,11,13,19,20,89.9756632284627,75.8688099050648
1,4,7,9,12,16,17,18,20,21,7.89274879450424,141.845141520439
1,2,5,9,12,14,15,18,19,21,10.7273648450026,225.67678689428
1,2,5,9,10,11,14,15,16,20,13.8581124392722,Inf
1,2,3,4,6,12,13,14,17,18,9.4307729194569,Inf
2,4,6,11,12,13,14,16,17,18,66.4282155180972,71.1040693745541
4,6,7,8,12,13,17,18,19,20,42.8985722954741,133.228065014492
2,4,5,7,8,10,12,15,17,18,11.541307558813,Inf
1,2,5,6,7,8,10,14,17,18,0.640447092549524,NA
3,4,6,7,8,13,14,16,18,20,50.0131332829207,111.715601147979
1,2,4,8,12,15,16,19,20,21,7.10827728474512,206.986144159182
2,3,7,9,12,13,14,15,17,21,12.6569837097978,174.522693756588
5,6,7,8,12,13,15,18,19,20,42.9152354691043,144.978290677006
1,2,3,4,9,11,13,15,16,17,56.0356732007716,Inf
3,4,6,7,13,15,16,18,20,21,53.8256248056099,117.782974473637
5,6,11,12,13,14,15,19,20,21,71.0292616378814,65.8080366962982
1,3,7,11,12,13,15,16,18,20,76.6955654611591,118.553940202361
