V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
1,2,3,6,9,13,15,17,19,20,1.24616796145841,128.538677738021,10
1,4,5,7,8,9,10,12,16,18,93.6700492673069,110.239489414122,0
4,8,9,11,12,13,14,15,16,18,69.0193972113334,118.559259639166,0
1,4,9,10,12,13,14,17,18,21,16.6807096269579,80.2075722314672,6
1,2,3,6,11,15,18,19,20,21,12.2388111640905,157.027327167636,4
3,5,8,9,10,12,13,16,17,18,8.32182141000715,111.70009145052,8
1,3,8,9,10,11,14,15,18,19,62.5559251863853,112.900847016449,1
1,2,3,5,6,8,12,13,17,20,3.9205578694151,103.767406325534,7
3,4,5,9,10,12,15,16,20,21,80.7504323124744,83.3597773198445,0
1,2,3,6,12,17,18,19,20,21,0.910108611519255,118.25242167094,11
3,4,10,13,14,15,16,17,18,21,4.90150942211454,105.496519878213,9
1,3,5,9,10,11,12,17,18,20,51.9715520648169,117.772591725974,1
1,2,3,4,12,13,15,16,17,20,11.1039517816948,170.49359170014,6
2,3,6,9,10,11,13,15,18,20,0.527120821113272,131.481122579144,9
1,3,6,7,9,10,12,16,17,18,73.8939701391758,128.788660858505,0
2,5,9,12,14,15,16,17,18,19,84.0031394419973,112.465797186244,1
1,3,5,6,7,12,13,15,18,20,19.2360858276324,124.584452538411,4
1,2,4,7,8,10,11,14,15,18,53.2052645793567,117.896720029744,0
1,2,3,4,6,9,14,15,18,19,0.937594385397444,186.102113216961,10
1,3,4,8,9,12,14,15,16,21,94.4711064377867,105.094096557992,0
1,5,7,8,9,10,13,15,16,20,66.0645167106497,94.701843475259,0
6,9,12,13,14,16,17,18,19,20,0.855677631354654,141.428863491099,9
1,3,7,10,11,14,15,17,20,21,34.7133756517825,128.729707816811,1
1,4,5,6,9,10,14,15,19,20,60.0264719319633,120.798941606457,1
1,2,3,6,7,10,14,16,18,20,6.5613450450959,116.842316549245,8
2,3,5,6,8,9,10,15,16,20,0.838477374491038,115.922284910036,11
1,2,3,5,6,7,13,15,18,21,4.56500548490685,127.01246209747,8
3,4,5,9,10,11,12,15,17,21,43.1115930783741,125.454358229982,0
1,2,3,4,8,9,10,11,14,16,48.7523403087212,118.459346500818,1
1,2,3,4,5,10,14,17,18,20,8.35663649076981,193.158256686389,7
3,5,6,8,11,12,16,17,19,20,0.572387294633324,172.122121812405,8
2,4,5,8,9,10,11,12,17,21,53.986649644373,125.227051054459,0
3,4,6,8,11,12,14,17,18,19,44.1799058540945,154.094959457467,2
1,2,4,5,10,12,17,18,19,21,14.3353233185428,69.3779276552022,6
1,6,7,10,11,13,16,18,20,21,13.8748755422944,180.796698260811,3
1,2,6,8,9,13,14,15,19,20,14.4135408753324,132.979317718413,5
1,3,5,6,8,11,14,16,17,21,0.519857116236277,194.560304299658,8
2,4,6,8,9,10,12,16,20,21,18.1653076040259,123.618253998841,4
3,4,6,8,10,11,14,18,19,21,23.2883134091294,181.97395329572,2
1,3,5,8,12,13,14,18,19,21,44.4616603840594,104.888428655259,3
1,4,6,9,11,13,15,16,17,18,7.27349907396573,153.882709159544,5
1,3,6,7,8,13,14,18,19,20,18.39420763797,128.122119080526,3
1,3,5,8,14,15,16,18,19,20,87.2281452510669,88.8482193192776,0
2,5,6,7,8,9,10,11,12,15,7.89768868189457,176.99323706673,5
3,5,7,8,9,13,15,19,20,21,1.02703872984345,134.015900618847,10
1,2,5,7,8,9,13,14,17,19,11.606610048986,86.7908608407074,6
1,3,5,7,9,13,16,18,19,21,1.01563444180198,119.548100000226,10
1,6,8,9,12,14,17,18,20,21,31.958316348511,122.207162838925,4
3,4,6,7,10,11,14,15,16,17,16.3801760700588,168.544697832871,3
4,9,10,11,12,13,16,17,20,21,37.0796779553977,130.513833946154,1
2,3,9,10,11,12,16,17,20,21,50.2321760789166,129.251465572083,1
1,2,5,7,10,12,15,16,17,21,23.8892228252257,165.020632355299,4
4,5,6,8,11,12,13,17,18,19,35.7146693283928,158.178324803212,2
1,2,3,7,9,11,12,16,18,19,60.4675568852869,119.898210447688,0
6,11,12,13,14,15,16,18,20,21,3.13213107026857,157.516695719712,6
2,3,4,9,11,12,13,14,16,19,73.4190315210898,123.699894610728,1
2,4,5,9,12,14,17,18,19,20,9.70792600355256,289.274059735406,6
1,2,5,7,10,12,16,18,19,20,78.3773438763383,86.4689222715702,0
1,3,7,8,10,14,15,16,17,18,18.9222162935139,165.470435799449,4
1,3,4,5,6,10,14,16,17,20,1.59705408063054,136.023035731427,6
2,5,7,8,12,15,18,19,20,21,84.7323899377766,71.3282177994323,0
3,5,6,7,14,15,16,18,20,21,49.9553239520603,124.271804659147,2
2,3,5,6,10,13,14,16,17,21,1.51497754905127,102.81277230735,9
1,3,5,8,10,14,15,16,17,21,7.76451304250741,119.806061372239,5
1,2,5,6,9,11,15,18,19,21,23.577876911104,178.319052546807,2
2,3,9,11,12,13,15,16,20,21,20.6294866196578,154.084986913679,5
3,4,7,8,12,13,15,17,20,21,96.6725993608045,114.926818625248,0
1,3,5,6,10,14,15,16,18,19,45.1278405418933,120.860177641587,2
1,4,7,9,11,13,14,16,17,20,50.4745526061528,131.028614589578,1
1,3,6,11,12,13,14,15,18,21,16.222688314391,148.58372544578,4
2,3,5,7,8,10,14,17,19,21,10.7306712231136,124.478556702065,7
1,5,7,8,10,13,16,18,20,21,62.7223745057256,91.5681369900341,0
2,3,5,7,8,12,15,17,18,21,25.159188896117,91.5746151496204,7
1,3,4,5,6,7,12,13,14,21,30.8445922031311,217.73173871506,4
1,3,5,6,9,12,15,18,19,21,45.5139793313337,118.057917408827,2
1,3,5,6,9,13,15,16,17,20,6.78796048449673,115.110463180859,5
2,3,6,7,8,10,15,17,19,21,0.890808667714363,142.450894406092,10
1,2,5,6,11,13,14,17,18,20,3.98470154961667,143.726791198465,7
3,4,5,9,11,15,16,17,19,20,0.808586051801393,311.200902385795,10
3,8,9,10,13,14,15,16,18,20,83.7188145056092,81.3338468970662,1
2,4,6,8,9,10,11,18,19,20,29.688377255986,175.870012702418,2
2,4,8,11,12,14,17,18,19,20,23.4310533237329,139.987732037995,4
1,2,3,5,6,8,11,13,19,20,3.56397391607843,140.371267903219,7
1,4,7,9,12,16,17,18,20,21,31.8060758298675,185.048657414517,4
1,2,5,9,12,14,15,18,19,21,16.3192253586704,216.027601543108,5
1,2,5,9,10,11,14,15,16,20,61.936635023983,112.872957047532,1
1,2,3,4,6,12,13,14,17,18,0.924519147144746,110.444332545843,8
2,4,6,11,12,13,14,16,17,18,32.0298967491077,158.790832828481,3
4,6,7,8,12,13,17,18,19,20,0.792235170007696,149.344446863553,8
2,4,5,7,8,10,12,15,17,18,25.1694436291599,123.839745173864,6
1,2,5,6,7,8,10,14,17,18,0.832532582188279,103.338536779839,10
3,4,6,7,8,13,14,16,18,20,12.0239982047125,150.711312358945,4
1,2,4,8,12,15,16,19,20,21,9.40630597788476,186.676703435877,7
2,3,7,9,12,13,14,15,17,21,10.7384346854073,115.085222997747,7
5,6,7,8,12,13,15,18,19,20,3.83023364404317,146.777592351753,9
1,2,3,4,9,11,13,15,16,17,3.15462445668531,171.719735275972,9
3,4,6,7,13,15,16,18,20,21,0.659794815086235,110.184483703509,10
5,6,11,12,13,14,15,19,20,21,34.1832644810713,170.848346610933,1
1,3,7,11,12,13,15,16,18,20,55.4919237035704,126.187149906968,1
3,5,6,7,9,12,16,18,19,21,66.9071276300171,127.11223885395,1
5,6,8,10,11,14,15,16,19,20,0.566289050479771,167.073546542694,8
1,3,4,5,7,10,13,16,18,19,72.9476304845162,118.925828436746,1
3,4,5,9,11,15,16,17,18,20,60.4388847030195,115.801558221855,1
2,3,6,9,12,15,18,19,20,21,0.837305256807053,130.258412667793,8
1,4,5,7,10,11,12,13,15,20,57.4588801746291,123.086117137626,0
1,2,3,4,6,9,10,15,16,19,0.86011597760789,153.818442009003,10
1,6,8,10,14,15,17,18,19,20,4.87672568132754,140.377847448259,7
1,5,6,7,8,9,10,13,15,18,33.8595649072048,120.913378750437,3
2,3,4,6,8,9,11,18,19,21,1.32867357480296,132.357999297318,10
1,2,4,5,6,7,10,14,15,17,0.86968991906466,117.058872323246,11
3,4,8,10,11,12,13,18,20,21,47.1823011590367,129.963744161652,0
3,4,5,6,7,11,12,13,15,17,13.3076400330643,134.284047044144,5
2,5,9,10,12,13,14,15,17,19,13.9876228796115,288.755512829669,6
2,5,8,9,11,14,15,16,17,21,49.4757680714483,112.604282146899,1
2,6,7,8,10,11,14,15,16,18,5.37355750823493,167.250431820118,5
1,2,3,6,9,10,12,14,17,21,0.826361763903623,124.471424917616,10
5,6,8,10,12,14,15,16,18,19,54.1358324166571,116.646723264456,2
2,10,11,12,14,15,18,19,20,21,48.2894826018594,133.152319415442,1
1,3,4,7,10,11,12,14,19,21,62.0485698284675,129.721023888828,0
