V1,V2,V3,V4,V5,bestlam,rmse
7,8,9,16,20,55.9583205285671,72.2663966163503
1,13,19,20,21,9.18760859928963,110.440321644736
4,8,9,17,19,13.4406074967529,54.3274730925225
3,7,9,14,21,11.522276628308,142.413868824024
2,11,14,16,17,47.9406396705895,201.547615097094
1,8,13,14,18,6.27887534153465,70.8543527480312
4,9,10,19,20,57.9990941351645,71.9143259460617
3,11,19,20,21,42.8989980755973,255.08659112252
4,5,12,20,21,69.5957035288547,86.7966777373522
7,9,10,19,20,9.53235963748434,121.717464713513
5,6,8,9,19,1.16214332422023,164.71704778121
7,12,14,18,21,13.6311567650781,97.4892390152476
4,11,14,16,18,50.6102169553734,203.937072115027
3,5,15,20,21,59.938382212204,82.6465795072544
2,10,11,12,15,53.0416922764785,1267.30245918432
7,8,12,13,14,67.6647229095498,24.7462166420493
1,2,12,17,20,9.28019627488652,59.6564532192743
2,5,7,16,20,6.16812702448464,69.0015180431669
4,5,11,15,19,49.9913293310764,175.921860624131
3,8,15,18,19,14.0207054288011,42.2686185016569
9,11,13,17,20,48.853437353097,192.633856600039
2,6,9,10,15,49.9683212490617,329.156135383755
5,7,8,13,17,10.793718270591,34.2060721386348
3,5,8,12,20,63.8761865522679,49.2183320473562
8,9,15,18,20,10.3061931532649,50.4939997679044
1,6,17,20,21,46.4797347736295,297.834867181507
1,4,6,10,14,47.050153638574,244.415875185742
8,13,15,17,19,13.0916140787378,29.5329327077259
1,3,9,13,14,13.7689123856406,93.1677301577081
5,8,14,17,21,15.2741807597193,86.9582536590518
4,6,10,20,21,50.8100448462369,806.202063506613
6,7,8,15,21,1.14559203120226,333.0452563077
1,11,18,19,21,40.9929091759757,155.548122973783
2,5,7,15,18,68.8771536644618,44.3458702645896
1,3,5,18,21,7.18822786115679,108.128902708181
3,7,11,12,15,50.7319693752677,186.784338295608
9,11,12,14,21,32.7157257887856,200.903662814626
3,5,13,15,19,75.8318317448112,30.6036412399384
6,10,12,14,20,50.6437193636913,2610.46033575519
7,8,10,16,17,15.555897958805,135.661279466057
2,3,11,15,17,53.9829397085765,204.567248867007
7,12,14,16,20,10.5214984202206,72.1743937081386
4,11,15,18,21,46.9950596558901,188.140662746135
6,9,18,19,21,54.386742738827,352.355559878966
4,8,11,12,15,46.6954867657065,214.249378433922
4,11,12,13,19,20.7981956927648,186.126556106675
