V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
1,2,3,6,9,13,15,17,19,20,30.6558240495909,161.589907377926,5
1,4,5,7,8,9,10,12,16,18,81.9574609132853,103.909679600202,1
4,8,9,11,12,13,14,15,16,18,42.2675462290868,97.4878251716313,2
1,4,9,10,12,13,14,17,18,21,84.225579398399,88.2599135538942,0
1,2,3,6,11,15,18,19,20,21,39.6839293296662,179.947404240706,1
3,5,8,9,10,12,13,16,17,18,15.2463844217581,133.978938310118,5
1,3,8,9,10,11,14,15,18,19,74.4655017061574,111.427368636215,0
1,2,3,5,6,8,12,13,17,20,32.6140884804516,120.879268256619,3
3,4,5,9,10,12,15,16,20,21,12.0466220566468,133.157054189866,5
1,2,3,6,12,17,18,19,20,21,74.5026949784196,125.877568783297,1
3,4,10,13,14,15,16,17,18,21,92.2813157001932,113.561778381299,1
1,3,5,9,10,11,12,17,18,20,53.5873213968618,117.124241180454,1
1,2,3,4,12,13,15,16,17,20,6.93175299206666,186.317412030374,7
2,3,6,9,10,11,13,15,18,20,8.86076232917803,142.949041560676,5
1,3,6,7,9,10,12,16,17,18,62.3389735229118,128.352854854562,0
2,5,9,12,14,15,16,17,18,19,88.0030121632232,103.430684214888,1
1,3,5,6,7,12,13,15,18,20,17.4599554841198,153.19833076145,5
1,2,4,7,8,10,11,14,15,18,63.1541762636747,116.901087822765,0
1,2,3,4,6,9,14,15,18,19,12.1692590960965,121.93627845504,7
1,3,4,8,9,12,14,15,16,21,95.053750450586,104.277713970968,1
1,5,7,8,9,10,13,15,16,20,80.6620861316163,88.0381302071145,1
6,9,12,13,14,16,17,18,19,20,61.0502729975582,113.026685987577,1
1,3,7,10,11,14,15,17,20,21,49.5687731492202,129.208569761681,0
1,4,5,6,9,10,14,15,19,20,58.2871250929033,116.765919035405,2
1,2,3,6,7,10,14,16,18,20,7.72496013192459,127.029935794078,6
2,3,5,6,8,9,10,15,16,20,0.920036725081286,206.872757884387,10
1,2,3,5,6,7,13,15,18,21,0.871159179367799,200.851452661271,10
3,4,5,9,10,11,12,15,17,21,54.5207901437933,126.038101314926,0
1,2,3,4,8,9,10,11,14,16,15.9641935146253,116.839229999163,7
1,2,3,4,5,10,14,17,18,20,1.03024520503482,173.654610706827,11
3,5,6,8,11,12,16,17,19,20,8.4997696624818,130.902843185293,4
2,4,5,8,9,10,11,12,17,21,55.7935743627194,125.304727602639,1
3,4,6,8,11,12,14,17,18,19,7.89556574282065,129.6126930426,4
1,2,4,5,10,12,17,18,19,21,81.8801167725428,81.9519333571593,0
1,6,7,10,11,13,16,18,20,21,16.0034945849632,188.151465127414,2
1,2,6,8,9,13,14,15,19,20,36.9069427528366,118.638807464791,3
1,3,5,6,8,11,14,16,17,21,20.9990281566561,165.452776301057,2
2,4,6,8,9,10,12,16,20,21,66.6525146816692,135.339307062043,0
3,4,6,8,10,11,14,18,19,21,20.1548617468763,174.235599732553,4
1,3,5,8,12,13,14,18,19,21,4.35445585890377,149.008207336918,7
1,4,6,9,11,13,15,16,17,18,0.591368517720731,189.890745422267,9
1,3,6,7,8,13,14,18,19,20,30.8272652350891,113.34157724726,3
1,3,5,8,14,15,16,18,19,20,1.639626747402,133.280507188727,10
2,5,6,7,8,9,10,11,12,15,15.7215122551505,155.435848514457,4
3,5,7,8,9,13,15,19,20,21,81.1807994094805,78.8357958691096,1
1,2,5,7,8,9,13,14,17,19,38.3610588893666,96.7049689046962,3
1,3,5,7,9,13,16,18,19,21,5.09558771052475,128.118601513454,6
1,6,8,9,12,14,17,18,20,21,66.3429153053904,123.229969458651,1
3,4,6,7,10,11,14,15,16,17,11.4197567747852,141.55316082041,3
4,9,10,11,12,13,16,17,20,21,73.1943636856133,132.87420855437,1
2,3,9,10,11,12,16,17,20,21,65.91517487321,148.430024239697,1
1,2,5,7,10,12,15,16,17,21,77.2257469839792,101.195504388901,1
4,5,6,8,11,12,13,17,18,19,25.1123559175843,150.596477495172,3
1,2,3,7,9,11,12,16,18,19,14.2974898063795,136.436143197559,7
6,11,12,13,14,15,16,18,20,21,22.0978673038011,161.774991462219,2
2,3,4,9,11,12,13,14,16,19,73.4190315210898,123.699894610728,1
2,4,5,9,12,14,17,18,19,20,19.0830300232891,217.280009463836,6
1,2,5,7,10,12,16,18,19,20,46.9859832356965,111.035561486802,4
1,3,7,8,10,14,15,16,17,18,0.903788895629273,400.961791915674,9
1,3,4,5,6,10,14,16,17,20,74.1976481923131,127.665814638068,0
2,5,7,8,12,15,18,19,20,21,28.233562452478,116.934417867256,5
3,5,6,7,14,15,16,18,20,21,15.0828616996035,137.112585671722,5
2,3,5,6,10,13,14,16,17,21,4.25448945808132,143.513651798852,8
1,3,5,8,10,14,15,16,17,21,52.6973006785756,106.029806031468,2
1,2,5,6,9,11,15,18,19,21,15.7618468074744,164.61233905427,3
2,3,9,11,12,13,15,16,20,21,0.691418420419528,207.65037792744,9
3,4,7,8,12,13,15,17,20,21,2.23326242967635,222.875948304397,8
1,3,5,6,10,14,15,16,18,19,61.9756328656449,111.503583329033,1
1,4,7,9,11,13,14,16,17,20,50.4745526061528,131.028614589578,1
1,3,6,11,12,13,14,15,18,21,2.09524076580926,172.982970086679,7
2,3,5,7,8,10,14,17,19,21,93.4983735325012,88.460596736198,1
1,5,7,8,10,13,16,18,20,21,78.3624069164811,91.9009463472903,1
2,3,5,7,8,12,15,17,18,21,22.524172171079,109.422885680649,5
1,3,4,5,6,7,12,13,14,21,16.8481713279927,158.825242017971,5
1,3,5,6,9,12,15,18,19,21,8.26272362284638,206.393932844194,5
1,3,5,6,9,13,15,16,17,20,56.1471872376852,136.119485883163,2
2,3,6,7,8,10,15,17,19,21,2.52834308226475,169.361460569451,8
1,2,5,6,11,13,14,17,18,20,10.5915339619297,171.806238428484,5
3,4,5,9,11,15,16,17,19,20,0.802682309426276,213.966448403551,9
3,8,9,10,13,14,15,16,18,20,63.6245734325898,77.5323350920123,1
2,4,6,8,9,10,11,18,19,20,35.9403116356639,179.555941608195,0
2,4,8,11,12,14,17,18,19,20,40.4614208723384,97.4567046858747,3
1,2,3,5,6,8,11,13,19,20,8.02613199742648,141.356015014263,5
1,4,7,9,12,16,17,18,20,21,90.5597814242548,103.114445951743,0
1,2,5,9,12,14,15,18,19,21,98.2709310451603,61.7641119951132,1
1,2,5,9,10,11,14,15,16,20,59.1215193729702,111.87119404434,2
1,2,3,4,6,12,13,14,17,18,0.857663168465358,134.270291258052,9
2,4,6,11,12,13,14,16,17,18,25.2025595900091,150.866475993663,3
4,6,7,8,12,13,17,18,19,20,42.0161776316527,121.546526295105,2
2,4,5,7,8,10,12,15,17,18,33.123930233488,118.398231370739,5
1,2,5,6,7,8,10,14,17,18,82.1248775682332,121.058403937524,1
3,4,6,7,8,13,14,16,18,20,58.3975232466305,123.532817441522,1
1,2,4,8,12,15,16,19,20,21,54.6625831772346,75.5256727669828,4
2,3,7,9,12,13,14,15,17,21,15.5796300775879,138.915421154836,6
5,6,7,8,12,13,15,18,19,20,37.0542324697152,111.917352745279,3
1,2,3,4,9,11,13,15,16,17,3.18644922390222,179.708788143807,8
3,4,6,7,13,15,16,18,20,21,73.5540509643613,131.969754070946,0
5,6,11,12,13,14,15,19,20,21,26.6292673853223,161.581425171873,2
1,3,7,11,12,13,15,16,18,20,55.4919237035704,126.191858096439,1
3,5,6,7,9,12,16,18,19,21,0.817754238297187,193.873059644435,10
5,6,8,10,11,14,15,16,19,20,54.6536635771056,168.941611548313,1
1,3,4,5,7,10,13,16,18,19,75.1237039366416,118.757443895132,0
3,4,5,9,11,15,16,17,18,20,81.0867696406891,117.647741233748,1
2,3,6,9,12,15,18,19,20,21,17.8497038492198,115.842670785411,6
1,4,5,7,10,11,12,13,15,20,57.1685235161604,123.105881278675,0
1,2,3,4,6,9,10,15,16,19,15.0520004644861,148.434573536469,8
1,6,8,10,14,15,17,18,19,20,67.6368268089275,148.5455167187,2
1,5,6,7,8,9,10,13,15,18,63.407127017441,115.240492788835,1
2,3,4,6,8,9,11,18,19,21,0.453471325289749,130.966682301349,10
1,2,4,5,6,7,10,14,15,17,15.3683169612969,215.078842684417,4
3,4,8,10,11,12,13,18,20,21,54.4269387693663,129.053235240092,1
3,4,5,6,7,11,12,13,15,17,27.7559274401198,142.057400178028,3
2,5,9,10,12,13,14,15,17,19,12.7450010144909,276.55012830464,4
2,5,8,9,11,14,15,16,17,21,45.0804771969116,114.828263211548,2
2,6,7,8,10,11,14,15,16,18,30.6962890505396,152.881349727899,2
1,2,3,6,9,10,12,14,17,21,69.6140961020185,128.784820278948,0
5,6,8,10,12,14,15,16,18,19,29.1460425243875,133.284122233015,1
2,10,11,12,14,15,18,19,20,21,50.7323346163371,131.748373615023,1
1,3,4,7,10,11,12,14,19,21,44.7877942867355,127.628801298498,1
1,3,4,5,11,12,14,15,16,17,64.5447752406586,133.334091481998,0
1,2,3,4,9,12,14,15,16,20,17.2820969165608,107.111959225947,6
2,5,7,8,13,16,17,19,20,21,0.849978331546116,167.500776634329,10
3,4,5,7,8,11,14,16,17,20,2.34557994700815,216.473325624774,10
1,2,3,7,9,14,15,16,17,21,8.49589117227001,174.357171591846,6
3,4,7,9,12,13,15,16,18,20,94.4998434483804,111.37735047564,1
1,2,3,5,8,10,14,15,17,20,18.0472066553303,123.958843360884,6
1,11,12,13,14,15,16,19,20,21,50.2107910633947,119.616881202874,1
