V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
1,2,3,6,9,13,15,17,19,20,0.00322580015396827,0.382895948925318,9
1,4,5,7,8,9,10,12,16,18,0.165641373469499,0.448790823853661,1
4,8,9,11,12,13,14,15,16,18,0.12520188812713,0.298633859545356,2
1,4,9,10,12,13,14,17,18,21,0.262955221669898,0.329259145073209,1
1,2,3,6,11,15,18,19,20,21,0.00256545957200428,0.486320943937783,10
3,5,8,9,10,12,13,16,17,18,0.0677314065344032,0.334020448489614,4
1,3,8,9,10,11,14,15,18,19,0.162614175957036,0.295677000047409,2
1,2,3,5,6,8,12,13,17,20,0.0066859972776765,0.363054399183135,6
3,4,5,9,10,12,15,16,20,21,0.00289307057857361,0.472032005521907,11
1,2,3,6,12,17,18,19,20,21,0.0320497171963877,0.310334699368501,7
3,4,10,13,14,15,16,17,18,21,0.0964031841844351,0.363781257050852,4
1,3,5,9,10,11,12,17,18,20,0.24998171319692,0.363179358985542,0
1,2,3,4,12,13,15,16,17,20,0.00455306043891617,0.546650523053039,10
2,3,6,9,10,11,13,15,18,20,0.00202588034130023,0.630339326293366,9
1,3,6,7,9,10,12,16,17,18,0.194628481369269,0.447477903236985,0
2,5,9,12,14,15,16,17,18,19,0.137820903620503,0.258502037410663,3
1,3,5,6,7,12,13,15,18,20,0.114876516000777,0.380888197106003,3
1,2,4,7,8,10,11,14,15,18,0.243151294054123,0.385449847529342,0
1,2,3,4,6,9,14,15,18,19,0.01042845160646,0.398178562053643,8
1,3,4,8,9,12,14,15,16,21,0.232521816830127,0.337835774227131,2
1,5,7,8,9,10,13,15,16,20,0.141295527157311,0.337466011129471,2
6,9,12,13,14,16,17,18,19,20,0.05703167311787,0.312047024799398,4
1,3,7,10,11,14,15,17,20,21,0.178554228203125,0.41633083121272,0
1,4,5,6,9,10,14,15,19,20,0.022097336513787,0.535151094361364,7
1,2,3,6,7,10,14,16,18,20,0.15593095224826,0.386262872414796,1
2,3,5,6,8,9,10,15,16,20,0.0182936724680593,0.504821942208662,7
1,2,3,5,6,7,13,15,18,21,0.0131108816554555,0.430786477109074,7
3,4,5,9,10,11,12,15,17,21,0.00226065108773918,0.473687587375173,10
1,2,3,4,8,9,10,11,14,16,0.0249331678706388,0.474615361445416,5
1,2,3,4,5,10,14,17,18,20,0.302607030881698,0.292931956579797,0
3,5,6,8,11,12,16,17,19,20,0.0330531532974396,0.343626530169445,6
2,4,5,8,9,10,11,12,17,21,0.0632282726663084,0.456720585124114,4
3,4,6,8,11,12,14,17,18,19,0.0176639899468538,0.316264615613406,6
1,2,4,5,10,12,17,18,19,21,0.103053803624174,0.184964070507946,6
1,6,7,10,11,13,16,18,20,21,0.0945919374305953,0.516220414082317,2
1,2,6,8,9,13,14,15,19,20,0.0291978347623377,0.4457936326226,6
1,3,5,6,8,11,14,16,17,21,0.0571911554729919,0.402070683842444,4
2,4,6,8,9,10,12,16,20,21,0.170885571337784,0.39053384382003,1
3,4,6,8,10,11,14,18,19,21,0.159580841683974,0.473889877328397,1
1,3,5,8,12,13,14,18,19,21,0.00461172231760886,0.356572537999648,8
1,4,6,9,11,13,15,16,17,18,0.0242453564884056,0.509493148235402,7
1,3,6,7,8,13,14,18,19,20,0.0153933626629833,0.38940464969921,5
