V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
1,2,3,6,9,13,15,17,19,20,44.6463939832462,130.912497353959
1,4,5,7,8,9,10,12,16,18,9.01428468365701,Inf
4,8,9,11,12,13,14,15,16,18,83.912590036036,124.361633803274
1,4,9,10,12,13,14,17,18,21,31.8309210514132,181.86958550371
1,2,3,6,11,15,18,19,20,21,98.9075636881504,62.6346016000062
3,5,8,9,10,12,13,16,17,18,39.6912875250962,135.45539786605
1,3,8,9,10,11,14,15,18,19,83.4486336791215,127.445271661179
1,2,3,5,6,8,12,13,17,20,50.1053687130947,142.081573516503
3,4,5,9,10,12,15,16,20,21,38.0592641560543,163.18710684246
1,2,3,6,12,17,18,19,20,21,70.737619081433,122.503615458834
3,4,10,13,14,15,16,17,18,21,38.8776347478363,158.779421420616
1,3,5,9,10,11,12,17,18,20,74.5042678056391,123.639884960677
1,2,3,4,12,13,15,16,17,20,29.5172533786933,144.763166500363
2,3,6,9,10,11,13,15,18,20,62.6617554018965,53.9527501825708
1,3,6,7,9,10,12,16,17,18,62.1318800346799,111.667061787702
2,5,9,12,14,15,16,17,18,19,23.4372711119752,Inf
1,3,5,6,7,12,13,15,18,20,77.6923526674356,118.938060034269
1,2,4,7,8,10,11,14,15,18,84.5401546082483,122.543031884797
1,2,3,4,6,9,14,15,18,19,72.8621314005642,125.166754329483
1,3,4,8,9,12,14,15,16,21,0.593932069852654,Inf
1,5,7,8,9,10,13,15,16,20,47.8902642112711,Inf
6,9,12,13,14,16,17,18,19,20,61.3848544042007,119.067722442971
1,3,7,10,11,14,15,17,20,21,83.4534088537753,117.286364991117
1,4,5,6,9,10,14,15,19,20,59.2503926628332,123.085955016902
1,2,3,6,7,10,14,16,18,20,70.5554187514445,114.603364085806
2,3,5,6,8,9,10,15,16,20,1.44583176289945,200.56143506979
1,2,3,5,6,7,13,15,18,21,66.1221115040315,120.916288074882
3,4,5,9,10,11,12,15,17,21,71.9797492700094,119.869305386611
1,2,3,4,8,9,10,11,14,16,11.3249290714311,Inf
1,2,3,4,5,10,14,17,18,20,34.8444922444378,Inf
3,5,6,8,11,12,16,17,19,20,97.378838841619,73.4839276239888
2,4,5,8,9,10,11,12,17,21,63.2488411486809,121.079711774179
3,4,6,8,11,12,14,17,18,19,59.6079482002255,76.192279727607
1,2,4,5,10,12,17,18,19,21,2.65962206673732,Inf
1,6,7,10,11,13,16,18,20,21,105.474641696241,35.5924207272158
1,2,6,8,9,13,14,15,19,20,85.1026337015958,125.290436932872
1,3,5,6,8,11,14,16,17,21,68.5429746960387,64.8408313341759
2,4,6,8,9,10,12,16,20,21,50.9313039951342,122.698865032294
3,4,6,8,10,11,14,18,19,21,60.8894014252779,48.9401769200095
1,3,5,8,12,13,14,18,19,21,49.334713947782,161.824715499769
1,4,6,9,11,13,15,16,17,18,93.2357899373358,68.7373556759977
1,3,6,7,8,13,14,18,19,20,48.7708593855384,123.872696719469
1,3,5,8,14,15,16,18,19,20,12.3490845146484,Inf
2,5,6,7,8,9,10,11,12,15,105.159044526792,67.1227570205174
