"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","pred1","pred2","pred3","pred4","pred5"
"1",1,2,3,6,9,13,15,17,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"2",1,4,5,7,8,9,10,12,16,18,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"3",4,8,9,11,12,13,14,15,16,18,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"4",1,4,9,10,12,13,14,17,18,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"5",1,2,3,6,11,15,18,19,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"6",3,5,8,9,10,12,13,16,17,18,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"7",1,3,8,9,10,11,14,15,18,19,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"8",1,2,3,5,6,8,12,13,17,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"9",3,4,5,9,10,12,15,16,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"10",1,2,3,6,12,17,18,19,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"11",3,4,10,13,14,15,16,17,18,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"12",1,3,5,9,10,11,12,17,18,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"13",1,2,3,4,12,13,15,16,17,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"14",2,3,6,9,10,11,13,15,18,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"15",1,3,6,7,9,10,12,16,17,18,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"16",2,5,9,12,14,15,16,17,18,19,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"17",1,3,5,6,7,12,13,15,18,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"18",1,2,4,7,8,10,11,14,15,18,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"19",1,2,3,4,6,9,14,15,18,19,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"20",1,3,4,8,9,12,14,15,16,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"21",1,5,7,8,9,10,13,15,16,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"22",6,9,12,13,14,16,17,18,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"23",1,3,7,10,11,14,15,17,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"24",1,4,5,6,9,10,14,15,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"25",1,2,3,6,7,10,14,16,18,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"26",2,3,5,6,8,9,10,15,16,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"27",1,2,3,5,6,7,13,15,18,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"28",3,4,5,9,10,11,12,15,17,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"29",1,2,3,4,8,9,10,11,14,16,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"30",1,2,3,4,5,10,14,17,18,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"31",3,5,6,8,11,12,16,17,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"32",2,4,5,8,9,10,11,12,17,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"33",3,4,6,8,11,12,14,17,18,19,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"34",1,2,4,5,10,12,17,18,19,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"35",1,6,7,10,11,13,16,18,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"36",1,2,6,8,9,13,14,15,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"37",1,3,5,6,8,11,14,16,17,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"38",2,4,6,8,9,10,12,16,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"39",3,4,6,8,10,11,14,18,19,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"40",1,3,5,8,12,13,14,18,19,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"41",1,4,6,9,11,13,15,16,17,18,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"42",1,3,6,7,8,13,14,18,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"43",1,3,5,8,14,15,16,18,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"44",2,5,6,7,8,9,10,11,12,15,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"45",3,5,7,8,9,13,15,19,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"46",1,2,5,7,8,9,13,14,17,19,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"47",1,3,5,7,9,13,16,18,19,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"48",1,6,8,9,12,14,17,18,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"49",3,4,6,7,10,11,14,15,16,17,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"50",4,9,10,11,12,13,16,17,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"51",2,3,9,10,11,12,16,17,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"52",1,2,5,7,10,12,15,16,17,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"53",4,5,6,8,11,12,13,17,18,19,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"54",1,2,3,7,9,11,12,16,18,19,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"55",6,11,12,13,14,15,16,18,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"56",2,3,4,9,11,12,13,14,16,19,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"57",2,4,5,9,12,14,17,18,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"58",1,2,5,7,10,12,16,18,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"59",1,3,7,8,10,14,15,16,17,18,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"60",1,3,4,5,6,10,14,16,17,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"61",2,5,7,8,12,15,18,19,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"62",3,5,6,7,14,15,16,18,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"63",2,3,5,6,10,13,14,16,17,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"64",1,3,5,8,10,14,15,16,17,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"65",1,2,5,6,9,11,15,18,19,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"66",2,3,9,11,12,13,15,16,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"67",3,4,7,8,12,13,15,17,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"68",1,3,5,6,10,14,15,16,18,19,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"69",1,4,7,9,11,13,14,16,17,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"70",1,3,6,11,12,13,14,15,18,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"71",2,3,5,7,8,10,14,17,19,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"72",1,5,7,8,10,13,16,18,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"73",2,3,5,7,8,12,15,17,18,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"74",1,3,4,5,6,7,12,13,14,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"75",1,3,5,6,9,12,15,18,19,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"76",1,3,5,6,9,13,15,16,17,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"77",2,3,6,7,8,10,15,17,19,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"78",1,2,5,6,11,13,14,17,18,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"79",3,4,5,9,11,15,16,17,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"80",3,8,9,10,13,14,15,16,18,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"81",2,4,6,8,9,10,11,18,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"82",2,4,8,11,12,14,17,18,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"83",1,2,3,5,6,8,11,13,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"84",1,4,7,9,12,16,17,18,20,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"85",1,2,5,9,12,14,15,18,19,21,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"86",1,2,5,9,10,11,14,15,16,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"87",1,2,3,4,6,12,13,14,17,18,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"88",2,4,6,11,12,13,14,16,17,18,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"89",4,6,7,8,12,13,17,18,19,20,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
"90",2,4,5,7,8,10,12,15,17,18,"BY_recon_150","BY_recon_10","SY_discon_400","RY_recon_400","SY_SP_ROC"
