V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
1,2,3,6,9,13,15,17,19,20,79520.1636811366,Inf
1,4,5,7,8,9,10,12,16,18,282573.674056264,272462.896157898
4,8,9,11,12,13,14,15,16,18,154335.782187278,399238.016458697
1,4,9,10,12,13,14,17,18,21,219648.832016463,349465.68598436
1,2,3,6,11,15,18,19,20,21,149436.318784699,393798.839048868
3,5,8,9,10,12,13,16,17,18,216756.079341431,296759.280981455
1,3,8,9,10,11,14,15,18,19,73777.3183321929,361379.43293187
1,2,3,5,6,8,12,13,17,20,176837.310567609,350450.883346401
3,4,5,9,10,12,15,16,20,21,244670.60281006,294839.257129887
1,2,3,6,12,17,18,19,20,21,71789.8557644458,465742.255521214
3,4,10,13,14,15,16,17,18,21,66951.73614167,484907.516365952
1,3,5,9,10,11,12,17,18,20,201239.251318487,225759.092642173
1,2,3,4,12,13,15,16,17,20,7653.87622254981,Inf
2,3,6,9,10,11,13,15,18,20,144013.874738434,352073.949833027
1,3,6,7,9,10,12,16,17,18,197282.580489322,342405.271860459
2,5,9,12,14,15,16,17,18,19,205730.366429876,Inf
1,3,5,6,7,12,13,15,18,20,155897.414346892,359176.64851579
1,2,4,7,8,10,11,14,15,18,162856.965452893,319571.14926439
1,2,3,4,6,9,14,15,18,19,104230.349183377,Inf
1,3,4,8,9,12,14,15,16,21,134448.356603445,420341.091078764
1,5,7,8,9,10,13,15,16,20,199401.144955538,288158.865452764
6,9,12,13,14,16,17,18,19,20,174149.313971597,395807.818058823
1,3,7,10,11,14,15,17,20,21,3213.762167149,Inf
1,4,5,6,9,10,14,15,19,20,254583.110344828,258670.014290045
1,2,3,6,7,10,14,16,18,20,24728.6916110635,550145.182613347
2,3,5,6,8,9,10,15,16,20,215326.85797468,294779.34178851
1,2,3,5,6,7,13,15,18,21,159673.225620784,352841.236307407
3,4,5,9,10,11,12,15,17,21,254654.317671493,217951.281017153
1,2,3,4,8,9,10,11,14,16,224980.140541456,318491.873305638
1,2,3,4,5,10,14,17,18,20,232080.69988649,271501.588818906
3,5,6,8,11,12,16,17,19,20,167597.101619015,318355.770015571
2,4,5,8,9,10,11,12,17,21,228846.907943562,202149.19077203
3,4,6,8,11,12,14,17,18,19,129516.808157905,364668.236882
1,2,4,5,10,12,17,18,19,21,237675.076408733,277109.580138913
1,6,7,10,11,13,16,18,20,21,188681.470604259,356351.573483211
1,2,6,8,9,13,14,15,19,20,107138.791051042,Inf
1,3,5,6,8,11,14,16,17,21,194369.850143612,308997.175047069
2,4,6,8,9,10,12,16,20,21,164512.914716686,373983.482082232
3,4,6,8,10,11,14,18,19,21,170674.781588857,332220.499013346
1,3,5,8,12,13,14,18,19,21,158116.104887212,379761.142722219
1,4,6,9,11,13,15,16,17,18,158238.304510957,384630.924257985
1,3,6,7,8,13,14,18,19,20,75774.1970619657,483203.088630404
1,3,5,8,14,15,16,18,19,20,153174.682836232,394758.8987374
2,5,6,7,8,9,10,11,12,15,196989.878274506,189829.719807273
3,5,7,8,9,13,15,19,20,21,159093.343976601,384572.216980176
1,2,5,7,8,9,13,14,17,19,159851.038125977,Inf
1,3,5,7,9,13,16,18,19,21,203789.90248241,360885.823465993
1,6,8,9,12,14,17,18,20,21,143368.431597111,456178.446903002
3,4,6,7,10,11,14,15,16,17,74290.2989876845,310141.78411926
4,9,10,11,12,13,16,17,20,21,175262.124178666,329209.993864788
2,3,9,10,11,12,16,17,20,21,167110.405049746,331792.505232719
1,2,5,7,10,12,15,16,17,21,234523.254815917,273297.883325651
4,5,6,8,11,12,13,17,18,19,203154.230779467,301344.715899535
1,2,3,7,9,11,12,16,18,19,194470.260811737,373782.417547888
6,11,12,13,14,15,16,18,20,21,117970.252953972,366074.734587439
2,3,4,9,11,12,13,14,16,19,200232.543090873,Inf
2,4,5,9,12,14,17,18,19,20,185542.586810447,Inf
1,2,5,7,10,12,16,18,19,20,223443.978148797,281791.250239217
1,3,7,8,10,14,15,16,17,18,155150.621673933,372444.121763452
1,3,4,5,6,10,14,16,17,20,240422.281388448,276593.003856767
2,5,7,8,12,15,18,19,20,21,168632.936233783,362656.863970476
3,5,6,7,14,15,16,18,20,21,195893.394631273,360057.011602325
2,3,5,6,10,13,14,16,17,21,251392.595393901,278717.32131766
