V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
1,2,3,6,9,13,15,17,19,20,215188.410069816,203229.28743361,1
1,4,5,7,8,9,10,12,16,18,145531.423610965,380498.310779437,1
4,8,9,11,12,13,14,15,16,18,20427.2375908923,626014.548177053,6
1,4,9,10,12,13,14,17,18,21,167759.518598597,320506.281513206,0
1,2,3,6,11,15,18,19,20,21,157372.740088133,411318.13198994,2
3,5,8,9,10,12,13,16,17,18,173206.202561737,360438.458240791,1
1,3,8,9,10,11,14,15,18,19,165377.225514512,409680.355149848,1
1,2,3,5,6,8,12,13,17,20,52140.5381183947,336106.395952613,3
3,4,5,9,10,12,15,16,20,21,167174.834024943,355951.233072541,1
1,2,3,6,12,17,18,19,20,21,139273.126725156,338203.123150336,3
3,4,10,13,14,15,16,17,18,21,88440.3261962486,377499.783972126,1
1,3,5,9,10,11,12,17,18,20,89139.6120340766,427236.495956166,3
1,2,3,4,12,13,15,16,17,20,221395.513497047,294405.915215719,0
2,3,6,9,10,11,13,15,18,20,166663.763011686,318761.748078576,0
1,3,6,7,9,10,12,16,17,18,168512.003741339,393811.53551287,1
2,5,9,12,14,15,16,17,18,19,105903.286332347,446913.320088738,2
1,3,5,6,7,12,13,15,18,20,32934.7433290065,377674.104368436,5
1,2,4,7,8,10,11,14,15,18,139724.352832261,370399.132337555,1
1,2,3,4,6,9,14,15,18,19,231309.40873358,313518.146915759,1
1,3,4,8,9,12,14,15,16,21,23387.4511105316,677240.130704217,5
1,5,7,8,9,10,13,15,16,20,174016.473220866,371761.963362351,0
6,9,12,13,14,16,17,18,19,20,216574.850433274,244266.411030985,0
1,3,7,10,11,14,15,17,20,21,126160.729924905,333440.4129998,0
1,4,5,6,9,10,14,15,19,20,14334.9107095942,552545.813067233,7
1,2,3,6,7,10,14,16,18,20,31562.3104683661,1102396.84100225,6
2,3,5,6,8,9,10,15,16,20,190260.406465373,374133.156442903,0
1,2,3,5,6,7,13,15,18,21,17318.2527044935,411505.410425726,8
3,4,5,9,10,11,12,15,17,21,97106.7317236266,427703.350346768,1
1,2,3,4,8,9,10,11,14,16,128868.723680403,399898.566859579,0
1,2,3,4,5,10,14,17,18,20,148151.496386433,421625.451756372,0
3,5,6,8,11,12,16,17,19,20,117787.281595775,332442.802763508,1
2,4,5,8,9,10,11,12,17,21,3489.97213931695,519175.796906658,9
3,4,6,8,11,12,14,17,18,19,121807.784079019,468486.346360863,1
1,2,4,5,10,12,17,18,19,21,156430.022719562,354637.126429387,1
1,6,7,10,11,13,16,18,20,21,124838.005675343,311927.614863878,1
1,2,6,8,9,13,14,15,19,20,98528.9799740195,309354.052493036,2
1,3,5,6,8,11,14,16,17,21,122759.748452542,351382.746401622,2
2,4,6,8,9,10,12,16,20,21,154597.112739868,255238.978065111,1
3,4,6,8,10,11,14,18,19,21,176473.755659321,301376.670466228,0
1,3,5,8,12,13,14,18,19,21,55612.131763175,359237.98225122,4
1,4,6,9,11,13,15,16,17,18,64360.1248223522,320022.927118367,4
1,3,6,7,8,13,14,18,19,20,200459.828059323,308473.059498012,0
1,3,5,8,14,15,16,18,19,20,96510.8757238689,412394.293324644,2
2,5,6,7,8,9,10,11,12,15,16575.3165900731,506622.173544936,6
3,5,7,8,9,13,15,19,20,21,32500.281864061,404458.192039715,5
1,2,5,7,8,9,13,14,17,19,159612.557173934,328736.714844201,0
1,3,5,7,9,13,16,18,19,21,127431.027608543,331354.844169491,1
1,6,8,9,12,14,17,18,20,21,35076.5317521493,409778.409246248,7
3,4,6,7,10,11,14,15,16,17,134191.83874171,361385.054089843,0
4,9,10,11,12,13,16,17,20,21,145318.783062348,304808.847359721,1
2,3,9,10,11,12,16,17,20,21,149315.492406476,301132.869851143,1
1,2,5,7,10,12,15,16,17,21,169896.060320033,444700.80893116,0
4,5,6,8,11,12,13,17,18,19,169457.896746105,331884.066829032,1
1,2,3,7,9,11,12,16,18,19,142343.555985839,371361.631273415,2
6,11,12,13,14,15,16,18,20,21,136485.306089945,318744.890980769,3
2,3,4,9,11,12,13,14,16,19,169949.077665369,265227.844782663,0
2,4,5,9,12,14,17,18,19,20,114419.398843386,321940.154449501,2
1,2,5,7,10,12,16,18,19,20,118344.718169289,481145.468018168,3
1,3,7,8,10,14,15,16,17,18,179451.016842941,297646.411536808,0
1,3,4,5,6,10,14,16,17,20,173722.013527367,362973.651104547,1
2,5,7,8,12,15,18,19,20,21,124010.141310521,310014.250488988,2
3,5,6,7,14,15,16,18,20,21,19781.6301936501,450453.557892039,7
2,3,5,6,10,13,14,16,17,21,2026.50600397868,516252.638189607,9
1,3,5,8,10,14,15,16,17,21,73256.1767519672,445404.940350408,3
1,2,5,6,9,11,15,18,19,21,98106.5066898997,372159.676957674,2
2,3,9,11,12,13,15,16,20,21,155936.651337965,251636.488257543,1
3,4,7,8,12,13,15,17,20,21,186807.616270985,364762.281893342,0
1,3,5,6,10,14,15,16,18,19,96614.7896982305,418217.689361712,2
1,4,7,9,11,13,14,16,17,20,162535.75630835,345992.59644249,1
1,3,6,11,12,13,14,15,18,21,2578.02218700274,1450508.13842225,9
2,3,5,7,8,10,14,17,19,21,27221.5632624811,407497.958992976,6
1,5,7,8,10,13,16,18,20,21,114495.281839854,343998.353030223,1
2,3,5,7,8,12,15,17,18,21,55484.2126962336,378024.078993256,4
1,3,4,5,6,7,12,13,14,21,11880.6359549189,436881.926678652,6
1,3,5,6,9,12,15,18,19,21,96794.5471273706,344883.28674181,2
1,3,5,6,9,13,15,16,17,20,157209.121384144,308441.401308619,1
2,3,6,7,8,10,15,17,19,21,146480.135306573,281879.023764133,0
1,2,5,6,11,13,14,17,18,20,124448.82014715,354869.393330975,1
3,4,5,9,11,15,16,17,19,20,151259.48769833,344942.930107339,1
3,8,9,10,13,14,15,16,18,20,88844.5128926618,405282.777560315,3
2,4,6,8,9,10,11,18,19,20,146670.036272657,315856.365303598,0
2,4,8,11,12,14,17,18,19,20,180581.186503187,292304.879005605,0
1,2,3,5,6,8,11,13,19,20,2323.78953080476,772119.428331566,9
1,4,7,9,12,16,17,18,20,21,207933.440914995,325741.052305627,0
1,2,5,9,12,14,15,18,19,21,83946.8307087124,376370.225275442,2
1,2,5,9,10,11,14,15,16,20,2522.78795300227,525323.434518904,8
1,2,3,4,6,12,13,14,17,18,253054.751930063,403314.666638722,0
2,4,6,11,12,13,14,16,17,18,195610.243278484,276828.037362897,1
4,6,7,8,12,13,17,18,19,20,4262.04804518568,747276.601630755,9
2,4,5,7,8,10,12,15,17,18,68929.1905508348,411604.048796574,3
1,2,5,6,7,8,10,14,17,18,126888.683906425,412099.783689837,1
3,4,6,7,8,13,14,16,18,20,214789.387578234,290975.45881547,0
1,2,4,8,12,15,16,19,20,21,238261.906839539,306159.857786038,0
2,3,7,9,12,13,14,15,17,21,91856.6916943767,283622.754869664,3
5,6,7,8,12,13,15,18,19,20,44975.8851566816,357207.84418227,5
1,2,3,4,9,11,13,15,16,17,34581.9296147699,537956.168384232,8
3,4,6,7,13,15,16,18,20,21,179929.222450266,343062.934564899,1
5,6,11,12,13,14,15,19,20,21,76277.4553113624,372310.258753157,2
1,3,7,11,12,13,15,16,18,20,181014.909283802,386385.912688996,1
3,5,6,7,9,12,16,18,19,21,49075.8819802074,402909.233788211,3
5,6,8,10,11,14,15,16,19,20,72948.1566748279,440502.963808413,1
1,3,4,5,7,10,13,16,18,19,142904.452149384,368721.544538502,0
3,4,5,9,11,15,16,17,18,20,54931.5933690485,416411.690453016,4
2,3,6,9,12,15,18,19,20,21,168096.455107377,306102.727465726,1
1,4,5,7,10,11,12,13,15,20,129750.829965713,415615.137593792,1
1,2,3,4,6,9,10,15,16,19,160974.835618971,266686.872758852,0
1,6,8,10,14,15,17,18,19,20,196593.606326573,294055.930108775,0
1,5,6,7,8,9,10,13,15,18,171145.816504919,376000.192379659,1
2,3,4,6,8,9,11,18,19,21,152310.574877163,257470.764685631,1
1,2,4,5,6,7,10,14,15,17,146782.786178455,426810.613706331,0
3,4,8,10,11,12,13,18,20,21,146298.731587436,292223.150561509,1
3,4,5,6,7,11,12,13,15,17,51310.6477769515,446517.148117398,5
2,5,9,10,12,13,14,15,17,19,145276.966471844,438000.760502394,0
2,5,8,9,11,14,15,16,17,21,167491.925813781,449893.624942024,1
2,6,7,8,10,11,14,15,16,18,130832.315039386,351356.664651072,0
1,2,3,6,9,10,12,14,17,21,168585.224767997,293928.079925094,0
5,6,8,10,12,14,15,16,18,19,78212.9447323209,429593.835999395,3
2,10,11,12,14,15,18,19,20,21,153096.984821067,321608.328315223,1
1,3,4,7,10,11,12,14,19,21,83080.4805009563,503124.266893338,2
1,3,4,5,11,12,14,15,16,17,129377.85918776,364517.87554119,2
1,2,3,4,9,12,14,15,16,20,79291.8357720472,369578.564433198,5
2,5,7,8,13,16,17,19,20,21,42282.5104200099,399358.904214606,6
3,4,5,7,8,11,14,16,17,20,86950.8470187879,346625.193475289,1
1,2,3,7,9,14,15,16,17,21,161433.669915629,350467.096509413,1
3,4,7,9,12,13,15,16,18,20,173085.767731227,349914.514784636,1
1,2,3,5,8,10,14,15,17,20,78934.7969466731,520523.2910852,2
1,11,12,13,14,15,16,19,20,21,53757.0659415065,689029.554690477,5
1,3,4,5,8,9,10,12,13,21,116288.985431078,360303.570932998,1
1,2,3,7,10,11,12,16,19,20,105329.05891556,434618.039522565,3
1,4,5,6,8,11,12,14,18,21,69655.601198943,353730.525433777,2
3,5,7,12,15,16,17,18,20,21,59197.1133199222,362211.679521955,4
1,3,5,7,10,13,17,18,19,20,100525.491711163,355825.225488657,1
2,3,5,7,11,16,17,18,20,21,24548.2581115981,426938.497519453,6
2,4,7,8,9,10,13,16,18,19,129296.508466755,297313.346389906,0
3,5,6,7,8,9,12,14,16,20,190568.498504467,318625.420608958,1
1,5,7,8,11,13,15,16,18,19,99678.4284726386,358693.64998448,2
1,2,3,4,8,9,12,14,15,19,223686.446753637,312246.94240903,0
3,4,6,7,10,14,15,16,20,21,114762.860196208,352676.196607509,2
2,3,5,6,8,10,11,12,14,15,40733.2452171803,475457.777556888,3
2,3,5,7,8,9,11,18,20,21,141180.310708096,348928.632067881,1
2,4,6,8,12,16,18,19,20,21,91565.7387260346,353098.922999275,3
1,3,4,6,8,9,10,15,16,19,170245.278465746,265095.50779728,0
4,5,7,8,9,13,14,15,17,20,88545.9269815141,340702.093746409,3
1,3,5,6,10,11,14,16,17,21,84190.6572166169,418788.184982358,1
2,3,7,8,9,13,15,16,18,21,163742.888334382,224823.028983374,1
1,2,3,7,8,13,15,16,19,20,204292.917259219,340467.619120122,0
1,2,5,7,9,10,11,14,16,17,1679.92576007497,522217.276604213,9
1,4,6,9,10,12,16,17,18,19,121179.884147379,345695.601857386,0
4,5,6,10,11,12,14,17,18,20,139491.867327132,437658.29781009,1
1,2,6,11,13,14,15,17,18,19,189964.246576314,327348.589997839,0
1,3,4,6,7,10,11,12,13,17,150390.358371398,391289.031929255,0
3,4,5,7,9,10,11,16,17,21,20501.0333838909,523015.538156771,3
1,4,8,11,14,15,18,19,20,21,46251.8972488425,1313196.33928784,4
2,3,5,8,9,11,12,13,16,20,105535.676381562,350064.987110992,1
1,4,6,8,12,13,15,16,18,19,134441.417156277,382921.809506655,2
4,6,7,9,10,11,13,14,18,19,134019.057299467,387367.525141504,0
1,2,3,4,9,10,11,12,17,19,131947.985905433,365014.382841007,1
1,3,4,7,13,15,18,19,20,21,219153.763864452,426740.024295678,0
