V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse
3,4,5,6,12,13,15,17,18,20,21,1313.17340449807,3417.72093846516
2,4,5,6,8,12,13,16,17,19,21,1422.98036952751,2557.62668590684
1,2,5,6,8,9,10,11,13,17,19,1366.40582242432,3654.27754332322
2,3,7,8,11,12,15,18,19,21,22,8.49621613472778,NA
4,7,8,9,11,14,15,17,19,21,22,841.77179258405,3862.02411716739
1,2,3,4,7,12,16,19,20,21,22,1328.61873031509,3153.92157346193
1,4,6,9,10,11,13,14,17,18,19,967.616449529185,3896.52337911619
2,3,4,8,11,12,13,14,15,17,18,531.185507222428,Inf
4,5,6,9,11,12,14,15,16,18,21,1625.38310696618,2008.84544366383
3,4,5,6,7,8,10,11,12,13,17,1720.05261215987,3622.76726114128
1,4,5,6,10,11,13,16,17,21,22,1403.69053596924,2525.34841716924
3,4,5,7,8,9,11,13,17,18,20,187.259087900644,4300.83817224829
1,4,5,11,14,15,16,17,18,19,22,1706.16781143014,2083.61387819059
3,9,10,11,13,15,16,17,18,19,22,1500.50664171079,3525.19715409034
2,9,10,11,12,13,14,15,17,19,21,1306.52338493113,Inf
1,3,4,7,10,11,12,14,16,19,21,1614.94332166612,3046.84065877328
2,3,4,5,6,7,10,12,14,15,16,1296.15296925359,1498.38615111434
4,5,6,7,8,11,13,15,20,21,22,1753.30870919464,3220.2198349063
3,6,9,13,14,15,17,18,19,21,22,1072.65664519226,5409.98342955153
3,4,6,8,9,12,15,16,20,21,22,1411.46453814286,3367.89003275452
2,3,4,7,8,9,11,12,13,17,18,736.331264144772,Inf
2,4,6,7,10,12,15,16,18,20,22,1152.60036833507,2886.47408317955
2,7,8,9,11,14,16,17,18,21,22,1304.24487615246,Inf
2,4,9,11,13,14,15,17,19,20,22,1423.04605628322,Inf
3,6,7,11,12,14,15,16,19,21,22,1101.59490143576,2813.29824600349
1,2,6,8,9,10,11,14,16,17,21,1689.95818868515,Inf
1,7,10,13,14,15,17,18,19,20,21,643.553426899597,3972.30789642206
