V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse,bestlam_numpred
3,4,5,6,12,13,15,17,18,20,21,2210.03804707866,3226.18203724106,1
2,4,5,6,8,12,13,16,17,19,21,84.1825727596907,5295.65735332782,8
1,2,5,6,8,9,10,11,13,17,19,503.440155434586,4178.82417978736,5
2,3,7,8,11,12,15,18,19,21,22,2072.15018382161,3029.59178438579,1
4,7,8,9,11,14,15,17,19,21,22,2083.15552159533,2892.94133132215,1
1,2,3,4,7,12,16,19,20,21,22,322.409206476107,8228.97584332999,6
1,4,6,9,10,11,13,14,17,18,19,550.353314355811,4463.31721907068,5
2,3,4,8,11,12,13,14,15,17,18,785.747583875151,4127.07156750332,4
4,5,6,9,11,12,14,15,16,18,21,961.807043397273,4362.08818142405,1
3,4,5,6,7,8,10,11,12,13,17,2493.807781923,3087.30203417275,0
1,4,5,6,10,11,13,16,17,21,22,912.871394031086,3993.42225887459,2
3,4,5,7,8,9,11,13,17,18,20,872.169142843023,3826.85217566914,2
1,4,5,11,14,15,16,17,18,19,22,790.772640827638,4827.64829692553,1
3,9,10,11,13,15,16,17,18,19,22,1157.26003780764,3044.68734766626,0
2,9,10,11,12,13,14,15,17,19,21,2246.78871830253,2176.71068013225,1
1,3,4,7,10,11,12,14,16,19,21,1202.85573060224,3860.10639673669,1
2,3,4,5,6,7,10,12,14,15,16,189.081275100842,5431.81314828029,6
4,5,6,7,8,11,13,15,20,21,22,199.17164022305,4594.8624218448,6
3,6,9,13,14,15,17,18,19,21,22,2171.40086179427,2983.93533526344,1
3,4,6,8,9,12,15,16,20,21,22,1621.44586190543,3272.54584409223,0
2,3,4,7,8,9,11,12,13,17,18,766.462795881705,4367.5738457492,5
2,4,6,7,10,12,15,16,18,20,22,1464.0320477779,3655.39665472893,0
2,7,8,9,11,14,16,17,18,21,22,1133.5383813153,3707.96449727552,0
2,4,9,11,13,14,15,17,19,20,22,2514.70221516799,2487.97191508095,0
3,6,7,11,12,14,15,16,19,21,22,484.287401120443,4433.92806862825,4
1,2,6,8,9,10,11,14,16,17,21,1327.43279401052,3527.04009268805,0
1,7,10,13,14,15,17,18,19,20,21,747.466542160259,6191.16557529875,2
1,2,4,8,11,12,15,16,18,21,22,1740.63452073498,3084.33845778526,0
1,2,5,6,7,10,11,15,16,20,21,162.778016203474,6544.5464446009,5
1,2,3,4,7,8,11,15,17,19,21,2445.29044280768,2226.95217854311,1
1,3,4,6,7,9,10,11,16,17,21,1664.35746249748,3260.36234961388,1
2,3,4,5,6,7,8,11,12,14,22,2233.15825293356,3617.73682211852,0
2,3,4,6,7,9,10,12,14,16,18,1654.54227278261,3685.86213482556,0
2,3,5,8,9,10,11,13,17,19,21,1334.97191173679,3411.98023233466,1
1,2,3,4,6,7,8,14,16,19,22,1474.06209764607,3691.23916766505,1
2,7,9,12,14,15,16,17,19,20,21,1398.34252901277,3524.30169863682,0
2,6,9,10,13,14,15,16,19,20,21,1457.72967168373,3601.9200072377,1
2,4,5,6,7,8,9,11,17,21,22,2263.72428045303,3423.32379344157,0
2,3,4,5,8,10,11,16,18,20,21,1384.889144441,4153.20923327192,0
1,2,3,5,6,11,13,18,19,20,22,240.968361439828,3887.80266840411,6
2,3,8,9,11,12,14,16,17,18,19,174.462560797674,6255.79617398267,10
1,2,7,8,11,12,14,17,19,21,22,1926.20776255461,3069.81308398356,0
1,2,3,7,9,10,14,15,16,20,21,1255.38541043793,3847.80190782874,1
3,7,8,9,10,11,18,19,20,21,22,1866.08175528976,3215.25489277784,1
3,9,10,11,12,13,14,15,17,18,19,2391.01416877147,2267.53312249378,0
4,6,7,11,14,15,17,18,19,20,22,2042.53396164481,4031.60687920561,1
4,5,6,7,8,11,12,13,14,18,22,2280.52985866532,3649.8369281296,1
3,9,10,11,12,14,16,18,19,20,21,1851.34362107543,3479.0540144,0
2,4,10,11,13,14,15,16,19,20,21,1424.91084548832,3549.17000781519,1
2,3,5,7,8,11,12,15,16,17,20,1421.40053419813,4098.40163986861,1
1,4,6,8,9,10,14,16,20,21,22,1425.86592343923,3517.0362593157,1
2,3,4,6,7,11,14,15,20,21,22,1860.34055945335,3199.12250128348,0
1,2,3,6,8,9,10,14,15,18,20,2271.37501061821,2514.76895733298,1
3,7,10,11,12,16,17,18,20,21,22,1417.38280491286,3845.50553208089,1
5,7,8,9,10,11,12,13,14,16,18,543.889324914824,4586.9545294043,0
1,5,10,11,12,13,14,17,18,21,22,2066.29744579912,3414.94093671369,1
3,4,8,10,11,12,14,15,17,19,20,2372.7410025446,2293.26233968761,0
1,2,3,4,8,10,12,13,17,19,20,1451.08517593655,2111.87752909992,2
1,7,12,13,14,15,16,17,19,21,22,1500.07677710528,3631.79901334557,1
2,3,5,8,9,11,12,17,18,21,22,2424.96346553043,3096.74742113405,0
1,3,4,5,10,12,13,14,15,17,20,28.0518416376047,5199.94779382263,9
3,4,8,10,11,12,14,16,17,20,21,1022.7054086185,3758.26456135308,1
1,2,4,8,9,11,15,16,17,18,19,1982.48546677204,2891.90241884841,0
2,3,4,7,9,10,11,14,19,20,22,2284.72943366768,2690.23028826079,1
1,2,4,5,6,7,11,15,17,18,21,2221.74509543868,3442.04170498258,0
2,3,5,6,9,11,14,15,16,17,22,460.666677709144,5320.06827977782,2
1,3,6,8,9,13,16,19,20,21,22,605.617856566442,4288.84101156715,6
2,5,6,7,8,9,12,14,15,20,22,2071.12057425413,3641.26772637865,1
1,4,6,7,8,15,16,17,19,21,22,1588.87748505134,3556.11432583304,0
1,3,4,6,7,11,14,15,17,18,22,2113.60761331563,3389.88140681708,1
1,2,4,6,9,11,15,16,17,18,22,1349.33365224428,3415.71040717378,1
1,2,3,6,7,10,12,16,19,20,22,1770.47717153694,3551.88954875401,1
