V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse
3,4,5,6,12,13,15,17,18,20,21,2391.44067494344,2906.06171460389
2,4,5,6,8,12,13,16,17,19,21,2418.43186631006,3118.08702620276
1,2,5,6,8,9,10,11,13,17,19,2411.46580153556,3149.42600452489
2,3,7,8,11,12,15,18,19,21,22,2361.41215516485,3150.88194351343
4,7,8,9,11,14,15,17,19,21,22,1921.74333972929,3307.00498915854
1,2,3,4,7,12,16,19,20,21,22,2667.59867145869,3026.78145223535
1,4,6,9,10,11,13,14,17,18,19,2366.20405170637,3200.62031186264
2,3,4,8,11,12,13,14,15,17,18,2155.13323173751,2527.71919372845
4,5,6,9,11,12,14,15,16,18,21,2432.664428981,2845.13055116248
3,4,5,6,7,8,10,11,12,13,17,2181.50999132186,3261.57694580007
1,4,5,6,10,11,13,16,17,21,22,2226.31862876812,3272.09222118461
3,4,5,7,8,9,11,13,17,18,20,2064.6421268135,3325.42977031143
1,4,5,11,14,15,16,17,18,19,22,52.2540798148541,4952.81571373897
3,9,10,11,13,15,16,17,18,19,22,2357.89277410522,3162.41943690572
2,9,10,11,12,13,14,15,17,19,21,2060.54929496628,3390.74862835248
1,3,4,7,10,11,12,14,16,19,21,2414.87129402871,2551.80719435692
2,3,4,5,6,7,10,12,14,15,16,2126.1325353704,2966.35517003787
4,5,6,7,8,11,13,15,20,21,22,1615.27420410278,3723.68392482501
3,6,9,13,14,15,17,18,19,21,22,1711.18828717792,3645.53922098753
3,4,6,8,9,12,15,16,20,21,22,1563.09580517475,3713.39637658373
2,3,4,7,8,9,11,12,13,17,18,1850.13894398279,3560.40418554034
2,4,6,7,10,12,15,16,18,20,22,1445.47985235262,3842.2277970173
2,7,8,9,11,14,16,17,18,21,22,1140.73200371169,3120.91149527253
2,4,9,11,13,14,15,17,19,20,22,1667.85627351969,3264.51017198857
3,6,7,11,12,14,15,16,19,21,22,1536.67017551341,3784.3890249118
1,2,6,8,9,10,11,14,16,17,21,1216.23246055167,3965.46866647859
1,7,10,13,14,15,17,18,19,20,21,777.833765099616,4152.45618287641
1,2,4,8,11,12,15,16,18,21,22,1618.61120955355,3801.65976924512
1,2,5,6,7,10,11,15,16,20,21,1398.61524461736,3028.38564838692
1,2,3,4,7,8,11,15,17,19,21,1716.5515409035,3284.40719140297
1,3,4,6,7,9,10,11,16,17,21,1754.65866055163,3627.86881141414
2,3,4,5,6,7,8,11,12,14,22,1774.24512774409,3617.09461038567
2,3,4,6,7,9,10,12,14,16,18,1592.240419962,3782.01471285794
2,3,5,8,9,10,11,13,17,19,21,1386.7232814593,3015.5200270538
1,2,3,4,6,7,8,14,16,19,22,1701.92111722989,3273.13631388913
2,7,9,12,14,15,16,17,19,20,21,1300.51806606548,3912.00067373383
2,6,9,10,13,14,15,16,19,20,21,1572.6557329723,3872.03407465574
2,4,5,6,7,8,9,11,17,21,22,1928.79813962514,2797.93015544435
2,3,4,5,8,10,11,16,18,20,21,1391.50805761119,3463.06999123201
1,2,3,5,6,11,13,18,19,20,22,1811.6939197972,3698.33432778205
2,3,8,9,11,12,14,16,17,18,19,2076.60093791175,2746.77195016215
1,2,7,8,11,12,14,17,19,21,22,1793.81523216611,3273.03835482667
1,2,3,7,9,10,14,15,16,20,21,1397.46399475039,3035.56339533685
3,7,8,9,10,11,18,19,20,21,22,1609.60580463875,3317.09697365804
3,9,10,11,12,13,14,15,17,18,19,1539.13667826082,2865.57073427453
4,6,7,11,14,15,17,18,19,20,22,1105.76973933509,3621.89949280478
4,5,6,7,8,11,12,13,14,18,22,1629.46971337237,3610.92552089551
3,9,10,11,12,14,16,18,19,20,21,486.816077869144,3813.78245617145
2,4,10,11,13,14,15,16,19,20,21,1606.45987100483,3514.59821150504
2,3,5,7,8,11,12,15,16,17,20,1020.4094414442,3507.25193170346
1,4,6,8,9,10,14,16,20,21,22,1095.25700032327,3575.08320809036
2,3,4,6,7,11,14,15,20,21,22,1220.29089113459,3200.00939718833
1,2,3,6,8,9,10,14,15,18,20,1602.57415654438,3358.93798612144
3,7,10,11,12,16,17,18,20,21,22,417.914367981784,4151.93008735499
5,7,8,9,10,11,12,13,14,16,18,1602.84939668816,3794.96403295966
1,5,10,11,12,13,14,17,18,21,22,1397.18395241684,3717.29289654774
3,4,8,10,11,12,14,15,17,19,20,146.096082334524,4405.96052460093
1,2,3,4,8,10,12,13,17,19,20,343.925769571028,4134.46116800243
1,7,12,13,14,15,16,17,19,21,22,1953.80619242872,3520.20715793083
2,3,5,8,9,11,12,17,18,21,22,1468.28427011923,3494.32498397014
1,3,4,5,10,12,13,14,15,17,20,409.02571073348,4085.78633417774
3,4,8,10,11,12,14,16,17,20,21,1437.07443961889,3727.20585714276
1,2,4,8,9,11,15,16,17,18,19,38.8248945007124,5236.88920969106
2,3,4,7,9,10,11,14,19,20,22,33.1528399622872,4514.74700237117
1,2,4,5,6,7,11,15,17,18,21,2081.03616672273,3527.07696335855
2,3,5,6,9,11,14,15,16,17,22,677.862934038767,3473.11122262097
1,3,6,8,9,13,16,19,20,21,22,1461.55757642084,3724.27894576006
2,5,6,7,8,9,12,14,15,20,22,194.201625267008,4667.25126051834
1,4,6,7,8,15,16,17,19,21,22,811.532264166763,3809.47842680815
1,3,4,6,7,11,14,15,17,18,22,54.5089672618912,5376.97524148723
1,2,4,6,9,11,15,16,17,18,22,681.620785923392,3480.34648661708
1,2,3,6,7,10,12,16,19,20,22,35.9071174780323,4718.30970713321
2,3,10,11,12,14,15,16,18,21,22,1544.92764619528,3728.97557430076
1,2,4,6,7,11,15,16,17,19,20,1939.91270222476,3473.13377045497
1,2,5,8,10,12,14,15,17,18,21,1459.02825555994,3469.64110454476
1,2,4,7,12,13,14,15,16,19,22,140.015828291198,4141.84128449469
1,3,4,6,8,9,11,15,18,20,22,1615.58775963923,3418.62068110843
1,2,6,8,9,11,14,17,19,21,22,34.7715532688584,5309.12296405576
2,4,6,10,11,12,13,14,17,21,22,2087.50419249187,3503.70869909027
1,2,4,5,6,7,8,13,14,15,22,560.887534772205,3314.92205141129
3,7,8,9,12,13,14,15,18,19,22,1299.52479883513,3294.56730558422
3,7,8,9,12,13,15,16,18,19,22,224.244886563246,4159.0202604652
1,3,4,7,8,9,11,16,18,20,22,613.704875211526,3857.2418697438
3,4,7,10,11,16,17,18,19,20,21,974.360909317503,3766.54871574934
1,4,5,6,10,12,16,17,18,20,21,40.6501725491658,4915.0213887768
1,3,5,9,12,13,15,18,19,20,21,1087.17225410871,3801.4427876378
1,2,3,4,6,7,9,12,14,20,21,2106.40731945035,3546.26523132564
1,2,5,8,10,13,17,18,19,21,22,1462.48440979109,3519.97735941167
3,4,13,14,15,16,17,18,20,21,22,593.608759490393,3970.42546542871
1,2,3,6,10,11,12,15,16,17,21,1312.82720072224,3761.92256421782
2,7,8,10,11,12,16,17,19,20,22,484.817529621083,3877.69099462986
1,5,7,8,9,13,14,18,19,20,21,1039.108752078,3831.62161694057
1,3,5,6,8,9,11,13,16,18,19,2108.25823076299,3553.36875017883
3,4,7,8,9,11,17,18,19,20,21,39.4271926336549,5783.23923994552
1,4,5,7,8,9,14,15,17,19,21,1005.00805180357,3789.37055732258
1,2,3,5,9,13,16,17,20,21,22,836.461367808104,3778.03786750129
1,3,4,8,10,13,14,15,16,18,22,681.66502808201,3816.84991081444
2,8,9,11,12,13,17,18,19,21,22,1915.9022937538,3551.41685847019
1,4,5,7,8,14,16,17,19,21,22,385.353711032398,3454.2935357006
1,6,7,12,13,14,15,16,20,21,22,1139.08473931281,3736.25358362332
1,2,4,8,12,13,14,16,17,19,21,1297.00063372247,3778.84137987788
2,4,5,9,12,13,14,16,18,21,22,2222.13202647298,3501.28471117201
3,5,7,10,11,12,15,17,18,19,21,1506.48133815292,3504.50967875801
1,4,5,6,10,12,16,17,18,19,21,306.986036310798,3913.73592074393
2,4,6,9,10,15,17,18,19,20,22,1991.50182002808,3516.39558478378
2,3,7,9,10,13,15,16,17,19,21,1142.52093645698,3449.20013487175
1,3,4,7,10,13,16,19,20,21,22,2182.14757149464,3529.53595404681
4,5,8,9,12,15,16,17,18,19,20,1228.93276062034,3416.39367506754
2,7,8,9,11,12,13,17,18,21,22,2001.29084468614,3539.57833723942
5,7,8,9,10,12,13,16,17,20,21,331.373484179136,4222.50401249768
2,3,4,6,9,11,12,13,14,20,21,547.888803472136,4024.50627732703
2,3,4,5,6,7,9,10,17,19,22,27.4730391319511,5007.27425950621
1,2,6,7,8,9,10,11,14,16,19,23.9591413575855,5048.1253394873
1,3,4,5,7,9,10,12,19,20,22,412.352772375554,3611.79701126466
3,4,5,8,9,12,14,15,16,17,19,18.6221478152738,4304.349566503
2,3,5,8,10,11,14,15,16,18,21,654.762981427356,3965.29116412326
1,4,5,9,11,12,13,14,19,21,22,428.431170123616,4075.69272672614
2,4,5,6,10,14,16,19,20,21,22,450.201917733772,3932.9015849336
1,3,6,10,11,13,14,15,16,18,20,1205.97500080964,3413.13190477655
1,3,6,9,10,12,15,16,17,18,22,743.840601957271,3448.14209528378
1,2,3,4,7,10,11,13,15,18,22,696.155793431896,3928.69191847058
3,6,7,9,11,12,18,19,20,21,22,314.442438129714,4061.03347131783
3,5,8,10,11,13,16,17,18,19,22,1637.93201081915,3540.73325117303
1,2,3,4,5,10,13,15,16,17,21,582.791142428098,3416.46513666374
1,3,6,8,9,14,17,18,20,21,22,306.609829682282,4074.00703372361
1,4,5,6,8,9,12,15,17,18,21,1628.56358525316,3531.66563367837
3,4,5,7,8,12,17,19,20,21,22,29.0690486873586,3847.78496439506
1,4,5,8,10,13,14,16,17,19,21,1247.56140891545,3333.85866335345
1,2,3,4,6,9,11,15,16,18,21,19.5637015494413,4169.92107835041
2,5,8,9,10,12,13,16,19,20,21,1309.64986793993,3381.77727634149
2,5,6,9,11,13,14,16,19,20,22,679.1868529498,3956.32702230178
2,3,6,7,8,13,14,16,18,19,20,28.5984734341473,6339.17748936535
5,9,10,11,12,14,15,17,18,19,21,554.278544909751,3917.8550231644
