V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse
2,6,8,9,13,14,15,16,49.7986188255081,358.784361315532
1,2,7,11,12,13,14,15,77.434584190242,306.990211389814
2,3,5,7,10,12,14,16,10.0247479016409,415.439838631897
1,5,8,10,13,14,15,16,0.757898088478164,503.184503782266
1,4,5,7,9,12,13,17,156.66638573685,50.5583853262482
1,2,5,10,12,13,15,17,75.3774066820685,339.500114247803
2,3,5,11,12,13,14,15,92.6911874231701,297.227281164555
2,3,4,5,6,11,12,13,83.6679797579079,79.9878667269569
2,3,4,6,12,14,15,16,15.2102907976037,146.267452432841
2,7,9,10,11,13,15,16,78.3069970702502,396.822711635084
2,3,8,9,10,13,15,16,69.2256528772625,314.396084089905
3,4,5,6,11,13,14,17,142.632433533022,88.9374826324282
2,3,6,9,11,13,14,17,82.688872820498,248.182929672499
1,5,6,8,9,10,12,13,72.9971178186474,300.952496744794
1,4,5,6,9,10,14,16,155.016817826169,119.238981212198
2,6,9,12,13,14,15,17,83.279275011662,308.845236983544
1,2,3,5,6,14,15,17,44.779888688322,334.589777657443
7,8,12,13,14,15,16,17,76.440465768854,337.754603330306
4,6,7,8,10,12,13,17,84.4906671866547,64.2929874503753
1,3,5,6,9,11,13,17,86.5757564046164,258.796852478144
2,3,4,6,10,11,13,17,173.27757793451,84.6973466105982
4,5,6,7,10,11,13,16,2.12680892949004,90.7826344876426
1,6,9,10,11,13,15,17,63.1765209882756,421.367482171011
3,4,7,9,10,13,15,16,93.8259720846761,62.7018859915637
1,3,5,11,13,14,15,17,60.5108873583044,291.916446604233
2,4,5,6,9,10,13,17,130.177422991487,84.9998034941554
3,7,8,9,12,13,14,16,66.4249998625155,312.206021974664
1,4,8,12,13,15,16,17,126.123506099561,83.1405700822967
3,4,5,9,10,11,12,14,172.67557588968,116.527196435329
1,2,5,6,8,12,13,16,95.6149851325808,292.25597532685
1,2,3,10,11,12,13,15,67.0465195855746,293.713703222652
3,4,6,8,10,13,16,17,169.280422695638,87.2402795512491
1,2,3,6,12,13,15,17,65.2740643509988,300.984751493664
2,4,5,11,13,14,15,16,97.2836691541335,93.5593396530289
2,3,4,9,10,13,15,17,127.111552505945,85.8182538523296
5,7,10,11,12,13,16,17,51.647120799177,385.154296622416
2,4,8,10,12,13,15,17,144.888047403942,89.257987768812
1,2,7,8,10,14,16,17,14.7021176258814,503.160624857515
1,3,5,6,9,11,12,14,16.0394426122844,389.247596121824
3,6,7,10,11,14,15,16,49.2415719065846,366.370026899631
1,2,3,6,7,8,10,14,6.32556919010017,480.156175334956
1,5,9,12,13,15,16,17,69.1116474815384,402.223185027116
3,4,7,8,12,13,14,16,154.65354932772,70.305031012161
4,5,7,8,9,10,13,17,134.247152282741,63.8752130858938
1,5,6,7,10,12,15,17,10.0795609212417,836.765221044964
2,5,8,9,11,12,13,15,87.7620332917072,330.883845742526
2,6,8,11,13,14,16,17,88.5206073450264,296.902990735369
1,3,4,6,7,8,12,13,178.190212324923,48.7127247955602
4,5,10,12,13,15,16,17,124.982368029939,91.4728789406967
4,6,7,8,9,10,13,17,180.409229531171,62.6454328277469
4,7,8,9,10,13,14,17,165.766378755501,62.4237341508054
4,5,7,8,11,13,15,17,91.9676890972141,73.6596818423843
6,7,8,9,12,14,15,17,53.2976670865485,278.922908007443
3,4,5,6,11,12,14,15,134.893729365514,115.566188550514
2,3,6,10,11,12,13,16,42.2087652196017,247.325012633815
4,5,6,7,8,9,12,15,153.271681553829,107.710524128278
2,5,7,10,13,14,15,17,81.4719662944613,371.975172422485
2,3,5,8,9,10,14,16,38.4628769609396,319.748494004533
2,3,6,8,11,14,15,16,23.5428153660947,283.701949163719
1,3,9,12,13,14,15,17,70.9492663127156,323.018658969389
2,4,9,10,11,13,15,16,82.4566417334905,87.6449396106868
1,4,7,9,10,11,12,16,145.57516141066,105.651528437346
2,4,7,8,9,10,12,14,184.513387485017,111.337390504395
1,2,5,8,9,11,15,16,2.51411631380517,419.2017972101
1,4,7,8,10,11,13,16,149.432524219488,32.1896950993363
3,4,5,7,8,12,16,17,4.55861603592248,118.132311292554
3,4,8,10,13,15,16,17,107.449212501988,89.698437730542
3,5,8,9,13,15,16,17,77.8730071026129,344.744965199287
1,3,5,8,9,12,15,17,44.8245065886703,385.281218241183
1,5,6,10,11,12,16,17,41.550397002182,398.424285392141
5,6,7,8,13,15,16,17,66.3650140424699,339.472968281722
2,7,9,11,12,13,16,17,51.0474499641452,Inf
1,4,5,10,11,12,14,15,113.620244676777,121.019549246919
2,3,6,11,13,14,16,17,88.1854341881064,276.05626003167
1,4,5,7,10,11,12,13,2.79742809576748,51.7489447354707
1,3,5,6,8,11,14,17,0.810418855358195,405.434249455091
2,4,5,10,11,13,14,16,123.226545419244,89.5810105084679
5,6,8,10,13,15,16,17,75.4179771170509,335.798190787092
1,4,10,12,13,14,16,17,92.0004898326064,74.9756484310845
1,2,3,5,6,11,15,16,43.583777466735,361.939741943813
2,3,7,9,10,12,14,16,23.3998257153618,Inf
1,3,5,7,10,11,12,13,74.9631266188878,288.125563148936
1,4,6,9,11,13,14,15,103.111760859681,79.3377637400064
1,8,9,11,13,14,15,17,71.8300198919669,401.020079687037
2,5,7,8,10,12,15,16,56.4958266828103,370.488542687436
1,2,3,5,6,7,10,11,2.13225967008509,1362.98819074344
2,3,6,7,8,14,16,17,0.82064696640336,466.653324500116
2,4,5,8,9,10,11,14,164.406532819048,118.096039963443
1,3,4,11,12,13,14,16,78.3018894688598,80.0669654367416
1,2,8,11,12,14,15,16,41.2517541439216,329.099167412204
1,3,4,5,6,8,9,10,182.955805733303,111.04765508261
1,2,4,5,8,10,13,17,58.9303633907357,75.9418230873289
1,4,7,8,11,12,14,16,183.184052876256,110.423295932864
1,3,5,6,8,9,12,16,25.3356741245165,391.595651827391
1,2,5,9,11,12,13,15,82.940953473784,304.182051926034
1,2,3,7,10,13,14,15,78.1014841540455,300.011544851446
1,2,3,4,7,13,16,17,120.855958198451,49.7189413603381
2,3,4,6,7,9,11,13,157.092101298441,62.6784800898696
1,3,5,7,8,10,11,16,5.73935810824399,510.946953806409
2,4,6,10,11,13,15,16,107.026723102655,88.5191616279133
2,5,8,9,11,13,14,16,77.0155985400497,326.291663052306
2,4,5,8,9,12,16,17,132.185462239401,116.308354217192
2,3,4,5,6,7,13,16,127.459786404226,68.4448900757923
2,5,6,7,8,9,11,13,26.0200384837908,434.476841515101
1,3,5,8,9,13,14,17,59.6991978930096,299.838628103646
6,7,8,10,11,12,14,16,4.63627193550383,280.63938909804
1,3,6,10,12,13,15,16,75.148530351511,302.245624301007
1,2,5,7,9,12,15,16,54.1855949803206,388.750325149443
4,5,6,8,9,11,13,17,135.119424728258,84.9800138833971
1,2,3,4,5,6,10,12,210.79292850911,112.638208495483
2,3,4,5,9,12,15,17,163.314337386219,112.890674037658
1,2,3,9,13,14,15,16,46.4335118491385,340.428694355517
1,2,9,10,11,13,14,17,61.5874770248429,256.880102414763
3,4,5,6,13,15,16,17,115.500546304675,91.1873226610399
2,3,6,10,11,13,15,17,84.5331316478886,294.230619183064
3,4,5,12,13,15,16,17,111.361477367242,92.1060414729511
3,4,5,7,10,11,12,17,157.737717693037,112.336627118238
1,2,6,7,9,10,14,16,1.91494541014272,Inf
4,5,7,10,12,13,14,16,154.298531352866,63.3930173997673
2,4,5,6,9,10,14,15,2.68662597700646,158.478416911397
4,5,8,10,14,15,16,17,22.8730544479426,133.629438420072
1,4,5,7,13,15,16,17,113.133062502252,49.8632771208307
4,6,7,8,11,12,13,14,194.975982196774,69.9477499776986
5,6,8,9,12,15,16,17,12.8570294871342,430.216746274694
1,4,7,9,14,15,16,17,129.828953446656,88.8346198715734
2,4,7,8,11,13,14,16,133.036354868712,71.6732276471856
1,3,5,8,10,11,15,17,0.448951718967014,369.764924149423
3,4,7,8,12,15,16,17,132.095457149288,115.753287337387
2,3,4,8,10,11,12,16,203.065046101442,117.329096650585
1,2,3,4,5,14,16,17,5.24442932310007,191.549889275059
2,3,4,7,9,13,15,16,106.521144339779,68.933045093644
2,5,8,9,11,12,15,16,19.9331452507175,418.254888276229
2,4,5,6,10,11,14,15,116.232601457327,121.880854234385
1,2,4,8,10,13,15,17,130.917512452095,76.6527362545437
2,3,6,9,10,12,14,17,35.9048855556287,297.821009676529
1,3,5,6,12,13,15,16,77.5573162464122,317.314134700824
3,4,5,9,10,12,14,16,21.567546691712,93.5991546422523
1,3,4,7,9,11,12,13,189.221683376525,47.7032630664774
1,3,6,7,10,11,13,17,15.2797719297314,315.615377864591
4,6,7,8,10,13,15,16,104.320551504255,64.8619728847874
3,6,8,10,11,12,13,15,86.9638751042843,287.858656798882
3,4,5,8,13,14,15,16,119.318799721804,92.0776526506137
2,6,10,11,14,15,16,17,30.7565453243311,405.568605508613
2,3,8,10,12,14,15,16,31.4500817588523,354.72867981418
1,2,3,5,9,10,14,16,10.8665007428517,424.581648972701
2,7,8,10,11,13,14,15,67.1079724473187,335.833650439068
2,3,4,5,10,11,13,17,128.595994818763,86.2306612674918
1,2,3,6,7,8,9,17,66.8231538184726,290.36255671504
1,2,6,7,8,10,11,17,1.46477084240397,379.44090897853
1,4,5,7,9,12,14,17,148.480496060602,109.365915225984
2,5,7,9,11,15,16,17,51.855250800094,444.434514112477
2,3,8,9,11,13,15,17,91.7286034987114,299.295431829186
1,3,5,6,10,11,14,16,51.953925655482,333.717856287833
2,6,7,9,11,12,14,17,14.7787837840721,Inf
3,6,8,11,13,14,15,16,76.1412797255613,308.246187711291
3,5,7,9,10,13,14,15,76.6186900927206,353.167705704926
1,5,6,7,8,13,15,17,71.2165763959992,366.436581670544
4,6,7,8,9,13,15,16,111.282389576271,70.1525881269895
2,6,7,8,12,14,15,17,50.9178168106991,367.479276885736
1,6,7,9,14,15,16,17,1.10689362328389,730.463969691487
3,7,9,10,11,13,14,15,69.4923402638981,388.25264084936
1,2,3,4,10,12,13,17,120.863778061159,74.1363001161812
1,2,3,5,6,7,8,12,64.7552722243238,297.171125187318
2,5,8,9,10,11,14,16,39.8270824104843,360.617597999942
1,2,4,8,9,10,12,14,207.343965700805,116.452015420193
5,6,7,9,11,13,16,17,36.834052446956,Inf
4,7,8,9,12,14,16,17,167.925568546519,116.120261077384
1,4,5,8,10,11,14,16,155.136375450808,121.542336569586
1,4,5,8,10,11,13,17,133.042381304546,76.3103779546892
2,3,4,7,10,12,15,16,70.5054293163678,115.208479776054
2,3,4,7,10,11,13,17,159.982233172291,63.3908865890181
1,2,5,6,11,13,15,16,62.6568723870349,340.513325000804
3,5,7,8,9,11,14,15,58.7961216246438,371.527396943907
1,3,4,5,6,11,12,13,150.157644500379,75.4728449629228
1,4,7,8,10,13,14,17,94.130471423134,23.4840448625914
2,3,6,8,11,12,13,17,1.97639369627284,376.285457271051
1,4,5,9,10,12,14,17,144.444376790485,119.919471890774
2,6,7,8,10,13,15,17,0.745105515813651,508.34857893158
1,3,5,7,10,13,14,16,82.8439599760334,302.562549078138
1,3,6,7,8,10,15,16,29.6800078992044,361.259715027189
2,5,6,7,8,13,14,17,89.127588173832,311.20032393835
1,2,3,7,8,10,11,15,37.099125998367,350.927726425049
3,6,8,9,10,12,13,16,42.5956397076143,334.120265123466
3,4,5,7,8,9,11,16,137.734721234927,108.511454037009
3,4,6,7,11,12,13,16,181.154507308187,68.4058916546806
2,3,5,8,9,10,11,13,39.2039799974233,252.55137178833
1,6,7,9,11,12,14,17,51.8249382077184,339.735595871121
1,2,6,7,10,11,12,16,5.83607731534973,630.757136259554
2,5,7,8,10,12,13,14,71.3887652656497,318.361361605316
1,3,8,10,12,13,15,16,66.7063052810142,310.024615372823
1,7,8,9,10,11,12,16,46.5268905970789,Inf
1,2,5,12,13,14,16,17,11.6997788965379,408.326196344826
1,3,6,7,8,11,15,16,1.17649936266918,732.303274885807
1,6,10,11,13,15,16,17,53.2900225470848,392.60030398545
3,4,10,11,12,15,16,17,139.558314431196,124.363115347633
2,3,4,8,13,14,15,16,130.251067296687,91.1787569699507
2,5,7,11,12,13,14,16,87.7260251072884,317.469074071769
2,3,4,5,10,11,15,16,65.1959955352224,120.660745088978
2,7,10,12,13,14,15,17,66.6636446844959,364.584017754918
1,2,3,8,10,12,13,14,86.5221761094853,296.2254394812
1,2,3,8,9,12,13,17,89.2267965325596,288.91358366046
1,2,4,8,11,13,16,17,80.5129243907917,81.8865210147099
1,4,6,8,10,12,14,15,160.138080855648,119.657969959685
3,7,8,10,12,13,14,17,77.0063634391434,312.699484550412
