V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse,bestlam_numpred
2,6,8,9,13,14,15,16,0.358119664228298,0.610883391933773,0
1,2,7,11,12,13,14,15,0.341764566707426,0.54306414489168,0
2,3,5,7,10,12,14,16,0.307449556318766,0.58789543863262,1
1,5,8,10,13,14,15,16,0.301870549110038,0.5520863133337,0
1,4,5,7,9,12,13,17,0.26556282840603,0.809218882839812,1
1,2,5,10,12,13,15,17,0.38478135945041,0.463798056495782,1
2,3,5,11,12,13,14,15,0.322313083846971,0.669918365355556,1
2,3,4,5,6,11,12,13,0.295915956626577,0.734659270292088,0
2,3,4,6,12,14,15,16,0.315813789384689,0.653745337561072,0
2,7,9,10,11,13,15,16,0.129459593584747,1.0228260143729,4
2,3,8,9,10,13,15,16,0.378301821156053,0.688460713727008,1
3,4,5,6,11,13,14,17,0.213553805572561,0.873668470749419,2
2,3,6,9,11,13,14,17,0.280835139393975,0.79201971248728,1
1,5,6,8,9,10,12,13,0.276729906775048,0.633734127751514,0
1,4,5,6,9,10,14,16,0.344065089788657,0.705438893119713,0
2,6,9,12,13,14,15,17,0.177768773122902,0.928441585156955,4
1,2,3,5,6,14,15,17,0.274664540251566,0.556585626672679,1
7,8,12,13,14,15,16,17,0.371267324319725,0.561827755909379,1
4,6,7,8,10,12,13,17,0.319398008109389,0.773520610802851,1
1,3,5,6,9,11,13,17,0.243007634796527,0.751138322453126,1
2,3,4,6,10,11,13,17,0.144350742033639,0.870447042013139,2
4,5,6,7,10,11,13,16,0.321063483483912,0.7843992192185,1
1,6,9,10,11,13,15,17,0.328709996669289,0.577446068104171,0
3,4,7,9,10,13,15,16,0.00489275842004214,2.93969337160356,7
1,3,5,11,13,14,15,17,0.264215110637926,0.52714795669489,0
2,4,5,6,9,10,13,17,0.32475728078972,0.722028506040623,1
3,7,8,9,12,13,14,16,0.0592708087068432,1.0022427776929,6
1,4,8,12,13,15,16,17,0.234637592663999,1.04560472948158,2
3,4,5,9,10,11,12,14,0.0152335511789088,1.12343059340306,6
1,2,5,6,8,12,13,16,0.245058021280807,0.518269324561386,0
1,2,3,10,11,12,13,15,0.24668486691163,0.564269722407668,1
3,4,6,8,10,13,16,17,0.128559666545487,0.927944999157667,3
1,2,3,6,12,13,15,17,0.212730809484523,0.601578212839656,0
2,4,5,11,13,14,15,16,0.27879982200974,0.662249556893447,1
2,3,4,9,10,13,15,17,0.00681721058534264,1.73999687295193,7
5,7,10,11,12,13,16,17,0.246072544684458,0.827589395567182,2
