V1,V2,V3,V4,V5,V6,V7,bestlam,rmse,bestlam_numpred
1,2,3,4,5,6,7,2960.61506138909,45769.9803166022,0
1,2,3,4,5,6,8,14134.2771532541,38628.7487906302,0
1,2,3,4,5,6,9,15186.6566020479,38470.4369103047,0
1,2,3,4,5,6,10,15367.6126465665,38443.19930038,0
1,2,3,4,5,6,11,13786.7419765851,38567.7289823731,0
1,2,3,4,5,6,12,11447.2007184317,41298.3382587249,1
1,2,3,4,5,6,13,14435.2793732223,38729.0223774796,0
1,2,3,4,5,6,14,14239.6173415255,38742.0172992024,1
1,2,3,4,5,6,15,13731.958365671,38618.449064548,0
1,2,3,4,5,7,8,3629.2320025772,46296.0236924329,1
1,2,3,4,5,7,9,3643.63154838963,46120.1512711055,0
1,2,3,4,5,7,10,3953.03979253498,46260.3570424595,1
1,2,3,4,5,7,11,2434.58309660661,45877.6763739892,2
1,2,3,4,5,7,12,2869.15977613017,46755.3895535912,1
1,2,3,4,5,7,13,2910.78280339636,46920.404298925,1
1,2,3,4,5,7,14,2766.30073797768,46759.4179547048,0
1,2,3,4,5,7,15,2271.52287920328,45932.0275102299,2
1,2,3,4,5,8,9,10620.8013473624,38503.9889878521,0
1,2,3,4,5,8,10,10817.7957176361,38498.7508416222,1
1,2,3,4,5,8,11,12567.9131258884,38754.7949901863,0
1,2,3,4,5,8,12,9956.12931676216,43170.9287867075,2
1,2,3,4,5,8,13,10194.4619935979,38855.9836091705,0
1,2,3,4,5,8,14,10190.018534807,38801.9081854926,1
1,2,3,4,5,8,15,9572.17288946825,38606.9521036591,0
1,2,3,4,5,9,10,11269.8006743807,38444.8588172976,1
1,2,3,4,5,9,11,12079.5899086761,38587.7468644358,1
1,2,3,4,5,9,12,11830.648805145,41299.1622316753,1
1,2,3,4,5,9,13,10770.3017946473,38689.5368505618,1
1,2,3,4,5,9,14,10729.5143416965,38651.1042073016,0
1,2,3,4,5,9,15,10177.4512553657,38583.1685273185,1
1,2,3,4,5,10,11,12689.9592429935,38804.8293653193,0
1,2,3,4,5,10,12,13096.2206790062,40546.2895714153,1
1,2,3,4,5,10,13,10978.3088707119,38714.965938644,0
1,2,3,4,5,10,14,11017.0946467326,38667.1228865169,0
1,2,3,4,5,10,15,10135.6832773944,38575.0945024613,0
1,2,3,4,5,11,12,9712.04381550939,43032.9990487773,2
1,2,3,4,5,11,13,12617.5984432623,38958.711673545,0
1,2,3,4,5,11,14,13553.8448581755,38910.6319229912,0
1,2,3,4,5,11,15,11517.0700940526,38793.9314523614,0
1,2,3,4,5,12,13,1959.66052039753,55783.0077139808,5
1,2,3,4,5,12,14,11616.2189117026,42180.5959220318,2
1,2,3,4,5,12,15,1113.57615296211,54730.1398822377,6
1,2,3,4,5,13,14,10275.0264534808,39081.7269757441,0
1,2,3,4,5,13,15,9771.24125426331,38714.3170600579,1
1,2,3,4,5,14,15,9738.01828425322,38676.3994288895,0
1,2,3,4,6,7,8,2326.94153447128,46107.2567879931,2
1,2,3,4,6,7,9,2384.33976380547,45956.3667571197,1
1,2,3,4,6,7,10,2254.10472314022,46124.3827853537,3
1,2,3,4,6,7,11,2697.59980056959,45761.418033698,1
1,2,3,4,6,7,12,2752.47239286223,46577.0988086961,0
1,2,3,4,6,7,13,2082.27686934907,46732.2243186189,1
1,2,3,4,6,7,14,2762.05849977488,46592.0221924081,0
1,2,3,4,6,7,15,2767.14973279014,45697.5001140116,0
1,2,3,4,6,8,9,12282.7829316361,38565.8484036814,0
1,2,3,4,6,8,10,12663.9969565163,38511.3015383497,0
1,2,3,4,6,8,11,11133.7912691504,38661.6580757142,0
1,2,3,4,6,8,12,9801.64340366389,43081.7512340376,2
1,2,3,4,6,8,13,11770.9585628586,38795.8330156433,0
1,2,3,4,6,8,14,11721.3809320273,38740.8848678509,1
1,2,3,4,6,8,15,11128.4674442181,38538.9225379622,0
1,2,3,4,6,9,10,13232.4076074776,38456.7182822248,0
1,2,3,4,6,9,11,11762.6850888431,38551.0661242203,0
1,2,3,4,6,9,12,8801.28889665635,44008.2979796888,2
1,2,3,4,6,9,13,12486.9566045941,38708.2559732301,0
1,2,3,4,6,9,14,12388.1933136994,38686.6596052504,1
1,2,3,4,6,9,15,11854.5655245249,38615.2297517509,0
1,2,3,4,6,10,11,13498.1286332198,38432.6526020273,0
1,2,3,4,6,10,12,271.251419702198,50408.9045550212,7
1,2,3,4,6,10,13,13426.7370608126,38935.7031345154,0
1,2,3,4,6,10,14,12843.3587896827,38655.1446851033,0
1,2,3,4,6,10,15,12010.4164897947,38650.4282350424,0
1,2,3,4,6,11,12,253.504956649797,54631.0565042184,7
1,2,3,4,6,11,13,11830.6486850395,38549.2800653321,1
1,2,3,4,6,11,14,11992.4066816052,38778.8762257981,0
1,2,3,4,6,11,15,10452.0078557353,38641.4940652246,0
1,2,3,4,6,12,13,9388.65809154517,43838.906004293,2
1,2,3,4,6,12,14,11446.5892984461,42042.9237498192,2
1,2,3,4,6,12,15,178.737323609961,51970.8160447624,7
1,2,3,4,6,13,14,11845.8464557408,39017.5800634865,0
1,2,3,4,6,13,15,11364.0589294504,38687.6555599971,0
1,2,3,4,6,14,15,11286.5389649671,38650.3504395324,0
1,2,3,4,7,8,9,3667.46847723743,46537.9476643061,0
1,2,3,4,7,8,10,3314.77691382445,46777.1840367536,1
1,2,3,4,7,8,11,2573.1503456565,46287.9770456537,2
1,2,3,4,7,8,12,2671.94497542758,47188.7519671155,1
1,2,3,4,7,8,13,2033.02941684964,47363.2817579423,3
1,2,3,4,7,8,14,3001.68884367301,47211.3500617611,0
1,2,3,4,7,8,15,3476.2704724796,46214.2012804101,0
1,2,3,4,7,9,10,2520.89709025844,46888.429208645,2
1,2,3,4,7,9,11,3356.53184008846,46113.350119899,0
1,2,3,4,7,9,12,2800.40622366765,47009.8255586359,1
1,2,3,4,7,9,13,2154.28654748726,47223.5154438685,2
1,2,3,4,7,9,14,2990.19159347475,47002.8860694011,0
1,2,3,4,7,9,15,2871.12919064857,46089.1983964047,1
1,2,3,4,7,10,11,3603.65114849438,46279.0298458336,1
1,2,3,4,7,10,12,3104.19012155931,47176.9167373677,1
1,2,3,4,7,10,13,3078.08775821837,47335.3254735617,2
1,2,3,4,7,10,14,3112.39690019134,47169.790523934,1
1,2,3,4,7,10,15,3775.92525976059,46176.9959136623,0
1,2,3,4,7,11,12,2925.19402278974,46705.1225588961,0
1,2,3,4,7,11,13,2289.69079216252,47018.2765747293,2
1,2,3,4,7,11,14,2911.19626356817,46758.5888247702,0
1,2,3,4,7,11,15,3171.54005428708,45836.2299360769,0
1,2,3,4,7,12,13,2470.44942282425,47351.2698134182,1
1,2,3,4,7,12,14,2139.76920156256,47974.4594930077,1
1,2,3,4,7,12,15,3005.3240780766,46379.0159277909,0
1,2,3,4,7,13,14,2416.49742242971,47773.7355148677,1
1,2,3,4,7,13,15,2207.37153347294,47161.2445558797,3
