V1,V2,V3,V4,V5,V6,V7,bestlam,rmse,bestlam_numpred
1,2,3,4,5,6,7,2960.61506138909,45769.9803166022,0
1,2,3,4,5,6,8,14134.2771532541,38628.7487906302,0
1,2,3,4,5,6,9,12035.1656402966,37894.5111223655,1
1,2,3,4,5,6,10,13365.9657719677,38073.1334430751,1
1,2,3,4,5,6,11,13786.7419765851,38567.7289823731,0
1,2,3,4,5,6,12,14211.6210546678,38750.0055887535,0
1,2,3,4,5,6,13,13157.1594518371,38069.9282440224,1
1,2,3,4,5,6,14,14239.6173415255,38742.0172992024,1
1,2,3,4,5,6,15,12512.0490313279,38372.7383086297,1
1,2,3,4,5,7,8,3629.2320025772,46296.0236924329,1
1,2,3,4,5,7,9,3643.63154838963,46120.1512711055,0
1,2,3,4,5,7,10,3953.03979253498,46260.3570424595,1
1,2,3,4,5,7,11,2671.95194301601,45876.7567853267,2
1,2,3,4,5,7,12,2869.15977613017,46755.3895535912,1
1,2,3,4,5,7,13,2910.78280339636,46920.404298925,1
1,2,3,4,5,7,14,2766.30073797768,46758.6109005158,0
1,2,3,4,5,7,15,2379.68315107549,45902.2740361163,2
1,2,3,4,5,8,9,10746.0255460649,38586.0923036069,0
1,2,3,4,5,8,10,10817.7957176361,38515.1287603702,1
1,2,3,4,5,8,11,12567.9131258884,38754.7949901863,0
1,2,3,4,5,8,12,14619.8592099062,38883.2076732213,0
1,2,3,4,5,8,13,10219.7031766809,38862.8061529379,1
1,2,3,4,5,8,14,10190.018534807,38804.1666162071,1
1,2,3,4,5,8,15,9572.17288946825,38597.2840903186,0
1,2,3,4,5,9,10,11545.1635471386,38570.9592877266,0
1,2,3,4,5,9,11,12079.5899086761,38587.7468644358,1
1,2,3,4,5,9,12,14120.4491420887,38766.919188918,0
1,2,3,4,5,9,13,11167.5158342986,38773.2734154662,0
1,2,3,4,5,9,14,10838.0902769246,38765.5303606075,1
1,2,3,4,5,9,15,10177.4512553657,38583.1685273185,1
1,2,3,4,5,10,11,12689.9592429935,38804.8293653193,0
1,2,3,4,5,10,12,14286.7777722905,38819.393805617,0
1,2,3,4,5,10,13,11282.8944539387,38843.064600157,0
1,2,3,4,5,10,14,12320.9689763998,38825.0622418661,1
1,2,3,4,5,10,15,10135.6832773944,38575.0945024613,0
1,2,3,4,5,11,12,14195.721812203,38737.2153151319,1
1,2,3,4,5,11,13,12617.5984432623,38958.711673545,0
1,2,3,4,5,11,14,13553.8448581755,38910.6319229912,0
1,2,3,4,5,11,15,11517.0700940526,38793.9314523614,0
1,2,3,4,5,12,13,15183.4812862453,39245.4421884939,0
1,2,3,4,5,12,14,15897.145007949,39172.3944528663,1
1,2,3,4,5,12,15,13780.3894861557,38819.143131603,0
1,2,3,4,5,13,14,10388.5036441308,39088.8815701228,0
1,2,3,4,5,13,15,9771.24125426331,38687.5386645142,1
1,2,3,4,5,14,15,9738.01828425322,38645.1667443708,0
1,2,3,4,6,7,8,2326.94153447128,46107.2567879931,2
1,2,3,4,6,7,9,2384.33976380547,45956.3667571197,1
1,2,3,4,6,7,10,2254.10472314022,46124.3827853537,3
1,2,3,4,6,7,11,2697.59980056959,45761.418033698,1
1,2,3,4,6,7,12,2752.47239286223,46577.0988086961,0
1,2,3,4,6,7,13,2082.27686934907,46732.2243186189,1
1,2,3,4,6,7,14,2762.05849977488,46592.0221924081,0
1,2,3,4,6,7,15,2767.14973279014,45697.5001140116,0
1,2,3,4,6,8,9,12282.7829316361,38565.8484036814,0
1,2,3,4,6,8,10,12663.9969565163,38511.3015383497,0
1,2,3,4,6,8,11,11133.7912691504,38661.6580757142,0
1,2,3,4,6,8,12,202.364548901905,57090.4417475686,7
1,2,3,4,6,8,13,11770.9585628586,38795.8330156433,0
1,2,3,4,6,8,14,11721.3809320273,38740.8848678509,1
1,2,3,4,6,8,15,11128.4674442181,38538.9225379622,0
1,2,3,4,6,9,10,13232.4076074776,38456.7182822248,0
1,2,3,4,6,9,11,11762.6850888431,38551.0661242203,0
1,2,3,4,6,9,12,354.647323059398,47162.7835260164,7
1,2,3,4,6,9,13,12486.9566045941,38708.2559732301,0
1,2,3,4,6,9,14,12388.1933136994,38686.6596052504,1
1,2,3,4,6,9,15,11854.5655245249,38615.2297517509,0
1,2,3,4,6,10,11,13498.1286332198,38432.6526020273,0
1,2,3,4,6,10,12,10668.4454559487,39535.923162511,2
1,2,3,4,6,10,13,13426.7370608126,38935.7031345154,0
1,2,3,4,6,10,14,12843.3587896827,38655.1446851033,0
1,2,3,4,6,10,15,12010.4164897947,38650.4282350424,0
1,2,3,4,6,11,12,11804.149968958,39562.3339842032,1
1,2,3,4,6,11,13,11830.6486850395,38549.2800653692,1
1,2,3,4,6,11,14,11992.4066816052,38778.8762257981,0
1,2,3,4,6,11,15,10452.0078557353,38641.4940652246,0
1,2,3,4,6,12,13,14744.3524312268,39164.3495939222,0
1,2,3,4,6,12,14,10862.7314231122,42418.3271033404,1
1,2,3,4,6,12,15,13485.7381925703,38881.3468244197,0
1,2,3,4,6,13,14,11845.8464557408,39017.5800634865,0
1,2,3,4,6,13,15,11364.0589294504,38687.6555599971,0
1,2,3,4,6,14,15,11286.5389649671,38650.3504395324,0
1,2,3,4,7,8,9,3667.46847723743,46537.9476643061,0
1,2,3,4,7,8,10,2751.98602829535,46849.3948814929,2
1,2,3,4,7,8,11,2456.19669120528,46289.6005074356,2
1,2,3,4,7,8,12,2671.94497542758,47188.7519671155,1
1,2,3,4,7,8,13,2033.02941684964,47456.1305927487,3
1,2,3,4,7,8,14,2903.83751444057,47207.9782803838,1
1,2,3,4,7,8,15,1138.32185655947,46528.0945314689,4
1,2,3,4,7,9,10,4205.10979048617,46518.3950998809,0
1,2,3,4,7,9,11,2107.99981895517,46351.3056154675,3
1,2,3,4,7,9,12,2800.40622366765,47009.8255586359,1
1,2,3,4,7,9,13,2594.84577318027,47197.2019528782,2
1,2,3,4,7,9,14,2951.04084936962,46997.768612967,0
1,2,3,4,7,9,15,3458.28527467654,46041.4839975005,1
1,2,3,4,7,10,11,3603.65114849438,46279.0298458336,1
1,2,3,4,7,10,12,3104.19012155931,47176.9167373677,1
1,2,3,4,7,10,13,3078.08775821837,47335.3254735617,2
1,2,3,4,7,10,14,3042.95264965095,47162.6835043795,0
1,2,3,4,7,10,15,3775.92525976059,46176.9959136623,0
1,2,3,4,7,11,12,2925.19402278974,46705.1225588961,0
1,2,3,4,7,11,13,2289.69079216252,47018.2765747293,2
1,2,3,4,7,11,14,2911.19626356817,46758.5888247702,0
1,2,3,4,7,11,15,3171.54005428708,45836.2299360769,0
1,2,3,4,7,12,13,2470.44942282425,47351.2698134182,1
1,2,3,4,7,12,14,2241.6559228911,47940.8197941513,1
1,2,3,4,7,12,15,2741.44058375957,46669.4394586554,1
1,2,3,4,7,13,14,2201.82245156703,47837.5990994487,2
1,2,3,4,7,13,15,77.5050468267199,49274.4144293782,7
