V1,V2,V3,V4,V5,V6,bestlam,rmse,bestlam_numpred
1,2,3,4,5,6,24.5587475594041,40.7328711336432,1
1,2,3,4,5,7,23.3862663544866,39.9153084125198,1
1,2,3,4,5,8,18.8344231518072,37.0953845888996,1
1,2,3,4,5,9,23.04556421347,41.231190502408,0
1,2,3,4,5,10,24.6074582739101,43.8014284503862,0
1,2,3,4,5,11,15.6897483364164,37.518093818548,1
1,2,3,4,5,12,27.2439401090992,39.0870514915756,0
1,2,3,4,5,13,11.1759960415858,41.2375647064456,3
1,2,3,4,6,7,23.4548761399215,41.3567840919792,1
1,2,3,4,6,8,26.0115728852678,39.6750275880937,0
1,2,3,4,6,9,23.7854251321258,46.3259050109617,0
1,2,3,4,6,10,23.0416569167835,48.2462181464669,0
1,2,3,4,6,11,24.2777585484104,37.9363113291865,1
1,2,3,4,6,12,26.5429003982732,40.5968479390293,0
1,2,3,4,6,13,25.0788505951403,44.963516824256,1
1,2,3,4,7,8,20.8587171897634,43.2090121309,0
1,2,3,4,7,9,20.7890002334421,42.3562013108093,1
1,2,3,4,7,10,11.9490136166109,45.9339850290811,2
1,2,3,4,7,11,24.5406173904437,40.8567675596676,1
1,2,3,4,7,12,19.1483940745789,46.1039833954092,1
1,2,3,4,7,13,22.1161019471678,41.1215521168659,1
1,2,3,4,8,9,26.5242881044628,40.1954967716389,1
1,2,3,4,8,10,23.8916741817335,42.0403623683288,1
1,2,3,4,8,11,27.4442298301386,38.2873964665226,1
1,2,3,4,8,12,25.4710520140624,42.5884047270424,1
1,2,3,4,8,13,13.0731826642118,44.5063565129114,2
1,2,3,4,9,10,20.5229603991795,49.4660462312197,1
1,2,3,4,9,11,26.5468612818492,39.7110067541574,1
1,2,3,4,9,12,9.13205803936028,48.9380550332361,3
1,2,3,4,9,13,23.3923230860084,45.7013447186854,0
1,2,3,4,10,11,10.5644526959841,41.2482453965468,3
1,2,3,4,10,12,23.4626242547913,42.7873631348343,0
1,2,3,4,10,13,25.4900461560211,48.0066972903537,1
1,2,3,4,11,12,0.544529825449725,58.3233894289932,6
1,2,3,4,11,13,9.83376602149021,38.3053340121558,3
1,2,3,4,12,13,0.658738237445401,50.7043636086606,7
1,2,3,5,6,7,28.3181378924222,37.3053716468154,1
1,2,3,5,6,8,1.7792982594422,66.9325082566368,6
1,2,3,5,6,9,22.7758322728986,39.778590356608,1
1,2,3,5,6,10,28.676401084286,38.2763164587839,1
1,2,3,5,6,11,29.9244429630141,32.7498261691553,1
1,2,3,5,6,12,4.1137222921284,49.4451082148138,6
1,2,3,5,6,13,11.6336318307914,39.908875442473,4
1,2,3,5,7,8,24.8327009524592,43.3421029353903,1
1,2,3,5,7,9,26.4060760408389,37.8685840565089,1
1,2,3,5,7,10,9.37317205046932,47.592101928072,3
1,2,3,5,7,11,30.0313268853606,39.8560726389263,1
1,2,3,5,7,12,21.5067380381243,45.9401660466865,1
1,2,3,5,7,13,29.6188453716955,36.937548350518,0
1,2,3,5,8,9,20.0682254235072,36.3764952833309,1
1,2,3,5,8,10,30.4975549959838,35.9501517985302,1
1,2,3,5,8,11,27.4581135418896,36.4128275403963,1
1,2,3,5,8,12,23.7522818280417,42.7835651102676,1
1,2,3,5,8,13,12.7412447243681,43.9027114489766,2
