V1,V2,V3,V4,V5,V6,bestlam,rmse,bestlam_numpred
1,2,3,4,5,6,1.31286593905957,51.3482275709608,4
1,2,3,4,5,7,11.7837298233418,31.1842940339786,2
1,2,3,4,5,8,11.2018686030516,31.1254449232275,2
1,2,3,4,5,9,13.9669612728806,32.2117382682873,2
1,2,3,4,5,10,13.4456148910212,30.8813712843287,2
1,2,3,4,5,11,12.7007570119273,33.1901229140656,2
1,2,3,4,5,12,10.6769715574605,37.205091127439,3
1,2,3,4,5,13,7.10757172669562,31.922983568198,3
1,2,3,4,6,7,16.9303535010514,33.6022220940949,2
1,2,3,4,6,8,15.6412070834293,31.89066604423,2
1,2,3,4,6,9,24.7370208320616,46.4781184063993,1
1,2,3,4,6,10,23.0994325451141,48.2222572108356,0
1,2,3,4,6,11,4.50092897189724,35.0764337277807,5
1,2,3,4,6,12,11.0745162763715,38.3433173806803,3
1,2,3,4,6,13,6.47136670013973,32.7043617212376,3
1,2,3,4,7,8,4.81670113178205,49.6607476693636,5
1,2,3,4,7,9,10.7971747882871,32.7461725414095,2
1,2,3,4,7,10,19.7372696018145,41.9798249263853,1
1,2,3,4,7,11,12.7011351652969,34.3682601809083,2
1,2,3,4,7,12,20.0353871920042,44.7324273229082,1
1,2,3,4,7,13,2.10256457021293,38.9670053077829,4
1,2,3,4,8,9,14.2078574295422,32.8389412552917,2
1,2,3,4,8,10,22.8355976072221,40.0537995956779,1
1,2,3,4,8,11,11.0636399556627,34.2980002241912,2
1,2,3,4,8,12,10.7007204160207,36.4159778284297,3
1,2,3,4,8,13,10.9033420429365,32.6989706429741,1
1,2,3,4,9,10,12.3964391420003,37.036102877803,2
1,2,3,4,9,11,10.461534367453,34.6294194398281,2
1,2,3,4,9,12,0.570669020565505,55.8825002117291,5
1,2,3,4,9,13,6.8942604016807,34.3508323481536,2
1,2,3,4,10,11,12.789554323497,33.7395299296775,2
1,2,3,4,10,12,25.0089233092237,43.0072332659218,0
1,2,3,4,10,13,0.433804224626282,42.3158384801623,5
1,2,3,4,11,12,3.23231007792258,51.0773430404622,4
1,2,3,4,11,13,8.10424284763781,31.8287990463169,3
1,2,3,4,12,13,10.0998201018022,34.3528009518296,2
1,2,3,5,6,7,15.3930746470957,32.6870443465469,4
1,2,3,5,6,8,16.3375229165276,31.1862436089743,1
1,2,3,5,6,9,28.0965750982482,37.8586034716891,2
1,2,3,5,6,10,0.607352488186718,47.2097942688386,7
1,2,3,5,6,11,5.65264345050887,32.1000313165129,5
1,2,3,5,6,12,11.4694290996901,38.9687256655725,3
1,2,3,5,6,13,5.45854720016367,32.8158731051518,3
1,2,3,5,7,8,3.79442228369813,59.5059988750034,3
1,2,3,5,7,9,13.5026238136813,31.6352695490747,2
1,2,3,5,7,10,26.5365721883921,37.5223101139688,0
1,2,3,5,7,11,16.9137075780056,33.7085199807833,2
1,2,3,5,7,12,3.48574382821945,44.5744336431902,4
1,2,3,5,7,13,11.4361584535952,30.7616331375357,2
1,2,3,5,8,9,12.8925713405844,31.5699870652903,2
1,2,3,5,8,10,8.50869621302923,33.3846406940699,3
1,2,3,5,8,11,12.049826135946,32.3105065047859,2
1,2,3,5,8,12,3.54478707967486,41.2274944137206,3
1,2,3,5,8,13,4.74771025347472,33.204864092107,3
1,2,3,5,9,10,12.1304934248611,33.8955334496231,2
1,2,3,5,9,11,14.4704130250355,32.0007679456874,2
1,2,3,5,9,12,0.41264890845456,52.9902909621142,5
1,2,3,5,9,13,6.63876392499169,33.585337958936,2
1,2,3,5,10,11,17.3607432879368,31.4548165465715,2
1,2,3,5,10,12,1.25571136978961,45.4923016818401,5
1,2,3,5,10,13,6.84059822051524,33.2356849490251,3
1,2,3,5,11,12,6.80345279565061,45.0865024422308,4
1,2,3,5,11,13,8.536030792149,31.3042281904054,3
1,2,3,5,12,13,4.87882068462007,35.2704341813901,5
1,2,3,6,7,8,10.6684468307987,51.8406840970133,3
1,2,3,6,7,9,6.05709077609281,58.1333799134773,4
1,2,3,6,7,10,0.624181244817681,69.036151410353,6
1,2,3,6,7,11,0.602422995645458,38.1472834610846,5
1,2,3,6,7,12,0.431635351477033,90.0230390116665,6
1,2,3,6,7,13,2.85182651056231,32.8209860161981,6
1,2,3,6,8,9,18.5482582370414,36.3018896825328,2
1,2,3,6,8,10,13.2220998513335,33.6567487814127,3
1,2,3,6,8,11,19.3732969482546,32.1609523964097,1
1,2,3,6,8,12,13.7886808421328,36.8257469725117,3
1,2,3,6,8,13,0.535403604740427,53.8033273836871,5
1,2,3,6,9,10,0.477165732289991,56.7595689078709,6
1,2,3,6,9,11,19.2335237958121,33.1342921545543,2
1,2,3,6,9,12,20.8037056776717,36.8690204261672,2
1,2,3,6,9,13,6.54774824512235,36.6660186532527,3
1,2,3,6,10,11,3.73101729057503,41.469325475415,5
1,2,3,6,10,12,7.0570571663543,40.5599453404089,4
1,2,3,6,10,13,3.97159960647607,38.8284375250912,5
1,2,3,6,11,12,3.33961784749903,43.8808701592959,4
1,2,3,6,11,13,10.3303765879031,31.6279106111882,3
1,2,3,6,12,13,12.4189304413318,33.729576952197,3
1,2,3,7,8,9,2.93890725126081,62.1475885562556,5
1,2,3,7,8,10,9.23256484651175,47.6489256396375,2
1,2,3,7,8,11,18.8946459521404,43.9053930262366,1
1,2,3,7,8,12,15.6665962210884,52.894776891146,0
1,2,3,7,8,13,9.20116462096442,31.0154653641337,2
1,2,3,7,9,10,11.674146883507,33.9647506961541,2
1,2,3,7,9,11,13.4986550763347,33.3481470797177,2
1,2,3,7,9,12,3.65809232240606,47.6304523610543,5
1,2,3,7,9,13,5.12314200175157,34.9657489519373,2
1,2,3,7,10,11,25.4211930797347,39.6064801736234,1
1,2,3,7,10,12,21.9574398028227,44.4006280339906,1
1,2,3,7,10,13,8.2269785946985,32.912390328099,3
1,2,3,7,11,12,6.37816945802351,48.2476281229599,2
1,2,3,7,11,13,11.6459097938442,30.8767634505845,1
1,2,3,7,12,13,10.7753654397492,34.5503842770952,2
1,2,3,8,9,10,15.176540751421,33.7120419193979,2
1,2,3,8,9,11,12.8218484826292,32.5224345519933,2
1,2,3,8,9,12,11.4627967664381,36.6507788858354,2
1,2,3,8,9,13,3.48075206186565,38.2157404153282,5
1,2,3,8,10,11,21.2252501278842,33.4620419164891,2
1,2,3,8,10,12,17.2951276336213,38.3266363426517,3
1,2,3,8,10,13,0.422881800823301,34.5824338112945,5
1,2,3,8,11,12,6.78707998279345,42.7401949076748,4
1,2,3,8,11,13,9.58296738618665,32.2847335191122,2
1,2,3,8,12,13,4.44507892458686,34.6104655395185,2
1,2,3,9,10,11,11.7444590644162,35.2793090080085,2
1,2,3,9,10,12,7.62734448011707,37.9188299655328,2
1,2,3,9,10,13,5.85243747629397,35.3369566395355,3
1,2,3,9,11,12,4.9186155372665,48.7449559079185,2
1,2,3,9,11,13,9.59134880102534,33.4214134861988,2
1,2,3,9,12,13,3.94486303834224,35.8710887872197,4
1,2,3,10,11,12,7.16236805482977,45.0050769759005,4
1,2,3,10,11,13,8.15528628213461,33.30408764871,3
1,2,3,10,12,13,8.10737133523644,34.2474249189217,3
1,2,3,11,12,13,4.8771179655578,40.6413477028292,4
1,2,4,5,6,7,16.0719717750586,40.3251171932059,1
1,2,4,5,6,8,15.2833120466742,33.3096498092931,1
1,2,4,5,6,9,17.3844270105185,50.5605104140854,1
1,2,4,5,6,10,22.4613195887076,53.4134445161893,1
1,2,4,5,6,11,12.8025380735522,43.8433252555937,2
1,2,4,5,6,12,19.7662627563811,40.8187434932507,0
1,2,4,5,6,13,22.2685131936782,48.5264376924963,0
1,2,4,5,7,8,22.0740508618216,37.2898465385079,1
1,2,4,5,7,9,17.2167526973578,41.6317362165896,0
1,2,4,5,7,10,17.7263601234462,44.1888882250489,1
1,2,4,5,7,11,17.9660250363142,36.741320282708,1
1,2,4,5,7,12,17.8913696320605,39.7807402170775,0
1,2,4,5,7,13,22.4201984450979,39.9725191141834,0
1,2,4,5,8,9,17.1966018332554,33.7917063261099,1
1,2,4,5,8,10,23.5458008094157,42.9694690913553,1
1,2,4,5,8,11,18.6337125958822,30.7689578288698,1
1,2,4,5,8,12,18.9492713665121,34.4395302216308,1
1,2,4,5,8,13,18.9821911716661,35.2928628072663,1
1,2,4,5,9,10,13.1425949308668,54.5633879786518,0
1,2,4,5,9,11,22.3193307815544,41.8610492269413,0
1,2,4,5,9,12,20.8380263663312,42.2300066315096,0
1,2,4,5,9,13,23.7286705757776,50.5027394170099,1
1,2,4,5,10,11,19.4871060384802,44.4929105894131,0
1,2,4,5,10,12,19.1421624876973,43.7147117196442,0
1,2,4,5,10,13,20.2284348749911,53.0659617908362,1
1,2,4,5,11,12,21.5996367653743,36.369448137678,1
1,2,4,5,11,13,17.530797142576,34.6515449621389,1
1,2,4,5,12,13,23.4800636523301,40.0319644091389,0
1,2,4,6,7,8,20.8088669825942,40.1390130412834,1
1,2,4,6,7,9,13.6242449538146,45.8745463925917,0
1,2,4,6,7,10,16.8852499463202,48.5037469848614,1
1,2,4,6,7,11,9.65207487621443,36.677408539393,2
1,2,4,6,7,12,15.3976454969548,41.5117074515249,0
1,2,4,6,7,13,19.4587553326355,44.1565755812477,1
1,2,4,6,8,9,20.6642412488454,46.1675472744051,0
1,2,4,6,8,10,21.2894029438444,48.326911025153,1
1,2,4,6,8,11,12.3804132864626,38.4676377974989,3
1,2,4,6,8,12,25.8224743290058,39.5307997401882,1
1,2,4,6,8,13,16.2898795453555,38.820478132993,1
1,2,4,6,9,10,15.5592105050224,60.3094400113513,1
1,2,4,6,9,11,23.8975121494653,47.7122048144126,1
1,2,4,6,9,12,21.6253812207693,46.8570979321287,0
1,2,4,6,9,13,20.0149833898701,55.9270965436812,0
1,2,4,6,10,11,17.5467926068051,52.0363615045853,1
1,2,4,6,10,12,19.8447821667835,48.4978306643959,1
1,2,4,6,10,13,3.11994499065936,67.7924507749277,5
1,2,4,6,11,12,28.6857637848726,39.541362876977,1
1,2,4,6,11,13,25.9835127661084,45.9801410400686,1
1,2,4,6,12,13,21.0354465326889,45.0643063868659,1
1,2,4,7,8,9,20.3666214811049,40.0444819653861,1
1,2,4,7,8,10,14.2364960975489,48.353871226453,3
1,2,4,7,8,11,20.4623270821748,38.3226247065397,1
1,2,4,7,8,12,19.0246406051204,42.3745209807995,0
1,2,4,7,8,13,13.9279184209546,31.8920127500665,2
1,2,4,7,9,10,15.5150252029294,49.999563464446,1
1,2,4,7,9,11,17.250092306963,40.2019999368826,1
1,2,4,7,9,12,15.4077579881688,42.3777496494221,0
