V1,V2,V3,V4,V5,V6,bestlam,rmse
1,2,3,4,5,6,24.526671194777,34.4524521983614
1,2,3,4,5,7,32.3116958306003,32.1327575634931
1,2,3,4,5,8,29.4823530950108,34.6133641126694
1,2,3,4,5,9,25.3345937198882,33.5443048412714
1,2,3,4,5,10,26.0666424340917,32.1412390581736
1,2,3,4,5,11,31.7577807112952,36.2987361422668
1,2,3,4,5,12,31.0228432242731,32.8559099912037
1,2,3,4,5,13,26.1271823024977,34.1731639366037
1,2,3,4,6,7,10.9229710232276,37.0894376600147
1,2,3,4,6,8,21.0137275378482,33.4530354074032
1,2,3,4,6,9,28.3456204533106,30.6290294475349
1,2,3,4,6,10,22.9281574702585,28.9637373880746
1,2,3,4,6,11,5.36928103664932,55.8665151278176
1,2,3,4,6,12,31.2960847279591,31.2346475669924
1,2,3,4,6,13,25.853283356498,31.9849366994401
1,2,3,4,7,8,16.1619001079102,28.6529893703615
1,2,3,4,7,9,32.1186947853033,29.7095596939041
1,2,3,4,7,10,34.2309672130178,28.3876504977944
1,2,3,4,7,11,26.3496309007723,31.0243800596365
1,2,3,4,7,12,38.0058156499198,25.7974180464827
1,2,3,4,7,13,28.5469324530772,28.9486578454305
1,2,3,4,8,9,13.7431073917599,44.8440219134285
1,2,3,4,8,10,0.833735484555903,79.0200701481032
1,2,3,4,8,11,0.638323399077701,67.0233151027296
1,2,3,4,8,12,30.5102679214695,29.3105171168605
1,2,3,4,8,13,23.9341005708496,30.6898143943389
1,2,3,4,9,10,22.9222245286475,27.7107948945744
1,2,3,4,9,11,0.705588416116186,61.4276546674447
1,2,3,4,9,12,6.30366549733001,44.429616945056
1,2,3,4,9,13,26.601388754975,31.0405199101937
1,2,3,4,10,11,1.82556970809367,52.0409301297381
1,2,3,4,10,12,34.2721447640749,29.1097999973715
1,2,3,4,10,13,26.831506068542,29.5663177618868
1,2,3,4,11,12,5.15698692684526,58.2414051488102
1,2,3,4,11,13,28.5948195570906,33.693866080638
1,2,3,4,12,13,29.5471124157399,31.7235983926233
1,2,3,5,6,7,28.9646666044232,35.148581430964
1,2,3,5,6,8,28.9130263032845,37.2250424941
1,2,3,5,6,9,24.9388698605557,37.4871767822236
1,2,3,5,6,10,25.5240625107982,36.6129144322198
1,2,3,5,6,11,28.9002227482846,40.2503125356125
1,2,3,5,6,12,26.008726560429,36.8337160751265
1,2,3,5,6,13,24.0457948520998,37.355703437934
1,2,3,5,7,8,24.5732863160988,31.4081379704247
1,2,3,5,7,9,30.9784020727459,34.5949275961754
