V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse,bestlam_numpred
1,2,3,6,10,13,14,15,0.0565556051897234,0.527489399658591,3
2,3,7,8,11,13,14,16,0.230655919897564,0.553590244331413,1
1,4,5,6,7,10,12,14,0.0733726230313538,0.680640740837321,2
3,4,6,7,8,11,12,16,0.197058939564929,0.439252412603344,1
2,6,9,10,11,12,15,16,0.233304895705307,0.49703851058282,1
6,7,8,11,12,14,15,16,0.227296199514084,0.506261175284616,1
3,4,6,9,10,12,14,15,0.401428966211272,0.426227397796524,1
2,4,5,7,10,11,15,16,0.310025896513409,0.461649550856978,0
1,3,5,7,8,11,14,16,0.165194812104495,0.539776338308683,0
3,8,10,11,12,13,15,16,0.383873640735279,0.357076183311971,1
4,7,8,9,10,11,12,14,0.22508017301505,0.520053225607911,0
2,4,6,8,10,12,14,16,0.287925363795004,0.441506426399351,0
1,2,4,5,6,7,9,15,0.236302401941956,0.523442566016042,1
2,4,5,8,9,14,15,16,0.293043930033033,0.425123534548341,1
1,2,4,6,10,11,13,16,0.30843983951295,0.461511815598778,0
4,6,7,8,11,12,14,16,0.215986452702655,0.514730559791615,1
3,4,5,6,7,11,15,16,0.264751361407487,0.438859969107922,1
2,4,5,6,7,12,14,15,0.224786167920264,0.563509417201581,0
1,2,3,7,10,11,12,15,0.00323262567089352,0.86270451436726,7
2,4,7,8,11,12,13,14,0.262375669591861,0.543532828066085,0
1,2,3,6,7,10,11,15,0.193397614985776,0.567573285633285,0
2,4,6,7,9,10,12,15,0.152454029829286,0.65452170530578,3
2,3,6,8,9,12,14,16,0.25273768240119,0.588760877973961,0
1,5,7,8,9,12,13,15,0.214929360387195,0.513651466977683,0
2,3,4,5,6,10,12,13,0.0924419172193449,0.716600188755884,2
4,6,8,9,12,13,15,16,0.280993188982131,0.418184907309123,1
1,4,5,8,9,11,12,13,0.212020708064034,0.545367221232732,1
3,5,6,11,12,14,15,16,0.312205627981766,0.395943815673436,1
1,2,7,10,11,12,13,15,0.0351546391101387,0.877342224270901,4
2,3,4,7,10,11,14,16,0.165371043142855,0.568211764927229,0
3,4,6,10,11,14,15,16,0.00657368615369489,0.760088547049139,7
1,3,8,9,10,12,14,16,0.335222276375951,0.438537633826561,0
2,6,7,9,12,13,14,15,0.256597610301313,0.52037902908606,0
1,2,5,6,7,12,15,16,0.203232182193176,0.510257527341135,0
1,3,4,6,9,10,11,14,0.383432759960314,0.453969682240133,1
1,2,4,7,11,14,15,16,0.166925992915029,0.639977819626715,0
1,2,6,7,8,11,12,15,0.229048576876543,0.521509185442583,0
1,2,4,5,8,11,12,15,0.291897494968316,0.421142118890175,0
5,7,8,10,12,13,14,15,0.254517125463854,0.528985349017751,0
2,3,5,6,7,10,14,15,0.00319851715225684,0.703086106253132,7
4,7,9,11,12,13,14,16,0.300220452150394,0.494492259004338,1
1,3,7,11,12,14,15,16,0.149425872205206,0.609507759874987,1
2,3,4,5,6,9,14,16,0.235380028417773,0.599055918598045,0
1,3,6,7,9,12,15,16,0.261011473880946,0.494898263785525,0
1,2,3,8,11,12,15,16,0.257701538067209,0.489628819221219,1
3,4,7,8,10,11,12,14,0.157751330565428,0.523269757426992,1
3,4,5,9,10,11,13,15,0.0410620204383554,0.649064788268254,4
