V1,V2,V3,V4,V5,V6,V7,bestlam,rmse
1,2,3,4,5,6,7,15.2540990995617,521.068712694464
1,2,3,4,5,6,8,319.952355165592,943.248309698547
1,2,3,4,5,6,9,114.031637593306,904.14167638856
1,2,3,4,5,6,10,10.455107624673,1209.69758887709
1,2,3,4,5,6,11,406.859514591224,895.005250093359
1,2,3,4,5,6,12,8.96632645617542,1047.70438780895
1,2,3,4,5,6,13,308.348889355903,919.765199832568
1,2,3,4,5,6,14,10.2473675357153,1065.5060145807
1,2,3,4,5,6,15,338.422291521161,975.375603429119
1,2,3,4,5,7,8,556.835119971305,512.396835145053
1,2,3,4,5,7,9,287.007732818792,501.348752962499
1,2,3,4,5,7,10,17.6075754487615,938.434380581064
1,2,3,4,5,7,11,271.77180208582,485.586711608856
1,2,3,4,5,7,12,705.721963135879,508.767886663457
1,2,3,4,5,7,13,632.442743929335,506.287976970617
1,2,3,4,5,7,14,17.9912144035763,275.914021584186
1,2,3,4,5,7,15,626.112150267698,397.215882476603
1,2,3,4,5,8,9,61.0775734282999,1035.15978079979
1,2,3,4,5,8,10,330.106840674648,976.300042361799
1,2,3,4,5,8,11,316.232729019882,946.097486664434
1,2,3,4,5,8,12,306.880766473206,984.856539490686
1,2,3,4,5,8,13,263.756389265418,963.591339776835
1,2,3,4,5,8,14,411.199387566506,901.041182647035
1,2,3,4,5,8,15,252.0609963635,1036.50466489007
1,2,3,4,5,9,10,107.979728514193,1057.98625652259
1,2,3,4,5,9,11,282.160949935833,974.127344634658
1,2,3,4,5,9,12,7.12970311187356,1079.85905362014
1,2,3,4,5,9,13,305.929685700523,974.045655705512
1,2,3,4,5,9,14,17.6617657343345,1090.36074457998
1,2,3,4,5,9,15,321.26991835153,1010.95888038046
1,2,3,4,5,10,11,356.683663702475,947.328056153064
1,2,3,4,5,10,12,140.269386661232,1032.17210085507
1,2,3,4,5,10,13,324.526627345351,960.576972959999
1,2,3,4,5,10,14,29.3883125130681,1031.63884520643
1,2,3,4,5,10,15,365.305900086173,1047.07846755659
1,2,3,4,5,11,12,171.369017403728,1001.50823925484
1,2,3,4,5,11,13,344.131327827434,930.955028230961
1,2,3,4,5,11,14,57.4204037248731,1043.08920616135
1,2,3,4,5,11,15,381.979134200435,987.806523720888
