"","x"
"f1_recon_20",36.3333333333333
"f1_recon_40",48.0833333333333
"f1_recon_120",85.9166666666667
"s1_discon_20",335.166666666667
"s1_discon_40",326.041666666667
"s1_discon_120",301.041666666667
"f2_recon_20",36.3333333333333
"f2_recon_40",49.0833333333333
"f2_recon_120",87.375
"s2_discon_120",326.166666666667
"d1_DS_Dur_WS",137.083333333333
"d1_DS_Tim",294.875
"d1_DS_Mag_50",31.3589583333333
"d1_DS_Mag_90",123.002916666667
"f1_FA_Dur",6.80952380952381
"f1_FA_Mag",265.509523809524
"f1_FA_Tim",37.6190476190476
"f1_FA_Dif_num",211.546458333333
"w1_Wet_BFL_Dur",158.083333333333
"w1_Wet_BFL_Mag_10",306.74625
"w1_Wet_BFL_Mag_50",706.604166666667
"w1_Wet_Tim",66.9583333333333
"w1_Peak_Tim_10",92
"w1_Peak_Tim_2",127.277777777778
"w1_Peak_Tim_5",118.333333333333
"w1_Peak_Dur_10",1
"w1_Peak_Dur_2",3.33333333333333
"w1_Peak_Dur_5",1
"w1_Peak_10",13440
"w1_Peak_2",4520
"w1_Peak_5",10960
"w1_Peak_Fre_10",1
"w1_Peak_Fre_2",1.55555555555556
"w1_Peak_Fre_5",1
"s1_SP_ROC",0.0668062202215356
"s1_SP_ROC_Max",0.191828440960337
"s1_SP_Dur",69.25
"s1_SP_Mag",2066.54166666667
"s1_SP_Tim",225.041666666667
"wy1_Mean_Ann_Flow",478.427137454151
"wy1_WY_Cat",1.79166666666667
"d2_DS_Dur_WS",137.791666666667
"d2_DS_Tim",294.291666666667
"d2_DS_Mag_50",30.713125
"d2_DS_Mag_90",118.890416666667
"f2_FA_Dur",6.95238095238095
"f2_FA_Mag",262.785714285714
"f2_FA_Tim",38.0952380952381
"f2_FA_Dif_num",209.804791666667
"w2_Wet_BFL_Dur",157.666666666667
"w2_Wet_BFL_Mag_10",308.49625
"w2_Wet_BFL_Mag_50",701.895833333333
"w2_Wet_Tim",67.0833333333333
"w2_Peak_Tim_10",92
"w2_Peak_Tim_2",127.277777777778
"w2_Peak_Tim_5",118.333333333333
"w2_Peak_Dur_10",1
"w2_Peak_Dur_2",3.33333333333333
"w2_Peak_Dur_5",1
"w2_Peak_10",13440
"w2_Peak_2",4520
"w2_Peak_5",10960
"w2_Peak_Fre_10",1
"w2_Peak_Fre_2",1.55555555555556
"w2_Peak_Fre_5",1
"s2_SP_ROC",0.0665436767376703
"s2_SP_ROC_Max",0.19113181957406
"s2_SP_Dur",69.25
"s2_SP_Mag",2072.375
"s2_SP_Tim",224.75
"wy2_Mean_Ann_Flow",477.251591006063
"wy2_WY_Cat",1.79166666666667
