"","x"
"f1_recon_20",29.8352966725024
"f1_recon_40",32.4143240836069
"f1_recon_120",32.8830822984901
"s1_discon_20",23.3399576518126
"s1_discon_40",23.5934389676207
"s1_discon_120",26.2570556425219
"f2_recon_20",29.8352966725024
"f2_recon_40",31.2478405050955
"f2_recon_120",32.4101601085349
"s2_discon_120",46.1798626042231
"d1_DS_Dur_WS",39.4868350837027
"d1_DS_Tim",26.7635581244023
"d1_DS_Mag_50",24.7406663111552
"d1_DS_Mag_90",119.082735122127
"f1_FA_Dur",4.57841727695333
"f1_FA_Mag",259.61937313067
"f1_FA_Tim",17.6535440931168
"f1_FA_Dif_num",256.161931235079
"w1_Wet_BFL_Dur",42.3093336055406
"w1_Wet_BFL_Mag_10",249.117090259258
"w1_Wet_BFL_Mag_50",445.911864443467
"w1_Wet_Tim",24.721895183203
"w1_Peak_Tim_10",NA
"w1_Peak_Tim_2",44.7277256793194
"w1_Peak_Tim_5",22.8546129552293
"w1_Peak_Dur_10",NA
"w1_Peak_Dur_2",3.96862696659689
"w1_Peak_Dur_5",0
"w1_Peak_10",0
"w1_Peak_2",0
"w1_Peak_5",0
"w1_Peak_Fre_10",NA
"w1_Peak_Fre_2",1.13038833052088
"w1_Peak_Fre_5",0
"s1_SP_ROC",0.0131302128018197
"s1_SP_ROC_Max",0.0815310636060205
"s1_SP_Dur",21.7860146603873
"s1_SP_Mag",2464.76925419993
"s1_SP_Tim",28.8617079952971
"wy1_Mean_Ann_Flow",295.034928235996
"wy1_WY_Cat",0.721060008759246
"d2_DS_Dur_WS",38.9414043277139
"d2_DS_Tim",26.2487749886694
"d2_DS_Mag_50",24.0720660685738
"d2_DS_Mag_90",118.660240492475
"f2_FA_Dur",4.56591929928892
"f2_FA_Mag",261.285696672654
"f2_FA_Tim",17.5724351240935
"f2_FA_Dif_num",257.249196354342
"w2_Wet_BFL_Dur",42.1536183053351
"w2_Wet_BFL_Mag_10",248.547456947142
"w2_Wet_BFL_Mag_50",442.935341712993
"w2_Wet_Tim",24.6874667491979
"w2_Peak_Tim_10",NA
"w2_Peak_Tim_2",44.7277256793194
"w2_Peak_Tim_5",22.8546129552293
"w2_Peak_Dur_10",NA
"w2_Peak_Dur_2",3.96862696659689
"w2_Peak_Dur_5",0
"w2_Peak_10",0
"w2_Peak_2",0
"w2_Peak_5",0
"w2_Peak_Fre_10",NA
"w2_Peak_Fre_2",1.13038833052088
"w2_Peak_Fre_5",0
"s2_SP_ROC",0.0131398355054599
"s2_SP_ROC_Max",0.0820811679640817
"s2_SP_Dur",21.7860146603873
"s2_SP_Mag",2464.20252224775
"s2_SP_Tim",28.770833661283
"wy2_Mean_Ann_Flow",294.659604355452
"wy2_WY_Cat",0.721060008759246
