"coho_smolt_per_fem","chinook_juv_per_adult","coho_spawner_abundance","coho_redds_in_brood","coho_smolt_abun_est","chinook_spawner_abundance","chinook_juvenile_abundance","pred"
NA,NA,NA,NA,0.000478556516297871,NA,NA,"f2_recon_120"
NA,NA,NA,NA,-0.00639472437126039,NA,-0.00215572412270046,"d1_DS_Mag_50"
NA,NA,NA,NA,-0.0357909284150735,NA,0.000382014444314971,"d1_DS_Mag_90"
NA,NA,NA,NA,-0.0357909284150735,NA,0.000382014444314971,"f1_FA_Dur"
NA,NA,NA,NA,-0.0357909284150735,NA,0.000382014444314971,"f1_FA_Tim"
NA,NA,NA,NA,-0.0157734250946792,NA,0.00144704037963094,"f1_FA_Dif_num"
NA,NA,NA,NA,-0.00559427975982698,NA,0.000212777471296978,"w1_Wet_BFL_Dur"
NA,NA,NA,NA,-0.0195577661660746,NA,0.00248364242006829,"w1_Wet_BFL_Mag_50"
NA,NA,NA,NA,-0.0325194527004251,NA,0.00243229917349955,"s1_SP_ROC"
NA,NA,NA,NA,-0.0171805997157465,NA,0.000409501003855928,"s1_SP_ROC_Max"
NA,NA,NA,NA,-0.0171805997157465,NA,NA,"f2_FA_Dur"
NA,NA,NA,NA,-0.00242722600241484,NA,NA,"f2_FA_Dif_num"
NA,NA,NA,NA,-0.0124927649541874,NA,NA,"w2_Wet_BFL_Mag_50"
NA,NA,NA,NA,-0.0225032760847234,NA,NA,"w2_Wet_Tim"
NA,NA,NA,NA,-0.00540875748320538,NA,NA,"s2_SP_ROC"
NA,NA,NA,NA,-0.0142255839032945,NA,NA,"s2_SP_ROC_Max"
NA,NA,NA,NA,-0.020845275878134,NA,NA,"s2_SP_Tim"
NA,NA,NA,NA,-0.000913716776725953,NA,-0.0021415983193064,"f1_recon_120"
