"chinook_spawner_abundance","chinook_juvenile_abundance","chinook_juv_per_adult","coho_spawner_abundance","coho_smolt_abun_est","coho_smolt_per_fem","coho_redds_in_brood","pred"
NA,NA,NA,NA,42.0110785840315,NA,NA,"f2_recon_120"
NA,33.9171073427446,NA,NA,41.9563489160372,NA,NA,"d1_DS_Dur_WS"
NA,35.07521280219,NA,NA,41.7761080296565,NA,NA,"d1_DS_Mag_90"
NA,NA,NA,NA,NA,NA,NA,"f1_FA_Dur"
NA,34.8505072671921,NA,NA,40.365226124145,NA,NA,"f1_FA_Dif_num"
NA,32.6455537805431,NA,NA,41.8285603802412,NA,NA,"w1_Wet_BFL_Mag_50"
NA,35.0588249170443,NA,NA,41.978628510305,NA,NA,"s1_SP_ROC"
NA,33.1148291103447,NA,NA,41.7833297827753,NA,NA,"s1_SP_ROC_Max"
NA,34.9443054050807,NA,NA,41.9358048497222,NA,NA,"s1_SP_Tim"
NA,NA,NA,NA,NA,NA,NA,"f2_FA_Dur"
NA,NA,NA,NA,41.5459458283012,NA,NA,"f2_FA_Dif_num"
NA,NA,NA,NA,41.7366293639489,NA,NA,"w2_Wet_BFL_Mag_50"
NA,NA,NA,NA,41.8804443301465,NA,NA,"w2_Wet_Tim"
NA,NA,NA,NA,41.8330297990852,NA,NA,"s2_SP_ROC"
NA,NA,NA,NA,41.8014416466301,NA,NA,"s2_SP_ROC_Max"
NA,NA,NA,NA,42.0170898776088,NA,NA,"s2_SP_Tim"
NA,34.4950207591584,NA,NA,41.9814821459117,NA,NA,"f1_recon_120"
