V1,V2,V3,V4,V5,V6,V7,bestlam,rmse
1,2,3,4,5,6,7,17.4031641517607,3.58946276156567
1,2,3,4,5,6,8,16.3136731218367,3.66995816279514
1,2,3,4,5,6,9,16.02591548391,3.60015179078142
1,2,3,4,5,6,10,15.9006261071377,3.42499440388837
1,2,3,4,5,6,11,13.4105416039673,3.26362419966924
1,2,3,4,5,6,12,17.2477018315457,3.36747938313412
1,2,3,4,5,6,13,4.24677020879136,3.29364930269855
1,2,3,4,5,6,14,10.8199037221708,3.6878913916582
1,2,3,4,5,6,15,15.0389968114159,3.12145845986562
1,2,3,4,5,7,8,1.0149812747545,19.8638543901008
1,2,3,4,5,7,9,1.61599179495119,19.3561816384214
1,2,3,4,5,7,10,2.49637708606048,18.6937080461986
1,2,3,4,5,7,11,2.40702801532024,19.087601835225
1,2,3,4,5,7,12,2.93400960647956,18.4610401465858
1,2,3,4,5,7,13,0.684163448615683,20.6689875313565
1,2,3,4,5,7,14,2.61501248343811,18.9164128896003
1,2,3,4,5,7,15,1.04185171772433,20.3114705714213
1,2,3,4,5,8,9,0.0659927630781668,19.8197859244953
1,2,3,4,5,8,10,2.52862594721304,19.0088665459418
1,2,3,4,5,8,11,2.66474706924286,18.4698430666307
1,2,3,4,5,8,12,2.84265390069268,17.5626303903128
1,2,3,4,5,8,13,0.0841451479773212,20.8894993746331
1,2,3,4,5,8,14,0.0682972464572101,21.452618151617
1,2,3,4,5,8,15,1.30310894444544,19.8609297061882
1,2,3,4,5,9,10,2.53174002705994,18.8893567068262
1,2,3,4,5,9,11,1.85012896183026,19.5227556643979
1,2,3,4,5,9,12,0.815693030547482,19.0783223572548
1,2,3,4,5,9,13,0.0859665793407256,21.7259025150349
1,2,3,4,5,9,14,2.35622857608629,19.6738727276667
1,2,3,4,5,9,15,1.10459371274342,21.3740334166759
1,2,3,4,5,10,11,3.24312617095856,18.2926430279485
1,2,3,4,5,10,12,2.62781042081258,17.9598039028065
1,2,3,4,5,10,13,3.37180285582356,18.7166630554469
1,2,3,4,5,10,14,2.38464976532677,19.5476365995567
1,2,3,4,5,10,15,0.105088195362335,21.7711405096621
1,2,3,4,5,11,12,2.53727647509714,18.5027510307262
1,2,3,4,5,11,13,2.74687143518421,19.726773515132
1,2,3,4,5,11,14,2.50771693874833,20.6047850392315
1,2,3,4,5,11,15,2.78318213925368,19.8132263951922
1,2,3,4,5,12,13,0.358706620183966,21.021250162941
1,2,3,4,5,12,14,0.0470898759603645,20.3384251847793
1,2,3,4,5,12,15,1.36941821229975,19.476301133105
1,2,3,4,5,13,14,2.16789122810754,18.8649466956752
1,2,3,4,5,13,15,1.60355183861404,19.5181647904892
1,2,3,4,5,14,15,1.02658317634093,19.5863762827999
1,2,3,4,6,7,8,16.5425663146469,3.82565588058658
1,2,3,4,6,7,9,16.221205041074,3.72268848862396
1,2,3,4,6,7,10,16.3391187068375,3.50375322570906
1,2,3,4,6,7,11,5.88771615529584,3.6206573413309
1,2,3,4,6,7,12,17.4261374412851,3.43530576938453
1,2,3,4,6,7,13,17.344416187048,3.64278978199859
1,2,3,4,6,7,14,15.5092114088835,3.87531412705258
1,2,3,4,6,7,15,15.3878186576474,3.47255231542065
1,2,3,4,6,8,9,15.2521575265843,3.83876580643658
1,2,3,4,6,8,10,15.5864804982751,3.63567302343505
1,2,3,4,6,8,11,16.1797859202652,3.70166083220312
1,2,3,4,6,8,12,16.5553454483048,3.57190820559077
1,2,3,4,6,8,13,16.2118399369954,3.72419631990134
1,2,3,4,6,8,14,14.9536557540955,3.97503621576794
1,2,3,4,6,8,15,14.5755925029126,3.56058884409119
1,2,3,4,6,9,10,15.7751988051156,3.51962095497039
1,2,3,4,6,9,11,5.36249263610045,3.63137158430989
1,2,3,4,6,9,12,16.0235032770361,3.45170367053237
1,2,3,4,6,9,13,16.2158116615471,3.65352636446397
1,2,3,4,6,9,14,15.1298475233856,3.88768820551923
1,2,3,4,6,9,15,14.8260409575825,3.48408375090688
1,2,3,4,6,10,11,15.8557314338223,3.45630028595125
1,2,3,4,6,10,12,16.2300644808426,3.20074182482228
1,2,3,4,6,10,13,15.8966225038044,3.47845522167049
1,2,3,4,6,10,14,15.4609248603426,3.69457597927917
1,2,3,4,6,10,15,14.0727074560811,3.29656361483692
1,2,3,4,6,11,12,5.59019344512794,3.3989503128417
1,2,3,4,6,11,13,4.1680450271902,3.33447595520396
1,2,3,4,6,11,14,3.51348772619306,3.72043137059849
1,2,3,4,6,11,15,14.7323562752358,3.16401162819186
1,2,3,4,6,12,13,17.1490172436553,3.42120489252934
1,2,3,4,6,12,14,7.72442342425179,3.63361985204378
1,2,3,4,6,12,15,15.3228496172516,3.23524855755577
1,2,3,4,6,13,14,5.20979561036662,3.74359184418298
1,2,3,4,6,13,15,15.2097890886044,3.19431368150239
1,2,3,4,6,14,15,2.19284313262749,3.40982360862498
1,2,3,4,7,8,9,0.0395467583185152,23.5206410116411
1,2,3,4,7,8,10,0.928408454886909,20.6089737850226
1,2,3,4,7,8,11,0.859846694485526,25.8915005266539
1,2,3,4,7,8,12,0.847582836459199,26.4756674147919
1,2,3,4,7,8,13,0.56207093398539,26.4805948914272
1,2,3,4,7,8,14,1.71767406087031,23.2739121882175
1,2,3,4,7,8,15,0.477318812131393,26.2368767352626
1,2,3,4,7,9,10,0.0307961791666613,20.9673230156279
1,2,3,4,7,9,11,1.01965592484013,26.1865357930731
1,2,3,4,7,9,12,1.49151489278943,24.2906164948459
1,2,3,4,7,9,13,1.03293013726622,26.7000941496614
1,2,3,4,7,9,14,1.53878867055734,23.6433714493863
1,2,3,4,7,9,15,1.01991986339683,26.2593052234875
1,2,3,4,7,10,11,2.94119885654615,24.2313467062078
1,2,3,4,7,10,12,0.0652113532017652,19.8352937938033
1,2,3,4,7,10,13,0.0639279907033103,26.5565916491793
1,2,3,4,7,10,14,1.33228098447677,20.4600283094434
1,2,3,4,7,10,15,3.26922187996621,22.2307037737312
1,2,3,4,7,11,12,1.91031361892408,24.5561974647244
1,2,3,4,7,11,13,2.02806852497843,25.2231836402066
1,2,3,4,7,11,14,0.928628457397087,24.9878106467236
1,2,3,4,7,11,15,1.46391550847168,25.3703362502683
1,2,3,4,7,12,13,1.22990306730521,23.758524712612
1,2,3,4,7,12,14,1.66919878816662,25.3520666875186
1,2,3,4,7,12,15,3.33793274804873,24.3602157015601
1,2,3,4,7,13,14,1.05177632365144,22.879838793015
1,2,3,4,7,13,15,0.446194886527633,25.6481828212293
1,2,3,4,7,14,15,0.3972669516104,24.8537040439263
1,2,3,4,8,9,10,0.96198656337618,18.5226143941691
1,2,3,4,8,9,11,0.221799956385772,25.1474565361297
1,2,3,4,8,9,12,0.138539822666612,23.4592483857782
1,2,3,4,8,9,13,1.10592993842935,24.6986016987135
1,2,3,4,8,9,14,1.64785575177946,23.8205114065567
1,2,3,4,8,9,15,0.0830471863309402,25.4482705318215
1,2,3,4,8,10,11,2.8211432243719,19.3314773491578
1,2,3,4,8,10,12,1.16800593918962,20.2052781042911
1,2,3,4,8,10,13,2.77229620817635,19.9096906135911
1,2,3,4,8,10,14,1.34579503577143,19.669303867388
1,2,3,4,8,10,15,3.38375459875427,20.4736485205434
1,2,3,4,8,11,12,1.26719984437171,23.7079723096317
1,2,3,4,8,11,13,1.47348736814397,24.5872776696167
1,2,3,4,8,11,14,0.731718151999305,25.0876732161402
1,2,3,4,8,11,15,2.12556970341141,24.3195428677501
1,2,3,4,8,12,13,0.140412944270728,24.5216411595362
1,2,3,4,8,12,14,2.01534872099504,22.6150134866751
1,2,3,4,8,12,15,0.341884236298077,24.1703747281974
1,2,3,4,8,13,14,1.28799850598417,22.7391740612906
