V1,V2,V3,V4,V5,V6,V7,bestlam,rmse
1,2,3,4,5,6,7,17.2250554493089,3.58946276156567
1,2,3,4,5,6,8,16.3136731218367,3.66995816279514
1,2,3,4,5,6,9,16.02591548391,3.60015179078142
1,2,3,4,5,6,10,15.0028656988772,3.42499440388837
1,2,3,4,5,6,11,16.7155991436828,3.26362419966924
1,2,3,4,5,6,12,17.0921724444465,3.36747938313412
1,2,3,4,5,6,13,17.0000732687692,3.29364930269855
1,2,3,4,5,6,14,14.9843372046282,3.6878913916582
1,2,3,4,5,6,15,15.0389968114159,3.12145845986562
1,2,3,4,5,7,8,2.13643829183285,19.0815970162837
1,2,3,4,5,7,9,2.13624604932946,18.9784507770434
1,2,3,4,5,7,10,2.49637708606048,19.3513969749619
1,2,3,4,5,7,11,2.07691484252347,19.4053857241147
1,2,3,4,5,7,12,2.67336027950924,25.9448767998216
1,2,3,4,5,7,13,1.81719817740679,20.2451815531501
1,2,3,4,5,7,14,2.61501248343811,19.7319182052111
1,2,3,4,5,7,15,1.14343097402927,20.8422398160155
1,2,3,4,5,8,9,2.16096547093599,19.7913326641305
1,2,3,4,5,8,10,2.52862594721304,21.925118115093
1,2,3,4,5,8,11,2.66474706924286,19.2840531656514
1,2,3,4,5,8,12,0.558024516105527,20.7848369767857
1,2,3,4,5,8,13,0.140362566543748,21.5265276523491
1,2,3,4,5,8,14,2.82205069254924,20.3264780409309
1,2,3,4,5,8,15,1.64433699093338,20.4595739343979
1,2,3,4,5,9,10,2.53174002705994,21.1973758453958
1,2,3,4,5,9,11,2.3345979650453,19.3930600358192
1,2,3,4,5,9,12,1.71695564064896,19.9925676899998
1,2,3,4,5,9,13,0.730503961680945,21.5042717698731
1,2,3,4,5,9,14,2.91330644815312,20.1279576821282
1,2,3,4,5,9,15,2.43577355107415,21.2689451462603
1,2,3,4,5,10,11,3.24312617095856,19.7719587538173
1,2,3,4,5,10,12,2.62781042081258,21.5356104309032
1,2,3,4,5,10,13,3.37180285582356,21.1873143169742
1,2,3,4,5,10,14,2.38464976532677,22.1761103316548
1,2,3,4,5,10,15,3.77667392397729,20.5408695348468
1,2,3,4,5,11,12,1.79475433070944,19.5162315079473
1,2,3,4,5,11,13,2.07248961205368,20.5031065248399
1,2,3,4,5,11,14,2.0576700728014,20.973174627396
1,2,3,4,5,11,15,1.86665882175649,21.0628365372696
1,2,3,4,5,12,13,0.868116030276079,20.6196712524077
1,2,3,4,5,12,14,3.09819939393274,19.2575685347294
1,2,3,4,5,12,15,0.943886854601416,19.8385440542197
1,2,3,4,5,13,14,2.27111700089999,19.5031532111655
1,2,3,4,5,13,15,1.21302815974432,19.861784578622
1,2,3,4,5,14,15,0.741276105784539,20.1334474300706
1,2,3,4,6,7,8,16.5425663146469,3.82565588058658
1,2,3,4,6,7,9,16.221205041074,3.72268848862396
1,2,3,4,6,7,10,16.3391187068375,3.50375322570906
1,2,3,4,6,7,11,16.9653538798158,3.6206573413309
1,2,3,4,6,7,12,17.4255111483304,3.43530576938453
1,2,3,4,6,7,13,17.2164724713699,3.64278978199859
1,2,3,4,6,7,14,14.2963600971059,3.87531412705258
1,2,3,4,6,7,15,15.3878186576474,3.47255231542065
1,2,3,4,6,8,9,15.2521575265843,3.83876580643658
1,2,3,4,6,8,10,15.5864804982751,3.63567302343505
1,2,3,4,6,8,11,12.8222036408377,3.70166083220312
1,2,3,4,6,8,12,16.5553454483048,3.57190820559077
1,2,3,4,6,8,13,16.2118399369954,3.72419631990134
1,2,3,4,6,8,14,14.9536557540955,3.97503621576794
1,2,3,4,6,8,15,14.5755925029126,3.56058884409119
1,2,3,4,6,9,10,15.7751988051156,3.51962095497039
1,2,3,4,6,9,11,15.6319505832421,3.63137158430989
1,2,3,4,6,9,12,16.0235032770361,3.45170367053237
1,2,3,4,6,9,13,16.2158116615471,3.65352636446397
1,2,3,4,6,9,14,15.1298475233856,3.88768820551923
1,2,3,4,6,9,15,14.8260409575825,3.48408375090688
1,2,3,4,6,10,11,15.776447209633,3.45630028595125
1,2,3,4,6,10,12,16.2300644808426,3.20074182482228
1,2,3,4,6,10,13,15.8966225038044,3.47845522167049
1,2,3,4,6,10,14,15.4609248603426,3.69457597927917
1,2,3,4,6,10,15,13.4508698554524,3.29656361483692
1,2,3,4,6,11,12,16.8902536576407,3.3989503128417
1,2,3,4,6,11,13,16.6658352828446,3.33447595520396
1,2,3,4,6,11,14,10.2825304693283,3.72043137059849
1,2,3,4,6,11,15,10.1544417188283,3.16401162819186
1,2,3,4,6,12,13,17.04019926648,3.42120489252934
1,2,3,4,6,12,14,8.46071445975828,3.63361985204378
1,2,3,4,6,12,15,15.3228496172516,3.23524855755577
1,2,3,4,6,13,14,15.1868306506924,3.74359184418298
1,2,3,4,6,13,15,15.2097890886044,3.19431368150239
1,2,3,4,6,14,15,0.283216581337524,5.45238798332867
1,2,3,4,7,8,9,0.0400016323573,25.6336455508488
1,2,3,4,7,8,10,0.808325207703666,21.9588413268458
1,2,3,4,7,8,11,2.18002477945617,24.8394621619431
1,2,3,4,7,8,12,0.370993348495974,24.2527411930072
1,2,3,4,7,8,13,0.53652394257023,26.6887412888669
1,2,3,4,7,8,14,1.71767406087031,25.2015244045479
1,2,3,4,7,8,15,0.149196297643346,27.094340979551
1,2,3,4,7,9,10,1.60571533413695,23.2322178851843
1,2,3,4,7,9,11,0.846536262252133,26.2893299738311
1,2,3,4,7,9,12,1.71487968172455,24.0758603790431
1,2,3,4,7,9,13,0.063379635421795,27.1095442671722
1,2,3,4,7,9,14,1.53878867055734,25.4005021168164
1,2,3,4,7,9,15,3.26299610215227,24.51548134973
1,2,3,4,7,10,11,2.44183496207429,24.6408660074391
1,2,3,4,7,10,12,0.203193559321201,20.9231479570456
1,2,3,4,7,10,13,0.38125553438848,25.6228451501202
1,2,3,4,7,10,14,1.33228098447677,20.4699989777405
1,2,3,4,7,10,15,3.25754945109743,23.927675213258
1,2,3,4,7,11,12,1.91031361892408,24.5550256145991
1,2,3,4,7,11,13,1.17179906067837,26.0830305412496
1,2,3,4,7,11,14,0.88642086082065,26.5484569371559
1,2,3,4,7,11,15,2.22502140583279,24.8242932034964
1,2,3,4,7,12,13,0.772414970788261,24.233568562532
1,2,3,4,7,12,14,1.66919878816662,27.0256341403913
1,2,3,4,7,12,15,3.66337707028233,25.6211943583602
1,2,3,4,7,13,14,1.15432321678228,25.3364274879265
1,2,3,4,7,13,15,0.983918060269634,25.4964908596517
1,2,3,4,7,14,15,0.0855885701752666,26.2122812488183
1,2,3,4,8,9,10,0.918262789400155,20.2496668185656
1,2,3,4,8,9,11,0.232361128277796,23.9066411530726
1,2,3,4,8,9,12,1.2920270229549,21.6374281549024
1,2,3,4,8,9,13,0.0710899850681761,24.8789802732561
1,2,3,4,8,9,14,1.64785575177946,24.0481746376976
1,2,3,4,8,9,15,1.29194526595592,24.2644167085614
1,2,3,4,8,10,11,2.82452960095945,19.0646953918143
1,2,3,4,8,10,12,0.766763312837657,20.2332910063092
1,2,3,4,8,10,13,2.86932999245922,19.1389840500907
1,2,3,4,8,10,14,1.33059498228882,20.536643789708
1,2,3,4,8,10,15,3.38375459875427,19.3263638317936
1,2,3,4,8,11,12,3.21281349218448,20.7512991028998
1,2,3,4,8,11,13,1.60722708161979,24.2614871655653
1,2,3,4,8,11,14,0.698460432702386,24.9104029428927
1,2,3,4,8,11,15,2.05790972465515,23.8986439969979
1,2,3,4,8,12,13,0.29555578833859,22.7848863031423
1,2,3,4,8,12,14,2.01534872099504,20.8684226863668
1,2,3,4,8,12,15,0.570297278229054,22.8843390970246
1,2,3,4,8,13,14,1.34932752443857,22.5253631864058
1,2,3,4,8,13,15,1.0419817509104,24.60478368233
1,2,3,4,8,14,15,0.699045724048214,23.6544367639671
1,2,3,4,9,10,11,3.00265367605993,19.3392603270772
1,2,3,4,9,10,12,1.55816135232335,18.0024162329399
1,2,3,4,9,10,13,2.83887931075689,19.2192319931354
1,2,3,4,9,10,14,1.27439893164441,20.1277202653311
1,2,3,4,9,10,15,3.12224005545636,20.0096308917161
1,2,3,4,9,11,12,0.369066399505562,23.7265887642074
1,2,3,4,9,11,13,0.160510329098125,27.7257311349846
1,2,3,4,9,11,14,2.93635558927785,22.6709755345805
1,2,3,4,9,11,15,1.66614306777659,24.3431613319652
1,2,3,4,9,12,13,0.247690194336169,22.8391436214662
1,2,3,4,9,12,14,1.69056775974301,21.7679197589991
1,2,3,4,9,12,15,0.881951936044838,22.8722418767231
1,2,3,4,9,13,14,1.84827045853171,21.9404043151274
1,2,3,4,9,13,15,0.721118888553481,24.9727473227096
1,2,3,4,9,14,15,1.10807518454087,23.018464906682
1,2,3,4,10,11,12,3.10295183637945,18.0408320387793
1,2,3,4,10,11,13,3.52737488630758,21.1366411751486
1,2,3,4,10,11,14,2.88017888349557,23.5631123804466
1,2,3,4,10,11,15,2.90487457835185,22.7358439805561
1,2,3,4,10,12,13,0.130024687419222,21.2594218163811
1,2,3,4,10,12,14,1.36060668076472,18.5242732457351
1,2,3,4,10,12,15,3.44876610814627,17.1729891722921
1,2,3,4,10,13,14,2.66379185217207,18.5295333878425
1,2,3,4,10,13,15,3.90437660041465,20.3093433430973
1,2,3,4,10,14,15,3.12216610672421,18.1887496963993
1,2,3,4,11,12,13,0.231414197487456,26.794252706245
1,2,3,4,11,12,14,1.38424684372832,275.06784012128
1,2,3,4,11,12,15,1.6476084264679,23.578005513584
1,2,3,4,11,13,14,1.76647216795561,24.0129886604188
1,2,3,4,11,13,15,2.00025880490951,24.8343717670092
1,2,3,4,11,14,15,2.00832302604074,24.1554061427399
1,2,3,4,12,13,14,1.19671652544044,22.4480930188951
1,2,3,4,12,13,15,1.02520851620236,25.1798928812874
1,2,3,4,12,14,15,0.367820958735173,24.1712519123808
1,2,3,4,13,14,15,0.801731995387568,25.293721556017
1,2,3,5,6,7,8,3.15587332139621,4.09600436292912
1,2,3,5,6,7,9,9.08816340880878,3.98548951405805
1,2,3,5,6,7,10,15.6460527889177,3.84781014561096
1,2,3,5,6,7,11,16.5043463089356,3.59159388944055
1,2,3,5,6,7,12,1.25030162756106,4.66872148996138
1,2,3,5,6,7,13,0.608242979086696,3.68469479489287
1,2,3,5,6,7,14,14.7603455294231,4.03716071845879
1,2,3,5,6,7,15,0.958611510333728,3.15887266113418
1,2,3,5,6,8,9,6.23169532157847,4.04154570265717
