"chinook_spawner_abundance","chinook_juvenile_abundance","chinook_juv_per_adult","coho_spawner_abundance","coho_smolt_abun_est","coho_smolt_per_fem","coho_redds_in_brood","pred"
NA,NA,NA,NA,NA,27.5047384072247,NA,"f2_recon_120"
NA,NA,29.7216055740317,NA,NA,27.7439246506221,NA,"d1_DS_Mag_50"
NA,NA,28.9087743910479,NA,NA,27.0495634397269,NA,"d1_DS_Mag_90"
NA,NA,NA,NA,NA,NA,NA,"f1_FA_Dur"
NA,NA,29.8785032269188,NA,NA,23.1289648322335,NA,"f1_FA_Dif_num"
NA,NA,29.7413728005689,NA,NA,26.4595337183004,NA,"w1_Wet_BFL_Mag_50"
NA,NA,29.8782071858837,NA,NA,28.4544533682223,NA,"w1_Wet_Tim"
NA,NA,29.8924243710947,NA,NA,28.5481237000134,NA,"s1_SP_ROC"
NA,NA,29.1737736445446,NA,NA,28.2490930741394,NA,"s1_SP_ROC_Max"
NA,NA,NA,NA,NA,NA,NA,"f2_FA_Dur"
NA,NA,NA,NA,NA,28.5018544118981,NA,"f2_FA_Dif_num"
NA,NA,NA,NA,NA,27.9338408501839,NA,"w2_Wet_BFL_Mag_50"
NA,NA,NA,NA,NA,28.4744551606057,NA,"w2_Wet_Tim"
NA,NA,NA,NA,NA,27.5510384754276,NA,"s2_SP_ROC"
NA,NA,NA,NA,NA,27.3428098281277,NA,"s2_SP_ROC_Max"
NA,NA,NA,NA,NA,28.2632760261481,NA,"s2_SP_Tim"
NA,NA,29.6076167591767,NA,NA,21.243315191634,NA,"f1_recon_120"
